N	3gram	Vinokur_St_2	FransuaR
1	в то же	1	6
2	то же время	1	6
3	с точки зрения	2	5
4	до сих пор	5	4
5	в этом отношении	9	3
6	в свое время	1	3
7	о том что	11	3
8	нужно сказать что	1	3
9	с другой стороны	3	3
10	в другом месте	2	2
11	вовсе не был	1	2
12	в значительной степени	2	2
13	было связано с	1	2
14	так и на	1	2
15	по сравнению с	1	2
16	во всяком случае	3	2
17	но все же	2	2
18	как мы видели	1	2
19	точка зрения на	1	1
20	только потому что	2	1
21	только таким путем	1	1
22	в г в	3	1
23	там где нет	1	1
24	дело в том	4	1
25	в материал для	1	1
26	по отношению к	1	1
27	в настоящее время	1	1
28	свое выражение в	2	1
29	в том же	2	1
30	в одной из	2	1
31	здесь не место	1	1
32	вышедшая в году	1	1
33	в первую очередь	1	1
34	таким образом в	1	1
35	но все это	2	1
36	то что в	2	1
37	но он не	1	1
38	свидетельствуют о том	2	1
39	значение в истории	1	1
40	что только таким	1	1
41	но и эти	1	1
42	именно в этом	1	1
43	для борьбы с	1	1
44	него самого и	1	1
45	для своего времени	1	1
46	в том чтобы	1	1
47	на французском языке	1	1
48	и в особенности	1	1
49	в конце концов	1	1
50	все это и	1	1
51	в предисловии к	2	1
52	в чем же	1	1
53	так и в	2	1
54	своего времени была	1	1
55	и на материале	1	1
56	в обращении к	2	1
57	для него самого	2	1
58	только в его	1	1
59	в течение почти	1	1
60	вряд ли можно	1	1
61	из наиболее ярких	1	1
62	но также и	1	1
63	в этом случае	1	1
64	на самом деле	1	1
65	не только с	2	1
66	не только не	2	1
67	что человек с	1	1
68	как своего рода	2	1
69	но в отношении	1	1
70	на то что	2	1
71	во второй половине	1	1
72	после того как	4	1
73	xviii века и	1	1
74	для того чтобы	5	1
75	в том что	16	1
76	и все это	1	1
77	выхода в свет	4	1
78	что они делают	1	1
