N	2gram	Savitsky_E_1	FransuaR
1	и в	37	40
2	то есть	6	18
3	и его	1	17
4	прежде всего	9	16
5	в этом	12	15
6	не только	18	13
7	в его	2	13
8	и не	14	13
9	вовсе не	6	12
10	что в	21	12
11	как и	7	11
12	но и	14	11
13	таким образом	2	10
14	как мы	5	10
15	он не	2	9
16	в них	3	9
17	может быть	6	9
18	и все	2	9
19	и до	1	8
20	той же	1	8
21	и на	6	8
22	все эти	1	8
23	и с	2	8
24	в том	11	8
25	но в	14	8
26	то же	15	7
27	в своем	14	7
28	культуры и	2	7
29	в ту	1	7
30	в одном	2	7
31	во всех	6	6
32	в самом	4	6
33	в этих	2	6
34	в то	16	6
35	же время	14	6
36	связи с	1	6
37	связь с	1	6
38	и других	2	6
39	в той	5	6
40	в своей	8	6
41	в нем	1	5
42	в основе	1	5
43	и для	3	5
44	xx века	1	5
45	те же	1	5
46	мы видим	2	5
47	для него	1	5
48	то что	6	5
49	не было	1	5
50	а не	2	5
51	в связи	1	5
52	в своих	2	5
53	также и	7	4
54	жизни и	2	4
55	из всех	3	4
56	в ней	4	4
57	в истории	2	4
58	в нашем	1	4
59	жизнью и	1	4
60	в мире	2	4
61	было бы	8	4
62	том что	6	4
63	в эту	2	4
64	в их	11	4
65	даже в	4	4
66	того чтобы	6	4
67	в области	11	4
68	у нас	1	4
69	о том	3	4
70	и о	1	4
71	а также	7	4
72	и во	2	4
73	один из	1	4
74	из них	3	4
75	так как	7	4
76	и даже	6	4
77	и потому	5	4
78	в данном	3	4
79	в культуре	3	4
80	ни для	1	4
81	в мировой	1	4
82	еще более	2	4
83	с его	1	3
84	по отношению	1	3
85	отличие от	1	3
86	в этой	2	3
87	кроме того	1	3
88	и как	2	3
89	и наконец	2	3
90	и к	3	3
91	в себе	9	3
92	в свет	1	3
93	при этом	1	3
94	большей или	1	3
95	всех этих	1	3
96	для понимания	2	3
97	об этом	1	3
98	но именно	2	3
99	мы видели	3	3
100	в отличие	1	3
101	для этого	1	3
102	вплоть до	1	3
103	одна из	1	3
104	во всем	1	3
105	начиная с	2	3
106	но все	1	3
107	в ее	8	3
108	можно было	3	3
109	еще в	1	3
110	если бы	2	3
111	в значительной	2	3
112	связь между	1	3
113	между тем	8	3
114	что и	3	3
115	во всей	2	3
116	и следовательно	1	3
117	или меньшей	1	3
118	только в	9	3
119	так и	10	3
120	в начале	1	3
121	одно из	1	3
122	мы находим	1	3
123	тем что	3	3
124	в других	2	3
125	для того	6	3
126	и прежде	3	3
127	сказать что	4	3
128	там где	3	3
129	в xviii	1	3
130	в частности	5	3
131	не может	9	3
132	вместе с	2	3
133	ко всем	1	3
134	как в	3	3
135	во все	3	3
136	как бы	6	3
137	в более	1	3
138	и от	3	3
139	но это	1	3
140	а в	2	3
141	между ними	2	3
142	к этой	1	3
143	том числе	1	3
144	как известно	1	2
145	например в	1	2
146	он считает	1	2
147	связана с	1	2
148	того же	3	2
149	по преимуществу	2	2
150	и этот	2	2
151	с в	2	2
152	мы не	4	2
153	большую роль	1	2
154	хотя бы	15	2
155	на такой	1	2
156	меньшей степени	2	2
157	на них	2	2
158	быть в	1	2
159	в последних	1	2
160	но не	5	2
161	думать что	8	2
162	в течение	5	2
163	все же	1	2
164	его к	1	2
165	имеет в	2	2
166	в этот	1	2
167	он в	1	2
168	и если	2	2
169	к тем	1	2
170	на его	1	2
171	и еще	2	2
172	не к	2	2
173	в корне	1	2
174	на этом	1	2
175	значительной степени	1	2
176	лишь в	1	2
177	далеко не	2	2
178	точки зрения	23	2
179	в котором	2	2
180	представление о	2	2
181	одном из	2	2
182	том же	1	2
183	не менее	1	2
184	культурной жизни	4	2
185	считает что	1	2
186	дело в	3	2
187	о таких	1	2
188	и культурной	1	2
189	связь и	1	2
190	этом отношении	3	2
191	и далее	1	2
192	числе и	1	2
193	должны быть	1	2
194	той или	4	2
195	и это	1	2
196	данном случае	2	2
197	на основе	2	2
198	и сам	1	2
199	одного из	1	2
200	по сравнению	2	2
201	поэтому в	1	2
202	можно сказать	4	2
203	в разных	1	2
204	говорит об	1	2
205	с другой	7	2
206	нас в	1	2
207	язык и	1	2
208	в большей	1	2
209	к нему	2	2
210	как нечто	1	2
211	который в	1	2
212	включает в	1	2
213	но как	2	2
214	или же	1	2
215	и ее	1	2
216	об их	1	2
217	больше чем	1	2
218	конечно не	1	2
219	уже в	1	2
220	мы знаем	1	2
221	как его	1	2
222	рядом с	1	2
223	или иной	4	2
224	влияние на	2	2
225	именно в	4	2
226	что для	1	2
227	с этим	2	2
228	этой эпохи	1	2
229	к жизни	1	2
230	сравнению с	2	2
231	это есть	1	2
232	в состоянии	1	2
233	мировой истории	1	2
234	этого слова	1	2
235	слова и	1	2
236	какой бы	2	2
237	же к	2	2
238	потому что	3	2
239	одной из	5	2
240	в последнем	1	2
241	мы увидим	1	2
242	ко всему	2	2
243	и другие	1	2
244	это в	1	2
245	все что	1	2
246	и т	1	1
247	словами чтобы	1	1
248	напомнить о	1	1
249	и отчасти	2	1
250	этого мира	1	1
251	от своей	1	1
252	которую они	1	1
253	исходит из	1	1
254	с таким	1	1
255	культурной и	1	1
256	долгое время	2	1
257	есть не	2	1
258	на тех	1	1
259	или наоборот	1	1
260	с более	3	1
261	и тут	2	1
262	с западной	1	1
263	не делает	1	1
264	мы говорили	1	1
265	на такие	1	1
266	почти все	1	1
267	есть нечто	1	1
268	вместо того	1	1
269	с но	1	1
270	но даже	4	1
271	на которых	1	1
272	литературы и	1	1
273	меньше чем	2	1
274	между собой	2	1
275	бы еще	1	1
276	народа который	1	1
277	бы то	4	1
278	каждого товара	1	1
279	тем как	1	1
280	земли в	1	1
281	видели что	1	1
282	ибо то	1	1
283	способен ни	1	1
284	в общем	3	1
285	же кто	1	1
286	в оценке	1	1
287	относится к	1	1
288	интересно сопоставить	1	1
289	иной степени	1	1
290	при известных	1	1
291	что во	1	1
292	в одной	1	1
293	определяется как	1	1
294	все остальные	1	1
295	может найти	1	1
296	смысле этого	1	1
297	когда он	3	1
298	не являются	1	1
299	себе не	3	1
300	от этого	5	1
301	характер как	1	1
302	бы и	3	1
303	что это	2	1
304	выход в	1	1
305	представляет собой	3	1
306	в тех	1	1
307	за их	1	1
308	в известном	3	1
309	с некоторым	1	1
310	и тот	1	1
311	но его	1	1
312	во многих	4	1
313	но на	3	1
314	из указанных	1	1
315	самые основные	1	1
316	всем своем	1	1
317	как одной	1	1
318	не как	1	1
319	и существенно	2	1
320	что может	1	1
321	и по	5	1
322	или иных	1	1
323	то ни	4	1
324	как они	1	1
325	а затем	1	1
326	главным образом	2	1
327	в совершенно	1	1
328	заключается в	2	1
329	с другими	2	1
330	мире как	1	1
331	например с	2	1
332	весь мир	1	1
333	и тем	3	1
334	истории и	1	1
335	для них	2	1
336	с тем	3	1
337	несмотря на	4	1
338	с такой	1	1
339	чем в	4	1
340	в развитии	2	1
341	должно быть	1	1
342	такой же	2	1
343	имеют дело	1	1
344	и их	1	1
345	и культуры	1	1
346	или точнее	2	1
347	в отношении	32	1
348	именно и	1	1
349	с точки	17	1
350	то его	1	1
351	которые в	1	1
352	не в	5	1
353	на минуту	1	1
354	она в	3	1
355	друг другу	1	1
356	и более	2	1
357	в прошлом	3	1
358	для нее	1	1
