N	2gram	Bakhtin_KF_1	SlovoVZh
1	делает его	1	2
2	к его	1	2
3	а не	17	2
4	только на	1	1
5	себе в	1	1
6	уже и	1	1
7	оно не	2	1
8	его и	2	1
9	умирает в	1	1
10	эта же	1	1
11	действительно произнесенное	1	1
12	в процессе	2	1
13	в своей	10	1
14	может быть	45	1
15	отношению к	22	1
16	на самом	3	1
17	в том	6	1
18	точек зрения	1	1
19	по себе	2	1
20	и по	1	1
21	и его	17	1
22	и психологический	1	1
23	не может	27	1
24	и того	2	1
25	живет и	1	1
26	и делает	2	1
27	это уже	2	1
28	себе как	2	1
29	к предмету	1	1
30	как к	2	1
31	но это	6	1
32	быть и	3	1
33	том же	1	1
34	все они	1	1
35	так и	2	1
36	и для	9	1
37	и продукт	1	1
38	или не	1	1
39	по отношению	26	1
40	и к	1	1
41	точки зрения	12	1
