N	3gram	Bakhtin_sl_1	Literetu
1	то же время	12	7
2	в то же	12	7
3	в этом отношении	1	5
4	в отличие от	1	5
5	в данном случае	3	4
6	с одной стороны	4	4
7	о том что	1	4
8	в том что	1	4
9	с точки зрения	8	3
10	не может быть	1	3
11	бы то ни	1	2
12	но и в	1	2
13	и в частности	1	2
14	не только в	2	2
15	то ни было	1	2
16	так или иначе	1	2
17	а не как	2	2
18	с другой стороны	4	2
19	в одном из	1	2
20	той или иной	9	2
21	сам он в	1	1
22	в той или	9	1
23	нас в данном	1	1
24	не только по	1	1
25	точки зрения которого	1	1
26	а затем и	1	1
27	как бы не	1	1
28	и там где	2	1
29	каждый данный момент	4	1
30	хотя бы и	3	1
31	же время в	1	1
32	никто его не	1	1
33	по аналогии с	1	1
34	и т п	23	1
35	но это не	1	1
36	произведение в целом	1	1
37	может быть только	2	1
38	в процессе своего	1	1
39	в значительной степени	1	1
40	может быть не	1	1
41	xx века не	1	1
42	в каждый данный	5	1
43	и потому не	1	1
44	точки зрения говорящего	1	1
45	автора и его	1	1
46	потому не может	1	1
47	мы все время	1	1
48	для того чтобы	1	1
49	и в том	2	1
50	этой точки зрения	1	1
51	более или менее	3	1
52	в свою очередь	2	1
53	не только не	1	1
54	состояние его души	1	1
55	с этой точки	1	1
56	между автором и	2	1
57	с жизнью и	1	1
58	в эстетический объект	1	1
59	никогда не бывает	1	1
60	к тому что	2	1
61	в отношении к	6	1
62	тем не менее	1	1
63	это не только	1	1
64	данном случае не	1	1
