N	2gram	Bakhtin_sl_2	Vladivir
1	и в	39	40
2	то что	2	28
3	и не	22	25
4	не только	24	25
5	у него	3	24
6	то есть	26	24
7	в том	5	18
8	но и	21	18
9	том что	5	18
10	что в	3	17
11	также и	2	17
12	в этом	16	16
13	не может	20	14
14	в его	7	14
15	вовсе не	10	13
16	точки зрения	8	13
17	в виде	2	13
18	только в	5	13
19	в конце	1	12
20	а именно	2	12
21	даже и	4	12
22	сказать что	3	12
23	таким образом	8	11
24	никогда не	7	11
25	о том	2	11
26	как раз	1	10
27	и его	33	10
28	ни в	4	10
29	и потому	7	10
30	тем не	1	10
31	не просто	1	10
32	прежде всего	8	10
33	в себе	2	9
34	и с	9	9
35	не менее	4	9
36	в своей	1	9
37	уже не	5	9
38	для него	7	8
39	может быть	37	8
40	как мы	7	8
41	в этой	1	8
42	и что	1	8
43	он не	2	8
44	не был	2	8
45	а также	3	8
46	а не	14	8
47	в своем	6	8
48	как и	6	7
49	а в	4	7
50	в то	4	7
51	вместе с	2	7
52	хотя и	2	7
53	того что	1	7
54	что и	3	7
55	несмотря на	1	7
56	в своих	1	7
57	так как	4	7
58	и как	3	7
59	и здесь	2	6
60	так и	15	6
61	кроме того	2	6
62	в смысле	4	6
63	по себе	5	6
64	об этом	1	6
65	и даже	7	6
66	с точки	3	6
67	хотя бы	3	6
68	и от	3	6
69	во всем	4	6
70	да и	1	6
71	xix века	4	6
72	и на	4	6
73	смысле слова	1	6
74	и это	1	6
75	но это	3	6
76	все эти	6	5
77	для нас	5	5
78	отнюдь не	1	5
79	в одном	2	5
80	совсем не	1	5
81	дело в	2	5
82	отношения к	4	5
83	в отношении	4	5
84	в истории	11	5
85	должно быть	1	5
86	ничего не	1	5
87	эти три	1	5
88	тем что	1	5
89	или менее	2	5
90	только и	2	5
91	более или	2	5
92	мы уже	2	5
93	с другой	5	5
94	в ней	3	5
95	что он	2	5
96	только на	1	5
97	еще в	1	5
98	в данном	2	5
99	не было	2	5
100	еще не	7	4
101	говорит о	1	4
102	и все	5	4
103	на то	1	4
104	то он	1	4
105	даже в	2	4
106	как это	3	4
107	все же	6	4
108	бы и	3	4
109	но не	6	4
110	здесь в	3	4
111	не с	3	4
112	ведь если	1	4
113	мог бы	1	4
114	и о	1	4
115	то же	4	4
116	однако и	1	4
117	такой же	1	4
118	до конца	17	4
119	в результате	2	4
120	но в	6	4
121	если оно	2	4
122	в основном	4	4
123	чем в	2	4
124	или как	4	4
125	никак не	1	4
126	указать на	1	4
127	в дальнейшем	2	4
128	в самом	1	4
129	и чисто	2	3
130	весь этот	1	3
131	во всяком	3	3
132	в связи	2	3
133	в качестве	1	3
134	здесь не	4	3
135	при этом	7	3
136	и для	5	3
137	только о	2	3
138	к нему	3	3
139	в нем	19	3
140	не в	9	3
141	нисколько не	1	3
142	того чтобы	2	3
143	и нельзя	1	3
144	же в	1	3
145	но все	5	3
146	независимо от	2	3
147	в виду	1	3
148	и только	1	3
149	оно не	8	3
150	этого не	1	3
151	все то	1	3
152	в таком	4	3
153	и притом	1	3
154	мы видели	2	3
155	за пределы	2	3
156	отличие от	13	3
157	человека и	3	3
158	это не	5	3
159	в чем	3	3
160	не все	2	3
161	всякого рода	1	3
162	вещь и	1	3
163	всяком случае	2	3
164	не столько	3	3
165	это было	1	3
166	с их	3	3
167	если нет	1	3
168	с каким	1	3
169	даже не	1	3
170	отличается от	2	3
171	одной стороны	5	3
172	и тем	1	3
173	а наоборот	1	3
174	именно в	2	3
175	с одной	5	3
176	в отличие	12	3
177	далеко не	2	3
178	три категории	1	3
179	в духе	1	3
180	самого человека	1	3
181	уже в	2	3
182	перед нами	3	3
183	самого же	2	3
184	как бы	7	3
185	нему и	1	2
186	о которых	1	2
187	и этот	1	2
188	мы коснемся	1	2
189	и наконец	5	2
190	очень легко	2	2
191	одно и	1	2
192	же время	4	2
193	в другом	2	2
194	в одно	2	2
195	и ни	2	2
196	того же	1	2
197	как например	2	2
198	но оно	2	2
199	на почве	4	2
200	те или	1	2
201	чем это	1	2
202	связи с	3	2
203	как с	2	2
204	должна быть	3	2
205	что его	1	2
206	когда оно	1	2
207	нет ни	1	2
208	в обществе	1	2
209	или иные	1	2
210	в какой	1	2
211	мы не	2	2
212	всех своих	1	2
213	при условии	1	2
214	его всегда	2	2
215	и выше	1	2
216	в нашем	2	2
217	его в	4	2
218	стороны и	3	2
219	но мы	2	2
220	не можем	1	2
221	он сам	1	2
222	мы находим	1	2
223	по своей	1	2
224	правды и	1	2
225	одной из	1	2
226	есть не	1	2
227	если они	1	2
228	иметь в	1	2
229	в сущности	6	2
230	как не	1	2
231	здесь нет	1	2
232	он ни	1	2
233	для понимания	1	2
234	к своему	9	2
235	человека от	1	2
236	в этих	7	2
237	за свое	1	2
238	и к	6	2
239	на него	2	2
240	знания и	1	2
241	для того	2	2
242	которых мы	2	2
243	не меньше	2	2
