N	2gram	Potebnia_M_3	Stilisti
1	и в	30	42
2	не только	21	27
3	как бы	3	27
4	и т.п	1	24
5	прежде всего	3	22
6	и т.д	1	20
7	то же	23	15
8	но и	19	15
9	и не	15	14
10	не может	6	12
11	может быть	28	12
12	мы уже	2	11
13	как и	10	11
14	точки зрения	2	11
15	в этом	10	10
16	и как	5	10
17	как мы	7	10
18	мы должны	4	10
19	что мы	8	10
20	мы не	9	9
21	при этом	3	9
22	в то	10	9
23	для того	4	9
24	то что	18	9
25	в ней	8	8
26	все же	2	8
27	в себе	16	8
28	таким образом	14	8
29	тем самым	7	8
30	и это	4	8
31	слово как	5	8
32	с тем	7	8
33	эти слова	2	8
34	что же	2	8
35	и на	3	7
36	в которой	3	7
37	было бы	9	7
38	и тем	5	7
39	так как	13	7
40	же время	5	7
41	потому что	46	7
42	того чтобы	3	7
43	ничего не	1	7
44	с его	1	7
45	только в	21	7
46	и его	4	7
47	мы можем	3	7
48	а не	15	7
49	и от	4	7
50	во всех	1	6
51	в этой	2	6
52	на его	2	6
53	в нем	9	6
54	не в	15	6
55	в процессе	1	6
56	в области	2	6
57	когда мы	2	6
58	так и	11	6
59	другими словами	1	6
60	в форме	2	6
61	язык в	1	6
62	говорящего и	3	6
63	в свою	3	6
64	той же	2	5
65	уже в	5	5
66	что язык	2	5
67	независимо от	5	5
68	и наконец	2	5
69	одно и	5	5
70	и с	2	5
71	мы видели	4	5
72	с точки	1	5
73	и той	2	5
74	тому что	3	5
75	в сознании	15	5
76	а в	12	5
77	не является	1	5
78	же самое	1	5
79	те же	6	5
80	в его	4	5
81	и следовательно	3	5
82	слова в	7	5
83	точек зрения	1	5
84	вместе с	12	5
85	слова и	5	5
86	если б	5	4
87	и то	8	4
88	самом деле	2	4
89	тем же	4	4
90	мы называем	1	4
91	слово не	5	4
92	себя в	1	4
93	что именно	4	4
94	но в	1	4
95	в самом	8	4
96	что это	4	4
97	так сказать	2	4
98	уже не	6	4
99	в каждом	3	4
100	его в	3	4
101	и без	7	4
102	на него	3	4
103	но все	2	4
104	к тому	7	4
105	на это	4	4
106	свою очередь	3	4
107	языка и	2	4
108	с самого	1	4
109	было в	1	4
110	если бы	12	4
111	в словах	3	4
112	о том	2	4
113	можно сказать	3	4
114	того что	18	4
115	один из	4	4
116	мы видим	2	4
117	в обществе	1	4
118	если мы	1	4
119	а с	2	4
120	в слове	32	4
121	то есть	34	4
122	к своему	2	4
123	все это	4	4
124	не знаем	3	4
125	не существует	3	4
126	бы в	2	4
127	так же	3	4
128	вряд ли	1	3
129	отношения к	1	3
130	словом и	5	3
131	на самом	1	3
132	которое может	1	3
133	жизни это	1	3
134	еще не	5	3
135	то он	2	3
136	ответ на	3	3
137	нет и	1	3
138	перед нами	2	3
139	хотя и	1	3
140	та же	2	3
141	что всякое	1	3
142	не к	4	3
143	слов в	2	3
144	и вот	1	3
145	их в	2	3
146	языком и	1	3
147	будем говорить	1	3
148	заключает в	5	3
149	здесь мы	1	3
150	не будет	3	3
151	об этом	2	3
152	лишь в	1	3
153	это не	1	3
154	может стать	2	3
155	своего осуществления	1	3
156	том что	18	3
157	что такое	2	3
158	бы мы	2	3
159	общий смысл	1	3
160	и внешней	1	3
161	слово и	3	3
162	в разных	2	3
163	связи с	2	3
164	до того	4	3
165	может показаться	1	3
166	деятельности и	2	3
167	да и	1	3
168	слова но	2	3
169	что оно	11	3
170	в виду	1	3
171	в ее	2	3
172	то или	2	3
173	что у	1	3
174	и здесь	1	3
175	не имеем	1	3
176	должно было	2	3
177	связь между	2	3
178	жизни и	2	3
179	конечно не	1	3
180	только на	3	3
181	из них	6	3
182	его и	1	3
183	представить себе	3	3
184	в котором	4	3
185	в одном	2	3
186	но что	2	3
187	от того	8	3
188	явления природы	1	3
189	что и	13	3
190	и даже	2	3
191	и эта	1	3
192	если не	4	3
193	расстояние между	1	3
194	этого слова	11	3
195	в целом	3	3
196	как предмет	1	3
197	в начале	3	3
198	и слово	6	3
199	для нас	20	3
200	и все	3	3
201	главным образом	1	3
202	язык не	2	3
203	между ними	1	3
204	не знает	3	3
205	сказать что	5	3
206	я и	3	2
207	человека и	5	2
208	нас не	1	2
209	что эти	1	2
210	его не	1	2
211	со всех	1	2
212	и конечно	1	2
213	нуждаются в	1	2
214	вопрос о	1	2
215	и он	1	2
216	же слово	2	2
217	один акт	2	2
218	природы и	2	2
219	предположим что	1	2
220	но не	7	2
221	знак и	1	2
222	только потому	3	2
223	только тогда	9	2
224	очевидно что	5	2
225	можем не	1	2
226	отношение к	2	2
227	себе и	1	2
228	первый взгляд	1	2
229	как в	10	2
230	помнить что	1	2
231	от нашего	4	2
232	целый ряд	2	2
233	может получить	1	2
234	роль играет	1	2
235	выражение лица	1	2
236	к чему	1	2
237	все эти	1	2
238	бы не	4	2
239	тому же	1	2
240	друг другу	1	2
241	человек не	2	2
