N	2gram	Bakhtin_Pr_5	VrazhdaK
1	в бесах	1	10
2	не только	10	9
3	достоевского с	1	9
4	в этом	14	8
5	и в	35	8
6	и что	6	8
7	достоевский и	1	8
8	достоевского в	3	7
9	достоевского и	2	7
10	но и	14	7
11	и все	15	7
12	то что	10	7
13	что в	6	7
14	все же	8	6
15	но в	19	6
16	в нем	16	6
17	как и	18	6
18	в котором	3	6
19	и с	12	6
20	о нем	2	6
21	в начале	3	6
22	и даже	5	6
23	в романе	1	6
24	то же	15	5
25	об этом	1	5
26	в то	11	5
27	же время	10	5
28	между тем	4	5
29	в письме	1	5
30	у него	4	5
31	и не	27	5
32	к бесам	1	4
33	в ней	2	4
34	что он	24	4
35	что достоевский	1	4
36	при этом	2	4
37	это не	3	4
38	все это	14	4
39	в виду	3	4
40	во многом	1	4
41	с ним	7	4
42	о том	2	4
43	у достоевского	12	4
44	уже в	3	4
45	может быть	14	4
46	как бы	31	4
47	в своих	1	4
48	так же	7	4
49	одним из	1	3
50	из подполья	35	3
51	я не	8	3
52	он был	1	3
53	в чем	4	3
54	с его	7	3
55	в своем	2	3
56	и как	2	3
57	в этот	2	3
58	раз в	2	3
59	его в	4	3
60	он не	13	3
61	далеко не	1	3
62	том что	3	3
63	но он	4	3
64	достоевский не	1	3
65	и его	14	3
66	связи с	1	3
67	человека в	1	3
68	достоевского к	1	3
69	что у	6	3
70	и во	3	3
71	в его	21	3
72	в том	5	3
73	давно уже	1	3
74	и у	4	3
75	чтобы он	1	3
76	в конце	5	3
77	тем что	4	3
78	в те	1	3
79	о себе	17	3
80	эти слова	3	3
81	имел в	1	3
82	я хотел	2	3
83	ставрогина и	1	3
84	к этому	1	3
85	отношения к	1	2
86	и то	5	2
87	б и	1	2
88	и он	2	2
89	он сам	6	2
90	столь же	2	2
91	но как	4	2
92	ответ на	1	2
93	в эти	2	2
94	человека с	3	2
95	отнюдь не	1	2
96	в той	4	2
97	в письмах	1	2
98	в этой	1	2
99	в себе	5	2
100	их в	2	2
101	таким образом	7	2
102	в мире	4	2
103	достоевского он	1	2
104	в них	4	2
105	рядом с	4	2
106	а с	3	2
107	меня но	1	2
108	мы знаем	2	2
109	не мог	3	2
110	в эту	4	2
111	во время	5	2
112	точки зрения	7	2
113	в своей	4	2
114	и ее	1	2
115	с точки	2	2
116	он тоже	1	2
117	не менее	2	2
118	том же	1	2
119	в повести	3	2
120	одна из	1	2
121	никогда не	4	2
122	в роман	2	2
123	к себе	18	2
124	его с	5	2
125	время он	1	2
126	и это	5	2
127	же не	4	2
128	так в	2	2
129	еще не	7	2
130	этот момент	1	2
131	тем более	1	2
132	что ж	1	2
133	уже не	3	2
134	из них	3	2
135	его и	3	2
136	для него	14	2
137	записки из	1	2
138	отношение к	6	2
139	как раз	4	2
140	и т.п	6	2
141	николай ставрогин	1	2
142	с которым	4	2
143	о чем	1	2
144	не может	18	2
145	вместе с	2	2
146	в него	3	2
147	ко мне	1	2
148	князь с	1	2
149	но это	6	2
150	что я	13	2
151	же в	1	2
152	очень хорошо	1	2
153	а в	7	2
154	в свою	1	2
155	это в	2	2
156	ну что	1	1
157	себя как	3	1
158	а между	3	1
159	от этой	1	1
160	ко всем	1	1
161	полемика с	4	1
162	того же	1	1
163	запискам из	2	1
164	не имел	1	1
165	стиле рассказа	1	1
166	это и	3	1
167	он добивается	1	1
168	что слово	1	1
169	ему что	1	1
170	несколько позже	1	1
171	не хочет	2	1
172	по преимуществу	1	1
173	уже по	1	1
174	в их	1	1
175	по его	1	1
176	смерти отца	2	1
177	исповеди ставрогина	3	1
178	вы не	2	1
179	той же	2	1
180	плане его	2	1
181	что уже	1	1
182	которой достоевский	1	1
183	что никто	1	1
184	героя нашего	1	1
185	он как	4	1
186	начинается с	1	1
187	еще до	2	1
188	совпадает с	2	1
189	говорить о	3	1
190	на бале	2	1
191	ты как	3	1
192	событий и	1	1
193	ему в	1	1
194	один пример	1	1
195	всего романа	2	1
196	него он	2	1
197	меня в	2	1
198	а другие	1	1
199	собой в	1	1
200	а еще	1	1
201	на них	7	1
