N	4gram	Vinokur_Ku_1	Myshleni
1	заключается в том что	2	4
2	в собственном смысле слова	1	3
3	состоит в том что	3	3
4	мы имеем в виду	1	1
5	со своей точки зрения	1	1
6	только для того чтобы	1	1
7	возразить против того что	1	1
8	и с точки зрения	1	1
9	а с другой стороны	2	1
10	только тогда когда он	1	1
11	для того чтобы дать	2	1
12	к которому он принадлежит	1	1
13	в целом и в	1	1
14	что с точки зрения	1	1
15	по мере того как	3	1
16	в том что он	3	1
17	сводится к тому чтобы	1	1
18	в том смысле что	1	1
19	невозможно с точки зрения	1	1
20	в том случае если	1	1
21	ответить на этот вопрос	1	1
22	и в самом деле	2	1
23	для того чтобы с	1	1
24	по отношению к которому	1	1
