N	2gram	Vinokur_St_2	Hudozhes
1	в качестве	5	19
2	и не	9	16
3	не только	19	15
4	и в	29	15
5	в том	27	15
6	тогда как	2	13
7	может быть	2	13
8	в частности	4	13
9	при этом	2	12
10	и его	6	12
11	а в	1	12
12	но не	3	11
13	в этом	21	11
14	в себе	2	11
15	то же	2	10
16	по отношению	1	10
17	представляет собой	1	10
18	как бы	5	10
19	так и	9	10
20	а не	5	10
21	отношению к	1	10
22	но и	19	10
23	такого рода	2	9
24	точки зрения	5	9
25	в его	13	9
26	своего рода	5	8
27	отличие от	2	7
28	но в	8	7
29	в принципе	1	7
30	в отличие	2	7
31	в то	2	7
32	с другой	4	7
33	с его	2	6
34	отношение к	1	6
35	том что	27	6
36	не в	4	6
37	в основе	1	6
38	же время	1	6
39	в ее	2	6
40	не может	2	6
41	что в	19	6
42	в их	3	5
43	более или	2	5
44	в самом	7	5
45	то что	11	5
46	ни в	3	5
47	можно сказать	1	5
48	а также	2	5
49	того что	5	5
50	только в	2	5
51	между ними	1	5
52	другой стороны	3	5
53	или менее	2	5
54	я с	1	5
55	в нем	4	5
56	и то	1	4
57	место в	1	4
58	говорить о	1	4
59	еще не	1	4
60	хотя и	4	4
61	и как	2	4
62	он не	9	4
63	в другом	4	4
64	и тем	1	4
65	в этих	3	4
66	в своей	7	4
67	не столько	7	4
68	между тем	5	4
69	в форме	1	4
70	для него	4	4
71	со стороны	2	4
72	к которому	1	4
73	прежде всего	5	4
74	а на	1	4
75	как это	2	4
76	например в	3	4
77	к тому	10	4
78	по пути	2	4
79	сказать что	2	4
80	того же	2	3
81	в виду	7	3
82	как говорит	2	3
83	и к	4	3
84	в которой	11	3
85	не следует	1	3
86	одно и	1	3
87	его в	2	3
88	этом смысле	1	3
89	текст в	1	3
90	как и	2	3
91	с точки	2	3
92	но он	3	3
93	тем не	2	3
94	в отношении	2	3
95	не менее	3	3
96	в русской	5	3
97	однако если	1	3
98	как раз	8	3
99	потому что	9	3
100	не будет	1	3
101	в пределах	1	3
102	так в	1	3
103	к его	1	3
104	если бы	2	3
105	и что	6	3
106	что он	13	3
107	во втором	1	3
108	не случайно	1	3
109	в области	2	3
110	не на	2	3
111	была бы	5	3
112	по своему	2	3
113	о чем	5	3
114	в данном	2	3
115	в той	5	3
116	внешнего мира	1	3
117	и для	1	3
118	таким образом	10	3
119	в свою	1	3
120	в таком	1	3
121	и это	2	2
122	это и	1	2
123	идет о	3	2
124	к другому	1	2
125	по преимуществу	1	2
126	в году	3	2
127	совпадает с	1	2
128	не вполне	1	2
129	на свою	1	2
130	я не	7	2
131	этого термина	1	2
132	и на	6	2
133	в чем	1	2
134	могло быть	3	2
135	но как	1	2
136	в комедии	1	2
137	за пределы	1	2
138	в своем	9	2
139	говорит что	1	2
140	все эти	2	2
141	в этой	2	2
142	с их	1	2
143	вследствие этого	1	2
144	не как	1	2
145	до прихода	1	2
146	на этом	1	2
147	значительной степени	2	2
148	об этом	6	2
149	времени и	4	2
150	по себе	3	2
151	в них	2	2
152	несмотря на	2	2
153	с другими	1	2
154	и некоторые	1	2
155	и более	2	2
156	вовсе не	6	2
157	даже в	2	2
158	тому что	7	2
159	дело не	2	2
160	одна из	1	2
161	материала в	1	2
162	не могло	3	2
163	этих двух	1	2
164	пушкина что	1	2
165	не является	3	2
166	языка в	2	2
167	оно не	3	2
168	и о	4	2
169	того чтобы	6	2
170	свою очередь	1	2
171	здесь не	1	2
172	роль в	1	2
173	и сам	2	2
174	или в	1	2
175	с самим	1	2
176	о том	17	2
177	в значительной	2	2
178	на всех	1	2
179	именно в	4	2
180	говорит в	1	2
181	ни к	1	2
182	и др	2	2
183	одно из	1	2
184	в одном	6	2
185	у него	1	2
186	случае не	2	2
187	для того	7	2
188	чем и	1	2
189	на почве	2	2
190	следует подчеркнуть	1	2
191	или иначе	1	2
192	а с	3	2
193	себя и	1	2
194	жизни то	1	2
195	в сторону	1	2
196	о себе	1	2
197	так же	3	2
198	и потому	2	2
199	как в	3	2
200	к своему	2	2
201	так или	1	2
202	и по	3	2
203	для понимания	1	2
204	жизни в	1	2
205	в контексте	1	2
206	ни для	1	2
207	для такого	1	2
208	речь идет	4	2
209	отношении к	3	2
210	одной из	3	2
211	в романе	4	2
212	из этого	1	2
213	только о	2	2
214	том числе	1	2
215	также и	2	1
216	же как	3	1
217	именно эта	1	1
218	характерное для	1	1
219	отношения между	1	1
220	из его	2	1
221	а об	1	1
222	др в	1	1
223	едва ли	1	1
224	действительности и	1	1
225	в зависимости	1	1
226	которыми он	1	1
227	той же	1	1
228	в литературном	1	1
229	в сущности	1	1
230	в полной	2	1
231	в составе	1	1
232	никогда не	3	1
233	которое в	1	1
234	зависимости от	1	1
235	в каждой	1	1
236	пребывания в	2	1
237	говорил о	1	1
238	думаю что	1	1
239	произведения именно	1	1
240	на них	1	1
241	участвовать в	1	1
242	ее составе	1	1
243	столь же	1	1
244	бы то	2	1
245	совершенно особое	1	1
246	суда над	1	1
247	особенно если	1	1
248	а тем	1	1
249	нет не	1	1
250	себе и	1	1
251	с легкой	1	1
252	реального исторического	1	1
253	себе отчет	1	1
254	что они	2	1
255	и я	2	1
256	в истории	2	1
257	мере в	2	1
258	более чем	1	1
259	что касается	1	1
260	тем же	2	1
261	силе и	1	1
262	говорят о	1	1
263	что это	3	1
264	а во-вторых	1	1
265	из этих	1	1
266	большей части	1	1
267	в известном	3	1
268	всего к	1	1
269	раз в	2	1
270	данном контексте	1	1
271	на то	2	1
272	на его	2	1
273	что она	1	1
274	в статье	2	1
275	том в	1	1
276	одному из	1	1
277	все это	11	1
278	в первую	1	1
279	первой части	2	1
280	в понимании	1	1
281	свою собственную	1	1
282	к одному	1	1
283	отношений между	3	1
284	данном отношении	1	1
285	свое время	1	1
286	по его	3	1
287	то ни	2	1
288	а затем	2	1
289	что все	1	1
290	тем в	2	1
291	в совершенно	1	1
292	речь в	1	1
293	а по	1	1
294	для своей	2	1
295	не с	1	1
296	и внутренне	1	1
297	а как	4	1
298	это было	2	1
299	первую очередь	1	1
300	отчет в	1	1
301	было бы	5	1
302	не совпадает	1	1
303	лишь на	1	1
304	по этому	2	1
305	основания для	1	1
306	нет в	1	1
307	он и	1	1
308	которой обладают	1	1
309	места в	1	1
310	с ума	1	1
311	от своего	1	1
312	и без	1	1
313	в котором	7	1
314	одним и	1	1
315	с политической	2	1
316	в условиях	1	1
317	оно стало	1	1
318	от его	2	1
319	об отсутствии	1	1
320	значение для	1	1
321	который всегда	1	1
322	непременным условием	1	1
323	не могли	2	1
324	в конце	2	1
325	и общества	1	1
326	том же	2	1
327	нас к	1	1
328	на один	1	1
329	в таких	1	1
330	xviii века	2	1
331	виду что	1	1
332	но для	1	1
333	не имеет	2	1
334	принадлежат к	1	1
335	что такое	2	1
336	которого он	1	1
337	героев и	1	1
338	иметь в	3	1
339	но только	1	1
340	действующие лица	3	1
341	это еще	2	1
342	нельзя не	3	1
343	с острым	1	1
344	не своей	2	1
345	с отвращением	1	1
346	и теперь	2	1
347	связи с	4	1
348	из того	1	1
349	не по	2	1
350	как будто	1	1
351	в каком	2	1
352	ему не	2	1
353	и здесь	3	1
354	в момент	1	1
355	своему образцу	1	1
356	сравнении с	2	1
357	его за	1	1
358	вокруг него	1	1
359	что хотят	1	1
360	всего что	1	1
361	в поле	1	1
362	как следствие	2	1
363	в каждом	1	1
364	о каком	1	1
365	на это	2	1
366	в настоящее	1	1
367	говорит о	2	1
368	как мы	1	1
369	у себя	1	1
370	значения и	1	1
371	точно так	1	1
372	меня в	2	1
373	из москвы	2	1
374	что составляет	1	1
375	только при	1	1
376	мысль о	1	1
377	реальной действительности	1	1
378	в особенности	2	1
379	то время	1	1
380	на произведение	2	1
381	значение в	1	1
382	и совершенно	1	1
383	котором он	1	1
384	переход к	1	1
385	на нее	3	1
386	те же	1	1
387	в сочетании	2	1
388	разного рода	1	1
389	жанра в	1	1
390	к языку	1	1
391	различных художественных	1	1
392	именно потому	1	1
393	искусства и	2	1
394	внимание на	4	1
395	настоящее время	1	1
396	под маской	1	1
397	после того	4	1
398	и который	2	1
399	вследствие того	1	1
400	понимая что	1	1
401	в которую	2	1
402	эти два	1	1
403	нуждается в	1	1
404	иначе в	1	1
405	статье о	1	1
406	для установления	1	1
407	по содержанию	1	1
408	в заключительной	2	1
409	известном смысле	1	1
410	с той	2	1
411	один из	1	1
412	но с	4	1
413	тот же	1	1
414	действующих лиц	4	1
415	в какой	2	1
416	до нас	1	1
417	русского языка	3	1
418	такое же	2	1
419	образа в	1	1
420	или же	1	1
421	бы ни	2	1
422	и жизни	1	1
423	а после	1	1
424	с которыми	1	1
425	по большей	1	1
426	так что	3	1
427	времени когда	1	1
428	с нею	3	1
429	всем его	1	1
430	в поэзии	1	1
431	то и	1	1
432	действующего лица	2	1
433	не дает	2	1
434	совпадения с	1	1
435	из них	3	1
436	себе в	1	1
437	ведь это	1	1
438	до того	4	1
439	которые одновременно	1	1
440	не для	1	1
441	у нее	1	1
442	относится не	1	1
443	так как	2	1
444	и от	1	1
445	тому же	3	1
446	должен был	4	1
447	не просто	1	1
448	его исторического	1	1
449	для публики	1	1
450	представляют собой	1	1
451	не было	3	1
452	имеет значение	1	1
453	и даже	3	1
454	но одно	1	1
455	как у	3	1
456	по своим	1	1
457	в бою	1	1
458	такого понимания	1	1
459	на чем	1	1
460	еще и	3	1
461	наконец в	3	1
462	что для	1	1
463	и пр	8	1
464	v в	1	1
465	из наиболее	1	1
466	бессознательно на	1	1
467	с которым	1	1
468	жизнь в	1	1
469	за свою	3	1
470	что из	1	1
471	и слово	1	1
472	его как	2	1
473	в связи	1	1
474	имея в	1	1
475	только к	2	1
476	в лесу	1	1
477	вместе с	7	1
478	в одной	2	1
479	одну из	1	1
480	не могут	1	1
481	социального поведения	1	1
482	в лирических	1	1
483	легкой руки	1	1
484	и вполне	1	1
485	да и	1	1
486	быть не	1	1
487	в это	2	1
488	ценность и	1	1
489	с этой	2	1
490	этом случае	1	1
491	в ранг	1	1
492	той мере	2	1
493	заметил что	1	1
494	между прочим	12	1
495	этом и	1	1
496	языку в	1	1
497	все же	6	1
498	вы говорите	1	1
499	о мире	2	1
500	при всем	1	1
501	писал в	1	1
502	он уже	1	1
503	в более	1	1
504	за его	1	1
505	может служить	1	1
506	если не	2	1
507	не подлежит	1	1
508	в результате	2	1
509	в отдельных	1	1
510	для нас	1	1
511	от него	1	1
512	идет не	1	1
513	бы в	1	1
514	реальности но	1	1
515	пушкиным в	14	1
516	за него	2	1
517	время ее	1	1
518	все они	1	1
519	ни было	2	1
520	же в	1	1
521	можно признать	1	1
522	но если	1	1
523	того времени	4	1
524	к самому	1	1
525	поэт не	2	1
526	одновременно и	1	1
527	в свое	1	1
528	который в	1	1
529	героя в	1	1
530	к числу	1	1
531	сочетании с	2	1
532	жизни и	1	1
533	ее в	2	1
534	и другие	2	1
535	в своих	1	1
536	по поводу	8	1
537	можно назвать	1	1
538	может сомневаться	1	1
539	все что	1	1
540	они не	2	1
541	которая не	1	1
