N	2gram	Vinokur_Ku_2	BTomashe
1	у нас	12	3
2	и не	16	2
3	все это	5	2
4	в ней	3	2
5	можно было	9	2
6	не то	2	2
7	крайней мере	6	1
8	с западными	1	1
9	узко и	1	1
10	и полнее	1	1
11	тем более	1	1
12	также что	2	1
13	говорить о	4	1
14	бы только	1	1
15	будто бы	2	1
16	об этом	5	1
17	и в	23	1
18	и о	4	1
19	в речи	6	1
20	выходит за	2	1
21	функцией в	1	1
22	следовало бы	2	1
23	что все	5	1
24	бы больше	1	1
25	с другой	8	1
26	в своей	2	1
27	своей книге	1	1
28	на самом	2	1
29	как будто	2	1
30	не следует	5	1
31	было бы	15	1
32	все же	7	1
33	всяком случае	5	1
34	кроме того	1	1
35	установка на	2	1
36	никак не	3	1
37	между ними	1	1
38	меньше чем	2	1
39	еще не	5	1
40	и на	6	1
41	выпадают из	1	1
42	в пределах	4	1
43	одной из	1	1
44	вместе взятое	1	1
45	должна быть	5	1
46	в значительной	1	1
47	прежде всего	8	1
48	в данном	4	1
49	так и	4	1
50	не было	4	1
51	то как	1	1
52	в книге	1	1
53	совершенно не	3	1
54	далеко не	1	1
55	всего в	3	1
56	до конца	3	1
57	стиля и	1	1
58	а не	10	1
59	в научном	1	1
60	что в	10	1
61	в области	11	1
62	другой стороны	7	1
63	творчества и	1	1
64	говорить об	1	1
65	не все	3	1
66	так по	1	1
67	по крайней	6	1
68	отнюдь не	4	1
69	таким образом	5	1
70	вопрос о	9	1
71	и более	2	1
72	и потому	2	1
73	не только	20	1
74	значительной степени	1	1
75	во всяком	5	1
76	в эпоху	1	1
77	следует конечно	1	1
