N	3gram	Trubetskoy_1	Narrotol
1	в том что	3	8
2	в данном случае	1	6
3	с одной стороны	7	5
4	по отношению к	1	5
5	в отличие от	1	5
6	о том что	4	4
7	состоит в том	1	4
8	тем не менее	3	4
9	к тому же	4	4
10	в то же	2	3
11	можно сказать что	2	3
12	но при этом	1	3
13	в этом отношении	2	3
14	той или иной	2	3
15	то же время	2	3
16	в соответствии с	1	3
17	все те же	1	2
18	так же как	3	2
19	а в том	1	2
20	точно так же	3	2
21	не только не	1	2
22	не может быть	1	2
23	с точки зрения	6	2
24	и все же	1	2
25	как бы в	1	2
26	к созерцательности и	1	1
27	в том виде	2	1
28	и потому-то с	1	1
29	так и в	1	1
30	так или иначе	3	1
31	лишь то что	1	1
32	в этом процессе	1	1
33	по сравнению с	2	1
34	и в то	1	1
35	оставляя после себя	1	1
36	но в конце	1	1
37	по всей вероятности	1	1
38	свидетельствует о том	1	1
39	до сих пор	5	1
40	по своему характеру	1	1
41	но они не	1	1
42	а с другой	5	1
43	одной из этих	1	1
44	что все эти	1	1
45	в этом последнем	1	1
46	но с другой	1	1
47	и того же	1	1
48	а между тем	1	1
49	то же самое	2	1
50	в то время	1	1
51	в далеком прошлом	1	1
52	новое и особенно	1	1
53	том виде в	2	1
54	вследствие того что	1	1
55	более или менее	5	1
56	начинается с того	1	1
57	одного и того	1	1
58	в которых он	1	1
59	в связи с	3	1
60	в самом деле	1	1
61	в то что	1	1
62	же самое следует	1	1
63	к новой жизни	1	1
64	не может не	1	1
65	в этом направлении	1	1
66	для того чтобы	5	1
67	виде в каком	1	1
68	следует заметить что	1	1
69	не в том	1	1
70	то что он	2	1
71	во всяком случае	6	1
72	в таком случае	1	1
73	в том или	1	1
74	этой точки зрения	2	1
75	иметь в виду	1	1
76	с этой точки	2	1
77	том или ином	1	1
