N	3gram	Tiupa_Lite_2	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	6	7
3	с точки зрения	3	6
4	в том числе	2	5
5	по крайней мере	2	5
6	а с другой	1	5
7	для того чтобы	1	5
8	о том что	2	4
9	с тем чтобы	1	4
10	том числе и	1	4
11	а так как	1	3
12	в конце концов	1	3
13	тем не менее	2	3
14	в том что	5	3
15	то же самое	1	2
16	в этом отношении	3	2
17	с этой точки	1	2
18	то ни было	1	2
19	бы то ни	1	2
20	так и от	1	2
21	то же время	9	2
22	ничего общего с	1	2
23	этой точки зрения	1	2
24	той или иной	1	2
25	в то же	9	2
26	и в сущности	1	1
27	есть не более	1	1
28	состоит в том	4	1
29	ничего не стоит	1	1
30	по отношению к	3	1
31	вместе с новыми	1	1
32	в соответствии с	1	1
33	сказать и о	1	1
34	же время он	1	1
35	и в то	1	1
36	во всей своей	1	1
37	и некоторые другие	1	1
38	в данном случае	3	1
39	в отличие от	1	1
40	не только как	1	1
41	не в том	1	1
42	с другой стороны	4	1
43	речь идет о	3	1
44	а в том	1	1
45	только то что	1	1
46	и в новом	1	1
47	не может быть	7	1
48	но с другой	3	1
49	в свою очередь	1	1
50	в одном из	1	1
51	не только не	1	1
52	после того как	1	1
53	друг друга а	1	1
54	тем что в	1	1
55	еще при жизни	1	1
56	в себе не	1	1
