N	2gram	Vinokur_Ku_2	ViktorSh
1	в книге	1	3
2	конце концов	3	2
3	в том	19	2
4	и в	23	2
5	в конце	4	2
6	том что	11	2
7	дело в	1	1
8	речи и	5	1
9	хочу сказать	1	1
10	только в	5	1
11	и не	16	1
12	в другом	2	1
13	то же	6	1
14	слово по	1	1
15	по крайней	6	1
16	ясно что	5	1
17	так как	15	1
18	а только	3	1
19	стилистики в	1	1
20	и его	3	1
21	в которых	2	1
22	к этому	4	1
23	так в	3	1
24	да и	6	1
25	одном и	1	1
26	к чему	1	1
27	в этом	18	1
28	главным образом	3	1
29	крайней мере	6	1
30	столь же	1	1
31	с большой	1	1
32	что слово	3	1
33	все дело	2	1
34	сводится к	3	1
35	том же	1	1
36	в их	2	1
37	не играет	1	1
38	именно в	3	1
39	ни к	15	1
40	стоило бы	1	1
41	и только	1	1
42	и то	5	1
43	в частности	2	1
44	сводится в	2	1
45	по поводу	2	1
46	один пример	1	1
47	потому что	25	1
48	не хочу	2	1
49	с несколько	1	1
50	далеко не	1	1
51	хотя бы	9	1
52	в значительной	1	1
53	в самом	12	1
54	совершенно ясно	1	1
55	и составляет	1	1
56	время в	1	1
57	не стоило	1	1
58	с о	1	1
59	по существу	5	1
60	все это	5	1
61	гораздо более	3	1
62	бы уже	1	1
63	и том	1	1
64	ведь это	1	1
65	дело именно	1	1
66	но это	3	1
67	их как	1	1
68	более чем	1	1
69	не даром	1	1
70	в устах	2	1
71	и самым	1	1
72	что язык	1	1
73	бы потому	1	1
74	самом деле	9	1
75	не хотел	1	1
76	значительной степени	1	1
77	тем более	1	1
78	я не	5	1
