N	2gram	Trubetskoy_1	VerxiiNi
1	и в	14	26
2	таким образом	11	22
3	с тем	6	18
4	в этом	17	15
5	русской культуры	2	15
6	вместе с	4	15
7	точки зрения	11	13
8	как бы	4	12
9	в том	17	11
10	из этих	3	10
11	не только	9	10
12	и с	7	10
13	может быть	9	10
14	связи с	3	9
15	в области	2	9
16	так как	4	9
17	но и	10	9
18	что в	4	9
19	но не	4	8
20	в общем	1	8
21	главным образом	3	8
22	в индии	1	8
23	и у	1	8
24	с другой	1	8
25	и не	19	8
26	как на	8	8
27	но в	2	7
28	но все	1	7
29	из них	3	7
30	том что	9	7
31	потому что	5	7
32	в эпоху	1	7
33	к нему	2	7
34	то что	13	7
35	а с	2	7
36	того же	1	6
37	представление о	1	6
38	все же	4	6
39	все эти	2	6
40	в себе	9	6
41	всяком случае	6	6
42	с точки	9	6
43	к тому	7	6
44	так и	1	6
45	и т.д	4	6
46	о том	7	6
47	в конце	3	6
48	что и	3	6
49	несмотря на	3	6
50	и потому	3	6
51	все это	6	6
52	мы должны	7	6
53	во всяком	9	6
54	сих пор	5	5
55	и к	6	5
56	тем чтобы	3	5
57	тому же	1	5
58	в силу	2	5
59	в мире	4	5
60	лишь в	3	5
61	или менее	4	5
62	по крайней	1	5
63	национального целого	1	5
64	того чтобы	8	5
65	никогда не	5	5
66	с другом	14	5
67	для того	6	5
68	образом в	1	5
69	в его	4	5
70	крайней мере	1	5
71	до сих	5	5
72	а не	2	5
73	друг с	14	5
74	и для	6	5
75	так же	2	5
76	одной из	3	5
77	более или	4	5
78	том числе	1	5
79	в котором	2	4
80	то же	11	4
81	при жизни	1	4
82	в течение	2	4
83	целый ряд	2	4
84	в самом	3	4
85	в этой	4	4
86	и по	3	4
87	что все	3	4
88	то есть	1	4
89	с другими	1	4
90	он не	5	4
91	и тогда	2	4
92	в которых	1	4
93	в то	10	4
94	в нем	5	4
95	а в	5	4
96	числе и	1	4
97	что оно	3	4
98	народных масс	1	4
99	и что	2	4
100	и только	5	4
101	только в	5	4
102	к своим	1	4
103	и вместе	2	4
104	русской жизни	1	4
105	на этот	1	4
106	ничем не	1	4
107	культурных ценностей	1	4
108	не может	22	4
109	из которых	5	4
110	и от	2	4
111	в этих	2	4
112	во время	2	4
113	что он	6	4
114	в виде	3	4
115	же как	1	3
116	из всех	2	3
117	к богу	7	3
118	если в	6	3
119	в своем	6	3
120	когда он	1	3
121	и как	3	3
122	в которой	1	3
123	что это	3	3
124	и те	2	3
125	духовной культуры	1	3
126	и если	7	3
127	при этом	5	3
128	европейской культуры	2	3
129	всегда и	1	3
130	и при	6	3
131	оказывается что	1	3
132	тем не	1	3
133	если бы	6	3
134	не менее	1	3
135	в других	2	3
136	и о	2	3
137	но по	1	3
138	с самого	1	3
139	культуры и	2	3
140	ясно что	2	3
141	можно сказать	1	3
142	в значительной	3	3
143	путь к	4	3
144	того что	3	3
145	хотя бы	5	3
146	в качестве	3	3
147	так что	2	3
148	уже не	2	3
149	что эти	1	3
150	а после	1	3
151	для него	6	3
152	к ним	1	3
153	случае не	1	3
154	и даже	2	3
155	с ней	1	3
156	в связи	1	3
157	каждая из	1	3
158	с этой	1	3
159	и таким	1	3
160	в результате	2	3
161	конце концов	3	3
162	отношению к	1	3
163	к этому	1	3
164	в таком	2	3
165	точно так	2	3
166	для этих	1	2
167	не должны	1	2
168	и это	1	2
169	первое время	1	2
170	смотреть на	4	2
171	надо было	1	2
172	к западным	1	2
173	ни у	1	2
174	такое положение	1	2
175	так чтобы	3	2
176	еще не	3	2
177	и на	5	2
178	бы то	4	2
179	во всех	5	2
180	в создании	1	2
181	силы и	1	2
182	в китае	1	2
183	оно является	1	2
184	и наконец	2	2
185	еще на	1	2
186	ни один	1	2
187	на то	5	2
188	не могла	1	2
189	значительная часть	1	2
190	они в	1	2
