N	2gram	Medvedev_S_1	Sovremen
1	не может	1	17
2	может быть	2	12
3	таким образом	2	11
4	мы не	1	9
5	в каждом	1	8
6	в этом	5	7
7	и в	3	7
8	ничего не	1	6
9	как и	1	6
10	и не	1	6
11	в результате	2	6
12	и наконец	1	5
13	все эти	1	5
14	прежде всего	1	5
15	мы должны	1	4
16	в том	5	4
17	в целом	1	4
18	же это	1	4
19	не только	3	4
20	с помощью	1	4
21	как бы	2	4
22	это не	1	4
23	а в	1	4
24	то же	2	3
25	между собой	1	3
26	может не	1	3
27	отнюдь не	1	3
28	все же	1	3
29	еще не	2	3
30	в этой	1	3
31	что она	1	3
32	ведь это	2	3
33	в конце	2	3
34	и мы	2	3
35	было бы	2	3
36	основной вопрос	1	3
37	и потому	1	3
38	не в	3	3
39	все это	7	3
40	для нас	3	3
41	когда мы	1	3
42	в области	1	3
43	и есть	1	2
44	тем же	1	2
45	настоящее время	1	2
46	и что	2	2
47	в его	3	2
48	и будет	1	2
49	дает нам	1	2
50	что это	1	2
51	с одной	1	2
52	научного исследования	1	2
53	в виде	1	2
54	всяком случае	1	2
55	у него	1	2
56	и по	1	2
57	что все	1	2
58	на этот	1	2
59	она может	2	2
60	в настоящее	1	2
61	не дает	1	2
62	же самое	1	2
63	что в	2	2
64	во всяком	1	2
65	диалектического материализма	1	1
66	это и	2	1
67	случае только	1	1
68	отношению к	2	1
69	в мире	1	1
70	нашей науки	2	1
71	те же	1	1
72	для наших	1	1
73	и должно	1	1
74	о том	1	1
75	подвести итоги	1	1
76	же время	1	1
77	его в	1	1
78	но не	1	1
79	но как	1	1
80	в конечном	1	1
81	конечном счете	1	1
82	по отношению	2	1
83	крайней мере	1	1
84	к которому	2	1
85	один из	1	1
86	условий то	1	1
87	только в	2	1
88	но ведь	3	1
89	конечно не	1	1
90	по самому	1	1
91	по существу	2	1
92	вовсе не	1	1
93	положительная ценность	1	1
94	и им	1	1
95	это значит	1	1
96	не из	1	1
97	и только	3	1
98	одной стороны	1	1
99	с другой	1	1
100	именно в	1	1
101	на ней	1	1
102	не было	1	1
103	их на	1	1
104	в связи	1	1
105	том что	2	1
106	наука но	1	1
107	том как	1	1
108	работы в	1	1
109	возможность именно	1	1
110	и благодаря	1	1
111	в область	1	1
112	в данном	1	1
113	может развиваться	1	1
114	научной мысли	1	1
115	по крайней	1	1
116	и более	1	1
117	по себе	1	1
118	благодаря этому	1	1
119	с ним	1	1
120	мысли в	1	1
121	в процессе	1	1
122	но только	1	1
123	никогда не	1	1
124	это как	1	1
125	или нет	1	1
126	ровно ничего	1	1
127	же этот	1	1
128	и его	1	1
129	связи с	1	1
130	этой области	1	1
131	метод в	4	1
132	между ними	1	1
133	все построение	1	1
134	развития и	1	1
135	в то	1	1
136	в заключение	1	1
137	этого и	1	1
138	они не	1	1
