N	2gram	Kanaev_Sov_1	OGranits
1	и в	7	13
2	и его	1	12
3	прежде всего	5	9
4	может быть	12	8
5	не может	17	8
6	и не	6	8
7	и т.п	1	7
8	в его	2	7
9	и их	1	7
10	и пр	2	7
11	точки зрения	12	7
12	только в	1	6
13	как бы	4	6
14	не только	4	6
15	мы должны	4	6
16	таким образом	11	6
17	и т.д	3	5
18	все же	3	5
19	и наконец	5	5
20	но ведь	1	5
21	с точки	5	5
22	в процессе	1	5
23	и эта	1	5
24	мы не	9	4
25	но мы	3	4
26	но в	3	4
27	мы можем	6	4
28	то же	3	4
29	было бы	3	4
30	все это	3	4
31	только и	1	4
32	не является	1	4
33	в каждом	8	4
34	самом деле	2	3
35	говорить о	2	3
36	по отношению	1	3
37	с этим	2	3
38	в которой	2	3
39	в себе	3	3
40	к одному	1	3
41	в одном	3	3
42	так как	4	3
43	как и	6	3
44	точку зрения	4	3
45	что же	5	3
46	не в	3	3
47	но для	1	3
48	и для	1	3
49	никогда не	1	3
50	и все	3	3
51	отношению к	1	3
52	что в	2	3
53	ничего общего	1	3
54	и наиболее	1	2
55	в жизненной	1	2
56	данном случае	1	2
57	зависимости от	4	2
58	и может	1	2
59	роль в	2	2
60	на две	3	2
61	конечно в	2	2
62	мы уже	1	2
63	те же	1	2
64	есть не	1	2
65	если бы	1	2
66	что иное	1	2
67	иное как	1	2
68	не что	1	2
69	с самого	3	2
70	и должно	1	2
71	в ней	1	2
72	явлений и	1	2
73	во всей	1	2
74	каждый элемент	1	2
75	чем же	1	2
76	и следовательно	1	2
77	может иметь	2	2
78	случае и	1	2
79	в которую	2	2
80	в данном	1	2
81	в этом	7	2
82	в том	4	2
83	мы видим	2	2
84	тот же	2	2
85	можем поставить	1	2
86	в действительности	1	2
87	в этот	1	2
88	в целом	4	2
89	все эти	5	2
90	с одной	2	2
91	уже в	3	2
92	мы получим	3	2
93	в нем	3	2
94	при этом	3	2
95	в другом	1	2
96	говорить об	2	2
97	вовсе не	1	2
98	в зависимости	4	2
99	в области	3	2
100	с другой	1	2
101	в самом	2	2
102	может стать	1	2
103	одной стороны	1	2
104	а не	3	2
105	громадную роль	1	2
106	там где	1	2
107	несмотря на	1	2
108	в связи	1	2
109	том что	1	2
110	с помощью	4	2
111	и при	1	2
112	так же	1	2
113	в течение	1	2
114	описания и	1	2
115	выбор и	1	2
116	не менее	2	2
117	что эта	1	2
118	самого начала	3	2
119	не имеет	1	2
120	на язык	1	2
121	и историей	1	2
122	а в	4	2
123	еще в	1	2
124	и к	3	2
