N	3gram	Berdyaev_M_2	VrazhdaK
1	с точки зрения	1	2
2	в письме к	1	2
3	не может быть	8	2
4	людей уже в	1	2
5	в том что	2	2
6	а между тем	1	1
7	а следовательно и	1	1
8	ней ничего не	1	1
9	и верил в	1	1
10	мыслей и чувств	1	1
11	в нем самом	1	1
12	что это за	1	1
13	до сих пор	3	1
14	для достоевского был	1	1
15	преступлении и наказании	1	1
16	а также в	1	1
17	в этом отношении	1	1
18	но это не	2	1
19	ничего уже не	1	1
20	в преступлении и	1	1
21	сам достоевский в	1	1
22	записках из подполья	1	1
23	может быть и	2	1
24	но и это	1	1
25	на пиру жизни	1	1
26	так же как	3	1
27	его отношения к	1	1
28	преступления и наказания	1	1
29	это сама жизнь	1	1
30	в высшей степени	3	1
31	в конце концов	1	1
32	и в этом	3	1
33	отношение достоевского к	3	1
34	что он сам	1	1
35	что у него	1	1
36	в ней ничего	1	1
37	преступление и наказание	1	1
38	на большую высоту	1	1
39	за границей и	1	1
40	его отношение к	4	1
41	это и есть	3	1
42	о том что	2	1
43	и никогда не	2	1
44	на то что	1	1
45	он сам в	1	1
46	и во всем	1	1
47	в тридцать лет	1	1
