N	3gram	Bakhtin_fo_1	VeschiIm
1	не может быть	3	18
2	может быть только	3	6
3	в том что	2	6
4	одно и то	3	5
5	и то же	3	5
6	в свою очередь	1	5
7	с точки зрения	2	4
8	не только в	2	4
9	то же время	9	4
10	в то же	6	4
11	в самом деле	1	3
12	и не только	2	3
13	и в то	5	3
14	вместе с тем	2	3
15	сама по себе	1	3
16	дело в том	2	2
17	мы находим в	1	2
18	то что не	1	2
19	с самим собою	3	2
20	и в частности	2	2
21	в данном случае	1	2
22	не может состояться	1	2
23	в нем нет	2	2
24	есть еще и	1	2
25	ни с чем	1	2
26	отнюдь не предполагает	1	1
27	и того же	5	1
28	и может быть	1	1
29	прежде всего на	1	1
30	с чем не	1	1
31	мы уже сказали	2	1
32	в себе не	1	1
33	быть и речи	1	1
34	в этом случае	1	1
35	одной стороны и	2	1
36	и вот когда	1	1
37	как раз и	2	1
38	на первый план	1	1
39	до сих пор	3	1
40	и во всех	1	1
41	в зависимости от	1	1
42	сами по себе	1	1
43	в той же	1	1
44	точка зрения на	1	1
45	в себе и	1	1
46	по самому своему	1	1
47	может быть и	2	1
48	то что можно	1	1
49	как раз в	4	1
50	для него это	1	1
51	то время как	2	1
52	в самом начале	1	1
53	так же как	2	1
54	или хотя бы	1	1
55	но в то	1	1
56	таким образом и	1	1
57	еще и в	1	1
58	с одной стороны	2	1
59	но на этой	1	1
60	смысле этого слова	1	1
61	по существу и	1	1
62	он между прочим	1	1
63	в определенном направлении	1	1
64	мы будем говорить	1	1
65	и в этом	1	1
66	и как бы	1	1
67	по природе своей	2	1
68	и ничего не	1	1
69	смысле и в	1	1
70	для себя и	1	1
71	для себя в	1	1
72	в той его	1	1
73	когда мы говорим	1	1
74	и во всяком	1	1
75	и все же	1	1
76	но какое это	1	1
77	в одном и	1	1
78	нем нет ничего	1	1
79	во всяком случае	1	1
80	себя в этом	1	1
81	в то время	3	1
82	о том что	1	1
83	и с такою	1	1
84	отличие его от	1	1
85	и прежде всего	2	1
86	с его чисто	1	1
87	но все же	2	1
88	самим собою в	1	1
89	одного и того	5	1
90	для того чтобы	5	1
91	так как по	1	1
92	друг с другом	1	1
93	как мы говорили	1	1
94	мы еще не	1	1
