N	2gram	Medvedev_I_1	Marksizm
1	и не	2	26
2	и в	1	19
3	в этом	2	16
4	так и	1	11
5	для него	1	9
6	все эти	1	7
7	ничего не	2	6
8	другой стороны	1	6
9	того же	1	6
10	того чтобы	1	5
11	с другой	1	5
12	и тот	1	4
13	для того	1	4
14	а в	1	4
15	что в	2	4
16	по отношению	1	3
17	он не	2	3
18	в материале	1	3
19	того что	1	3
20	не дает	1	3
21	все это	1	3
22	не остается	1	2
23	для других	1	2
24	от этого	1	2
25	от нее	1	2
26	и с	3	2
27	бы в	1	2
28	в основе	1	2
29	и та	1	2
30	никогда не	1	2
31	если бы	1	2
32	и др	1	2
33	тем что	1	2
34	отношению к	1	2
35	жизни и	1	2
36	должен быть	2	1
37	и без	1	1
38	и чрезвычайно	1	1
39	бы что	2	1
40	говорить о	1	1
41	в целом	1	1
42	со всеми	1	1
43	это был	1	1
44	следующим образом	1	1
45	нее и	1	1
46	отметим только	1	1
47	а по	1	1
48	та и	1	1
49	нисколько не	1	1
50	художественного творчества	1	1
51	и очень	1	1
52	он с	1	1
53	как только	1	1
54	то она	1	1
55	в значительной	1	1
56	ибо и	1	1
57	без этого	1	1
58	что для	1	1
59	здесь отметим	1	1
60	а если	1	1
61	по существу	1	1
