N	3gram	Medvedev_F_2	Literetu
1	то же время	5	9
2	в то же	5	9
3	не может быть	10	7
4	с одной стороны	1	6
5	в том что	2	5
6	с другой стороны	3	4
7	с точки зрения	7	3
8	в этом отношении	7	3
9	в данном случае	1	3
10	в том чтобы	1	3
11	не говоря уже	1	2
12	в этом случае	1	2
13	говоря уже о	1	2
14	и т п	9	2
15	по крайней мере	1	2
16	тем не менее	1	2
17	особое место в	1	1
18	не могло не	1	1
19	как и для	1	1
20	но даже и	1	1
21	с лица земли	1	1
22	она уже не	1	1
23	что же касается	1	1
24	может быть наиболее	1	1
25	он не может	1	1
26	тем что в	1	1
27	и для всех	1	1
28	и не может	3	1
29	вместе с тем	4	1
30	что он не	1	1
31	в отличие от	2	1
32	является одним из	1	1
33	бы то ни	1	1
34	же время не	1	1
35	только то что	1	1
36	не могут быть	4	1
37	из того что	1	1
38	мыслится им как	1	1
39	исследования в области	1	1
40	и в то	3	1
41	даже и не	2	1
42	ничего общего с	1	1
43	каждый творческий акт	1	1
44	и нет в	1	1
45	о гораздо более	1	1
46	в конце концов	2	1
47	во всех этих	1	1
48	в такой же	1	1
49	не в том	3	1
50	прежде всего в	2	1
51	и теперь эта	1	1
52	с обратным знаком	1	1
53	органической связи с	1	1
54	по тем же	1	1
55	и некоторые другие	1	1
56	мы не можем	1	1
57	в свою очередь	1	1
58	на самом деле	3	1
59	и прежде всего	2	1
60	например с точки	1	1
61	к тому что	2	1
62	вовсе не является	1	1
63	было бы наивно	1	1
64	для того чтобы	3	1
65	как мы видели	4	1
