N	2gram	Losev_Dial_4	Poddanst
1	не только	8	17
2	и в	15	14
3	и не	30	12
4	в области	3	11
5	в этом	11	10
6	в отношении	2	10
7	в качестве	2	9
8	но в	3	9
9	то же	9	9
10	в том	11	9
11	в пределах	1	8
12	хотя бы	4	8
13	только в	7	7
14	в то	6	7
15	же время	6	7
16	в ней	5	6
17	было бы	9	6
18	но и	4	6
19	быть может	1	6
20	в смысле	5	6
21	отношении к	2	5
22	в которых	1	5
23	с другой	1	5
24	может быть	17	5
25	и пр	9	5
26	а я	1	5
27	не в	8	5
28	и о	8	5
29	если бы	6	4
30	в своем	5	4
31	как бы	14	4
32	и если	3	4
33	но также	1	4
34	том что	10	4
35	не может	11	4
36	и потому	3	4
37	в котором	2	4
38	по себе	13	4
39	что в	7	4
40	мы должны	4	4
41	а в	1	4
42	то что	16	4
43	и т	17	3
44	мы не	9	3
45	это не	12	3
46	вслед за	1	3
47	хотя и	6	3
48	и как	4	3
49	тот же	1	3
50	с ними	4	3
51	с одной	1	3
52	в себе	8	3
53	в нем	5	3
54	для того	5	3
55	заключается в	2	3
56	прежде всего	11	3
57	с тем	4	3
58	что мы	7	3
59	и без	2	3
60	с точки	9	3
61	она есть	10	3
62	наряду с	1	3
63	могут быть	3	3
64	т е	46	3
65	тем самым	3	3
66	потому что	10	3
67	точки зрения	14	3
68	в сравнении	3	3
69	сравнении с	2	3
70	я и	1	3
71	и это	8	2
72	отношения к	3	2
73	в сфере	5	2
74	в ее	2	2
75	переход от	1	2
76	и есть	19	2
77	было в	1	2
78	есть не	5	2
79	осуществляется в	2	2
80	по характеру	2	2
81	по сравнению	2	2
82	одних и	2	2
83	есть нечто	2	2
84	только это	1	2
85	никак не	2	2
86	не нужно	2	2
87	во всех	2	2
88	говорить о	11	2
89	в общем	1	2
90	во всей	2	2
91	со стороны	3	2
92	отнюдь не	4	2
93	с этим	3	2
94	того что	13	2
95	стороны и	1	2
96	помнить что	1	2
97	бы ни	2	2
98	думать что	2	2
99	есть в	4	2
100	но о	2	2
101	главным образом	2	2
102	и других	1	2
103	в его	4	2
104	из них	2	2
105	где бы	2	2
106	в виде	3	2
107	в силу	4	2
108	и вот	11	2
109	как раз	4	2
110	именно как	1	2
111	и с	4	2
112	именно в	5	2
113	и мы	7	2
114	и тем	6	2
115	в жизни	5	2
116	в них	2	2
117	церкви и	1	2
118	не было	2	2
119	а не	18	2
120	должно быть	2	2
121	эта идея	1	2
122	знать что	1	2
123	реальность и	2	2
124	друг другу	1	2
125	ней не	1	2
126	не менее	2	2
127	все это	9	2
128	не о	4	2
129	одна из	1	2
130	слова но	1	2
131	да и	2	2
132	тем более	6	2
133	может и	2	2
134	в частности	2	2
135	в недрах	1	2
