N	3gram	Tiupa_Teor_1	Tvorches
1	в то же	5	13
2	то же время	5	12
3	в том что	8	6
4	о том что	1	5
5	в конечном счете	6	4
6	но в то	1	4
7	дело в том	1	3
8	в соответствии с	2	3
9	по сути дела	1	3
10	том что в	1	2
11	это уже не	1	2
12	в одной из	1	2
13	является одним из	1	2
14	точно так же	1	2
15	по крайней мере	1	2
16	в данном случае	5	2
17	в каждом человеке	1	2
18	можно сказать что	2	2
19	и в то	1	2
20	в русской литературе	2	2
21	тем не менее	3	2
22	человека и его	1	2
23	что иное как	1	1
24	может быть определен	1	1
25	и того же	3	1
26	как один из	1	1
27	имеем в виду	3	1
28	как это имеет	1	1
29	то же самое	1	1
30	может быть назван	1	1
31	те и другие	1	1
32	по отношению к	4	1
33	в отличие от	6	1
34	самим собой как	1	1
35	только то что	1	1
36	не менее чем	1	1
37	не могут быть	2	1
38	бы то ни	1	1
39	заключает в себе	1	1
40	перед тем как	1	1
41	ту или иную	1	1
42	войне и мире	2	1
43	отношений между людьми	1	1
44	то ни было	1	1
45	с одной стороны	2	1
46	в известном смысле	1	1
47	это имеет место	1	1
48	в связи с	1	1
49	а на деле	1	1
50	то что может	1	1
51	свое я в	1	1
52	имеет место в	1	1
53	в войне и	2	1
54	заключается в том	1	1
55	в свою очередь	2	1
56	становится самим собой	1	1
57	ту же самую	1	1
58	мы имеем в	3	1
59	с другой стороны	5	1
60	одного и того	3	1
61	таким образом и	1	1
62	не что иное	1	1
63	к тому что	2	1
64	в отношении к	1	1
65	добро и зло	1	1
66	как и в	2	1
67	и те и	1	1
68	на первый взгляд	1	1
69	дело не в	1	1
