N	3gram	Losev_Prob_1	NovoeSre
1	не может быть	2	4
2	подобно тому как	2	3
3	не значит что	1	3
4	в этом смысле	6	2
5	что в нем	3	2
6	вместе с тем	1	2
7	так же как	2	2
8	и должно быть	1	2
9	это не значит	1	2
10	с другой стороны	3	2
11	когда мы говорим	2	2
12	в свои права	1	2
13	ни одна из	1	2
14	в том и	1	2
15	и того же	2	1
16	а не к	1	1
17	нужно помнить что	1	1
18	только потому что	2	1
19	мы говорим что	2	1
20	то нет и	1	1
21	а не в	1	1
22	то время как	1	1
23	одного и того	2	1
24	есть прежде всего	1	1
25	же как и	1	1
26	не имеют никакого	1	1
27	не было и	1	1
28	до сих пор	3	1
29	и во всех	1	1
30	мы конечно не	1	1
31	сами по себе	3	1
32	от того чтобы	1	1
33	и это есть	1	1
34	можно было бы	2	1
35	в том чтобы	1	1
36	вообще не существует	1	1
37	не только в	1	1
38	необходимо перейти к	1	1
39	и потому что	1	1
40	как будто бы	1	1
41	в известном смысле	1	1
42	не могут быть	1	1
43	то что он	3	1
44	во всяком случае	3	1
45	хотя и в	1	1
46	о том что	5	1
47	в то время	1	1
48	вступает в свои	1	1
49	этом смысле о	1	1
50	то что в	3	1
51	но для этого	1	1
52	и для чего	1	1
53	есть по существу	1	1
54	не только потому	1	1
55	это значит что	1	1
56	выходит за пределы	1	1
57	помнить что в	1	1
58	должно быть в	1	1
59	в том что	5	1
60	как и в	1	1
61	прежде всего как	1	1
