N	4gram	Vinokur_Vv_1	Problema
1	также и то что	1	4
2	и т д и	1	4
3	не что иное как	4	4
4	есть не что иное	2	4
5	и тем не менее	3	3
6	бы то ни было	1	3
7	одно и то же	1	3
8	дело в том что	2	2
9	в том виде как	1	2
10	в том или ином	1	2
11	но с другой стороны	1	2
12	заключается в том что	2	2
13	как нечто целое и	1	2
14	т д все это	1	1
15	нечего и говорить о	1	1
16	может быть и речи	1	1
17	одного и того же	2	1
18	когда мы говорим о	1	1
19	может быть и не	1	1
20	и т д в	2	1
21	говорить о том что	1	1
22	и т д все	2	1
23	в собственном смысле слова	1	1
24	прийти к выводу что	1	1
25	заключается в том чтобы	1	1
26	и т д можно	1	1
27	и говорить о том	1	1
28	не может быть и	1	1
29	с этой точки зрения	1	1
30	не могут не существовать	1	1
31	с теми или иными	1	1
32	по крайней мере не	1	1
33	как мы видели имеет	1	1
34	если принять во внимание	1	1
35	не одно и то	1	1
36	на то или иное	1	1
37	ответ на этот вопрос	1	1
38	то более то менее	1	1
39	возможно только потому что	1	1
