N	2gram	Trubetskoy_1	SlovoVZh
1	не может	4	16
2	может быть	10	14
3	точки зрения	13	14
4	как бы	12	13
5	и его	1	13
6	таким образом	22	12
7	и в	26	12
8	по отношению	1	11
9	в нашем	1	11
10	отношению к	3	11
11	и не	8	10
12	если бы	3	9
13	так как	9	9
14	прежде всего	2	8
15	творца и	2	7
16	сказать что	2	7
17	в ней	1	6
18	в том	11	6
19	только в	4	6
20	при этом	3	6
21	с помощью	1	6
22	в нем	4	6
23	в процессе	2	6
24	то же	4	5
25	в виду	2	5
26	можно сказать	3	5
27	как в	1	5
28	но в	7	5
29	в жизни	1	5
30	а не	5	5
31	как и	1	5
32	что мы	2	5
33	и следовательно	1	5
34	том что	7	5
35	никогда не	5	5
36	хотя бы	3	5
37	то что	7	5
38	к нему	7	4
39	в этом	15	4
40	все же	6	4
41	в самом	4	4
42	уже не	3	4
43	не только	10	4
44	ни было	2	4
45	отношение к	5	4
46	так и	6	4
47	с другой	8	4
48	не в	2	4
49	его в	1	4
50	и является	2	4
51	и к	5	4
52	жизни и	2	4
53	и на	2	4
54	здесь не	1	3
55	самом деле	1	3
56	в котором	4	3
57	ясно что	3	3
58	еще не	2	3
59	мы не	1	3
60	о том	6	3
61	бы то	2	3
62	но и	9	3
63	между тем	2	3
64	того что	3	3
65	быть и	2	3
66	когда он	3	3
67	и наконец	2	3
68	и ее	1	3
69	все эти	6	3
70	только на	1	3
71	конечно не	2	3
72	в себе	6	3
73	да и	1	3
74	для него	3	3
75	он должен	1	3
76	не к	2	3
77	и по	4	3
78	то ни	2	3
79	и с	10	3
80	до сих	5	3
81	ни в	1	3
82	и пр	1	3
83	в них	2	3
84	из общего	1	3
85	в своей	1	3
86	так же	5	3
87	в такой	1	3
88	тем не	3	3
89	этой точки	2	3
90	как к	1	3
91	и более	1	3
92	из этого	2	3
93	по себе	1	3
94	сих пор	5	3
95	не менее	3	3
96	все это	6	3
97	но для	1	3
98	и проч	2	3
99	и для	5	3
100	это как	1	3
101	находит свое	1	3
102	так называемой	2	3
103	с ним	1	3
104	в каком	1	3
105	от этой	1	2
106	значения и	1	2
107	как не	1	2
108	но тем	1	2
109	в себя	1	2
110	и совершенно	1	2
111	те же	2	2
112	мы имеем	2	2
113	совпадает с	1	2
114	и здесь	2	2
115	настоящее время	1	2
116	с его	2	2
117	и что	4	2
118	между собой	1	2
119	в чем	1	2
120	данном случае	1	2
121	в данном	1	2
122	в его	5	2
123	что и	6	2
124	относится к	2	2
125	поскольку они	1	2
126	формой и	1	2
127	в своем	3	2
128	кроме того	1	2
129	его к	1	2
130	дело с	1	2
131	и потому	6	2
132	и так	1	2
133	в настоящее	1	2
134	с одной	7	2
135	уже в	2	2
136	тому же	5	2
137	и те	3	2
138	имеем в	1	2
139	в душе	1	2
140	он не	4	2
141	перестает быть	2	2
142	не так	1	2
143	в корне	1	2
144	к ним	3	2
145	мы можем	2	2
146	из него	2	2
147	но все	7	2
148	на все	2	2
149	с другими	4	2
150	это не	1	2
151	до известной	1	2
152	социальной жизни	1	2
153	одной стороны	7	2
154	соприкасается с	1	2
155	зависит от	1	2
156	другой стороны	1	2
157	там где	1	2
158	в момент	1	2
159	связь с	2	2
160	нет ничего	1	2
161	ни на	1	2
162	вместе с	15	2
163	в отношении	6	2
164	к его	2	2
165	но не	8	2
166	общего с	2	2
167	место в	1	2
168	с этой	3	2
169	с точки	6	2
170	является для	1	2
171	тесную связь	1	2
172	такой же	1	2
173	тогда когда	2	2
174	в то	4	2
175	известной степени	1	2
176	героев и	2	2
177	ничего не	1	2
178	и все	2	2
179	но зато	1	2
180	все они	1	2
181	в этих	4	2
182	но это	1	2
183	могут быть	1	2
184	как только	1	2
185	и закономерностью	1	2
186	же самое	2	2
187	на это	1	2
188	что в	9	2
189	как на	8	2
190	и другие	3	2
191	не есть	1	2
192	к этому	3	2
193	а между	1	1
194	и это	2	1
195	на нечто	1	1
196	же как	3	1
197	и о	3	1
198	чтобы не	1	1
199	с ее	1	1
200	свою очередь	1	1
201	особенно важное	1	1
202	совершенно ясно	1	1
203	это и	1	1
204	тем же	1	1
205	с первого	1	1
206	только то	1	1
207	с самого	3	1
208	когда человек	2	1
209	то время	1	1
210	идет речь	1	1
211	и больше	2	1
212	из двух	1	1
213	этом направлении	1	1
214	мы уже	1	1
215	характерной чертой	1	1
216	было в	1	1
217	так называемую	2	1
218	в какое-то	1	1
219	душевное состояние	1	1
220	в следующий	1	1
221	та же	1	1
222	что уже	1	1
223	для этого	2	1
224	из одного	1	1
225	к другу	2	1
226	он как	1	1
227	творец и	2	1
228	не вполне	3	1
229	психологического и	1	1
230	для одной	1	1
231	так называемые	3	1
232	к общему	1	1
233	но при	2	1
234	на них	1	1
235	становятся все	1	1
236	нему в	1	1
237	в значительной	3	1
238	во всех	2	1
239	и во	1	1
240	все в	1	1
241	жизни он	1	1
242	друг к	1	1
243	то в	1	1
244	в общем	8	1
245	крайней мере	5	1
246	что они	1	1
247	именно в	2	1
248	природы это	1	1
249	в одной	1	1
250	так для	1	1
251	что именно	2	1
252	и мир	2	1
253	так называемая	1	1
254	выйти из	1	1
255	что этому	1	1
256	оставаясь в	1	1
257	что здесь	1	1
258	на которой	1	1
259	не связанные	1	1
260	социальной группе	1	1
261	тот же	2	1
262	ценностей и	1	1
263	более или	5	1
264	себе не	1	1
265	пор не	1	1
266	как нечто	1	1
267	положение в	2	1
268	что это	3	1
269	формы в	1	1
270	близости к	1	1
271	себя в	1	1
272	между формой	1	1
273	думать что	1	1
274	сливаются в	1	1
275	не можем	1	1
276	нами и	2	1
277	в виде	4	1
