N	3gram	Ircho_Kome_2	Marksizm
1	с точки зрения	1	13
2	не может быть	1	10
3	в то же	3	8
4	то же время	3	8
5	по отношению к	3	8
6	в связи с	3	7
7	для того чтобы	4	6
8	в том что	5	6
9	с самого начала	1	5
10	в большинстве случаев	1	5
11	в самом деле	1	5
12	в свою очередь	1	5
13	бы то ни	2	4
14	то ни было	2	4
15	той или иной	1	4
16	о том что	4	3
17	с одной стороны	2	3
18	до сих пор	2	3
19	к тому что	2	3
20	в отличие от	2	3
21	как мы видели	1	3
22	мы можем сказать	1	2
23	в соединении с	1	2
24	к тому же	10	2
25	того или иного	1	2
26	не было бы	1	2
27	более или менее	1	2
28	но и в	1	2
29	во всяком случае	2	2
30	хотя бы в	1	2
31	не говоря уже	2	1
32	у нее не	1	1
33	и в свою	1	1
34	так и в	1	1
35	так или иначе	3	1
36	но там оно	1	1
37	в том числе	3	1
38	одна из них	1	1
39	друг с другом	2	1
40	по сравнению с	1	1
41	и не имеет	1	1
42	и для себя	1	1
43	не только в	1	1
44	в первую очередь	3	1
45	и в том	1	1
46	с другой стороны	1	1
47	внешней и внутренней	1	1
48	но все же	1	1
49	а может быть	1	1
50	еще тем что	1	1
51	в той же	2	1
52	их точки зрения	2	1
53	но в этом	1	1
54	как мы знаем	1	1
55	не имеет значения	1	1
56	независимо от того	2	1
57	в каком направлении	1	1
58	обстоит дело с	1	1
59	том числе и	1	1
60	можем сказать что	1	1
61	в какой мере	1	1
62	друг от друга	1	1
63	само по себе	1	1
64	тем не менее	1	1
65	чуть ли не	2	1
66	в соответствии с	1	1
67	говоря уже о	2	1
