N	3gram	Propp_Isto_4	VrazhdaK
1	в связи с	2	3
2	в этот момент	1	2
3	не может быть	4	2
4	между прочим и	1	1
5	в нем самом	1	1
6	тем более что	1	1
7	это дает нам	1	1
8	но для нас	1	1
9	до сих пор	5	1
10	и не может	1	1
11	независимо от того	1	1
12	точно так же	5	1
13	же как эта	1	1
14	только при помощи	1	1
15	но мы знаем	2	1
16	и то что	5	1
17	может быть и	1	1
18	одно и то	1	1
19	но и это	1	1
20	о том как	1	1
21	так же как	12	1
22	тем что он	2	1
23	все же он	1	1
24	и никому не	1	1
25	и то же	1	1
26	не только как	1	1
27	что у него	1	1
28	с другой стороны	4	1
29	тем не менее	2	1
30	о чем говорилось	1	1
31	в то время	1	1
32	это и есть	1	1
33	о том что	2	1
34	ни тот ни	1	1
35	к нему с	1	1
36	лет тому назад	1	1
37	на то что	3	1
38	и во всем	1	1
39	во второй раз	1	1
40	имеется в виду	1	1
41	то что они	1	1
42	тот ни другой	1	1
