N	3gram	Trubetskoy_1	Mirosoze
1	не может быть	3	17
2	вместе с тем	2	5
3	а не в	1	4
4	и в нем	1	3
5	заключает в себе	2	3
6	и в конце	1	2
7	в конце концов	4	2
8	и не может	1	2
9	в то время	2	2
10	по отношению к	9	2
11	он не может	2	2
12	в высшей степени	1	2
13	то время как	1	2
14	для того чтобы	7	2
15	в нем не	1	2
16	не может не	3	2
17	до сих пор	8	2
18	о том что	4	1
19	нет в самом	1	1
20	каждый раз когда	1	1
21	во многих отношениях	1	1
22	в вопросе о	2	1
23	по сравнению с	5	1
24	должна быть признана	1	1
25	и в том	2	1
26	чтобы все эти	2	1
27	никогда не было	1	1
28	ставит его в	1	1
29	между тем как	1	1
30	самого себя и	1	1
31	одним из самых	1	1
32	все его миросозерцание	1	1
33	и различие между	1	1
34	или лучше сказать	1	1
35	том случае если	4	1
36	в том что	15	1
37	друг к другу	2	1
38	но и с	1	1
39	между этими двумя	2	1
40	лишь в том	5	1
41	с психологической точки	1	1
42	что до сих	1	1
43	никто не может	1	1
44	есть высшее благо	1	1
45	в том случае	4	1
46	есть одно из	1	1
47	не знает что	1	1
48	так же мало	1	1
49	может быть и	4	1
50	в самом деле	5	1
51	в зависимости от	1	1
52	потому не может	1	1
53	нет и не	1	1
54	это потому что	1	1
55	психологической точки зрения	1	1
56	в себе и	1	1
57	как и все	2	1
58	они не могут	1	1
59	ко всему этому	2	1
60	лишь те которые	1	1
61	не в том	1	1
62	во всех этих	2	1
63	от нее и	1	1
64	во всяком случае	2	1
65	что они не	1	1
66	можно было бы	1	1
