N	2gram	Ircho_Kome_2	OGranits
1	и в	26	13
2	и его	12	12
3	прежде всего	4	9
4	может быть	11	8
5	не может	3	8
6	и не	14	8
7	в его	4	7
8	и их	3	7
9	точки зрения	4	7
10	только в	4	6
11	как бы	2	6
12	не только	7	6
13	то что	6	6
14	таким образом	6	6
15	все же	4	5
16	с точки	1	5
17	хотя бы	2	5
18	и эта	1	5
19	мы не	2	4
20	но мы	1	4
21	тех пор	3	4
22	на фоне	1	4
23	но в	3	4
24	до тех	3	4
25	мы можем	3	4
26	то же	3	4
27	в сознании	1	4
28	в своей	3	4
29	было бы	8	4
30	все это	3	4
31	в двух	6	4
32	не является	2	4
33	в каждом	3	4
34	в ее	2	3
35	самом деле	1	3
36	в пределах	1	3
37	так и	12	3
38	г в	1	3
39	говорить о	2	3
40	в их	3	3
41	пор пока	1	3
42	по отношению	3	3
43	общего с	1	3
44	с этим	5	3
45	в которой	5	3
46	в себе	1	3
47	в одном	2	3
48	так как	4	3
49	но и	10	3
50	как и	4	3
51	и уже	1	3
52	со всей	1	3
53	что же	1	3
54	не в	2	3
55	да и	3	3
56	и для	4	3
57	никогда не	1	3
58	и все	2	3
59	отношению к	3	3
60	не столько	1	3
61	что в	9	3
62	в искусстве	1	3
63	для себя	1	2
64	ни одно	1	2
65	представим себе	1	2
66	только его	1	2
67	роль в	2	2
68	на две	1	2
69	и этот	1	2
70	мог бы	1	2
71	если бы	9	2
72	с самого	2	2
73	в ней	3	2
74	а также	1	2
75	в чем	1	2
76	мы понимаем	2	2
77	между тем	4	2
78	в общем	1	2
79	нуждается в	1	2
80	во всей	1	2
81	вслед за	2	2
82	наконец в	2	2
83	чем же	1	2
84	и следовательно	1	2
85	как в	3	2
86	в которую	1	2
87	в этом	10	2
88	в полном	1	2
89	в том	11	2
90	мы видим	1	2
91	тот же	2	2
92	с ними	2	2
93	в действительности	2	2
94	или иного	1	2
95	с г	2	2
96	от этого	2	2
97	и отчасти	1	2
98	в целом	4	2
99	все эти	1	2
100	с одной	2	2
101	думать что	1	2
102	уже в	4	2
103	в нем	6	2
104	для него	1	2
105	в другом	1	2
106	говорить об	1	2
107	вовсе не	2	2
108	общения и	1	2
109	тем что	3	2
110	в них	4	2
111	связанных с	2	2
112	в области	1	2
113	с другой	2	2
114	в самом	4	2
115	входит в	1	2
116	того или	1	2
117	она является	1	2
118	одной стороны	2	2
119	соответствии с	1	2
120	не на	1	2
121	а не	1	2
122	другой стороны	1	2
123	в руках	4	2
124	там где	1	2
125	не мог	1	2
126	несмотря на	1	2
127	в связи	3	2
128	том что	9	2
129	с помощью	1	2
130	в г	17	2
131	от своего	1	2
132	и при	1	2
133	и ее	2	2
134	так же	1	2
135	в течение	2	2
136	в тех	3	2
137	с этой	3	2
138	не менее	4	2
139	что эта	1	2
140	самого начала	1	2
141	не имеет	3	2
142	пути к	2	2
143	от всех	2	2
144	бы в	2	2
145	и является	1	2
146	а в	3	2
147	еще в	4	2
148	нет ничего	1	2
149	героя и	1	2
150	и к	2	2
151	элемента в	1	2
152	к тому	12	2
153	объясняется что	1	1
154	и это	2	1
155	что собственный	1	1
156	одним из	2	1
157	в виду	2	1
158	того же	3	1
159	средств в	2	1
160	как известно	2	1
161	на основе	1	1
162	только потому	2	1
163	в собственном	1	1
164	и есть	2	1
165	в себя	1	1
166	не имеют	1	1
167	едва ли	14	1
168	в образе	3	1
169	уже первый	1	1
170	можно было	4	1
