N	2gram	Kanaev_Sov_1	Mirosoze
1	и в	7	46
2	в нем	3	22
3	у него	2	22
4	может быть	12	21
5	в этом	7	20
6	не только	4	18
7	и не	6	18
8	никогда не	1	18
9	не может	17	15
10	человека в	1	14
11	как и	6	13
12	а не	3	13
13	прежде всего	5	12
14	не было	1	11
15	в ней	1	11
16	у нас	3	11
17	но в	3	10
18	та же	1	10
19	в себе	3	10
20	он не	1	10
21	не в	3	9
22	не знает	1	9
23	и есть	2	8
24	в своем	1	8
25	так как	4	8
26	если нет	1	8
27	она не	1	8
28	как бы	4	8
29	но это	1	8
30	человека и	1	7
31	в мире	1	7
32	и к	3	7
33	в нашем	2	7
34	в этой	3	7
35	и потому	3	7
36	и для	1	7
37	вопрос о	4	6
38	что это	2	6
39	он сам	1	6
40	так же	1	6
41	жизни и	4	6
42	по преимуществу	1	5
43	то же	3	5
44	есть не	1	5
45	совсем не	1	5
46	в самом	2	5
47	что она	3	5
48	что все	2	5
49	в конце	3	5
50	и его	1	5
51	и это	1	5
52	те же	1	5
53	это не	4	5
54	один из	1	5
55	в его	2	5
56	и все	3	5
57	в духе	1	5
58	к чему	2	4
59	с его	1	4
60	нет в	1	4
61	том что	1	4
62	не имеет	1	4
63	свободы и	1	4
64	только и	1	4
65	должен быть	1	4
66	уже не	2	4
67	на поверхности	1	4
68	в свою	2	4
69	они не	1	4
70	что в	2	4
71	все что	1	4
72	же как	1	3
73	это и	1	3
74	к другому	1	3
75	той же	2	3
76	иное как	1	3
77	он в	3	3
78	как он	3	3
79	в каждом	8	3
80	не будет	1	3
81	его в	1	3
82	ни в	1	3
83	все равно	1	3
84	одна и	1	3
85	для чего	1	3
86	и тогда	1	3
87	в такой	1	3
88	что иное	1	3
89	и всегда	1	3
90	если бы	1	3
91	с ним	1	3
92	и должно	1	3
93	о том	1	3
94	и во	2	3
95	в том	4	3
96	природой и	1	3
97	только в	1	3
98	до сих	1	3
99	к которому	1	3
100	жизни в	1	3
101	и нет	1	3
102	сих пор	1	3
103	и от	1	3
104	сказать что	1	3
105	не что	1	3
106	в своих	1	3
107	не имеют	1	2
108	совсем иное	1	2
109	для нашей	1	2
110	во всех	1	2
111	то он	1	2
112	по отношению	1	2
113	хотя и	1	2
114	в действительности	1	2
115	увидим что	1	2
116	на какой	1	2
117	в которой	2	2
118	и тот	1	2
119	и те	1	2
120	этот процесс	1	2
121	и если	1	2
122	на его	2	2
123	одной и	1	2
124	на этом	2	2
125	еще более	2	2
126	чем в	1	2
127	должно быть	1	2
128	точки зрения	12	2
129	от его	1	2
130	и той	1	2
131	но эта	1	2
132	которые в	1	2
133	ничего не	6	2
134	жизни не	1	2
135	связи с	1	2
136	можно было	1	2
137	еще в	1	2
138	по себе	1	2
139	и та	1	2
140	и что	2	2
141	к нему	1	2
142	все время	1	2
143	у всех	3	2
144	мы видим	2	2
145	тот же	2	2
146	он уже	1	2
147	в новых	2	2
148	одни и	1	2
149	уже в	3	2
150	ни одного	1	2
151	себе в	1	2
152	не случайно	1	2
153	или иной	2	2
154	как у	1	2
155	вместе с	4	2
156	такого рода	2	2
157	что же	5	2
158	но для	1	2
159	его с	1	2
160	человек и	1	2
161	быть и	2	2
162	а в	4	2
163	отношению к	1	2
164	и эта	1	2
165	самом деле	2	1
166	он может	3	1
167	мере в	1	1
168	целостность целостность	1	1
169	значение но	1	1
170	этом направлении	1	1
171	начала должны	1	1
172	это совершенно	1	1
173	мы не	9	1
174	существенно отличается	1	1
175	говорить о	2	1
176	в будущем	1	1
177	на них	1	1
178	быть в	1	1
179	и все-таки	1	1
180	друг на	1	1
181	если в	1	1
182	нет и	4	1
183	с поразительной	1	1
184	с этим	2	1
185	образуются два	1	1
186	не быть	1	1
187	в целом	4	1
188	все эти	5	1
189	только один	2	1
190	мира но	1	1
191	в первых	1	1
192	все те	2	1
193	он должен	2	1
194	кто этот	1	1
195	но все	2	1
196	или так	1	1
197	совпадают с	1	1
198	в другом	1	1
199	их и	1	1
200	было бы	3	1
201	не соответствует	1	1
202	в социальном	1	1
203	он начал	1	1
204	она и	1	1
205	этого не	1	1
206	на друга	1	1
207	первые два	2	1
208	которой он	2	1
209	как угодно	2	1
210	в развитии	4	1
211	и становится	1	1
212	но если	1	1
213	что такое	2	1
214	уже к	1	1
215	с точки	5	1
216	к одному	1	1
217	всего только	2	1
218	против него	1	1
219	она в	1	1
220	и более	1	1
221	их в	4	1
222	между двумя	1	1
223	все три	1	1
224	но они	1	1
225	для каждого	1	1
226	и именно	2	1
227	или как	1	1
228	есть то	1	1
229	же этот	1	1
230	был прежде	1	1
