N	2gram	Potebnia_M_1	Tvorches
1	и в	39	20
2	и т	6	13
3	не только	21	13
4	т д	4	11
5	никогда не	4	11
6	как бы	6	11
7	таким образом	13	10
8	в то	4	10
9	в его	5	10
10	и его	5	9
11	там же	9	9
12	же с	7	9
13	и не	18	9
14	при этом	6	8
15	и с	3	8
16	в том	26	8
17	может быть	27	8
18	в этом	15	8
19	прежде всего	4	8
20	но и	20	8
21	то же	6	7
22	это не	7	7
23	же время	4	7
24	потому что	52	7
25	не может	22	7
26	что в	22	7
27	в целом	2	6
28	как и	9	6
29	в своей	3	6
30	что он	1	6
31	так и	13	6
32	у него	1	6
33	именно в	1	6
34	а не	21	6
35	все это	1	6
36	например в	1	5
37	еще не	6	5
38	и на	1	5
39	но не	8	5
40	все же	6	5
41	в этой	3	5
42	если он	1	5
43	в мире	3	5
44	то есть	42	5
45	о том	2	5
46	и даже	4	5
47	в творчестве	1	5
48	но это	5	5
49	так же	5	5
50	мы не	10	4
51	все эти	1	4
52	что они	1	4
53	как в	10	4
54	хотя и	3	4
55	когда он	1	4
56	но в	9	4
57	не в	15	4
58	на его	1	4
59	что она	1	4
60	что у	1	4
61	показывает что	3	4
62	если бы	14	4
63	тем самым	4	4
64	ничего не	1	4
65	в духе	1	4
66	в чем	1	4
67	в лице	1	4
68	мы видим	4	4
69	в душе	11	4
70	а в	5	4
71	если не	2	4
72	и потому	5	4
73	и от	3	4
74	том что	16	4
75	одним из	2	3
76	же как	1	3
77	человека и	1	3
78	по мнению	3	3
79	по отношению	13	3
80	тогда как	2	3
81	в одной	1	3
82	это определение	1	3
83	отношению к	13	3
84	в себе	13	3
85	с чувством	1	3
86	в нем	20	3
87	он не	3	3
88	в образе	1	3
89	так например	3	3
90	его в	1	3
91	и мы	1	3
92	но уже	2	3
93	в самом	3	3
94	в котором	1	3
95	в их	2	3
96	в которых	1	3
97	заставляет нас	2	3
98	тем что	9	3
99	и это	3	3
100	быть может	1	3
101	с ним	3	3
102	до сих	1	3
103	между тем	5	3
104	этот вопрос	2	3
105	уже не	2	3
106	в начале	2	3
107	для него	4	3
108	в современном	1	3
109	так как	21	3
110	то что	10	3
111	что не	10	3
112	превращается в	1	3
113	вместе с	8	3
114	с этой	2	3
115	сих пор	1	3
116	нет ничего	2	3
117	один из	1	3
118	д в	1	3
119	в своих	4	3
120	к этому	1	3
121	в таком	5	3
122	не должны	1	2
123	таком случае	2	2
124	начинается с	1	2
125	самом деле	1	2
126	от этой	1	2
127	и есть	2	2
128	проникает в	1	2
129	со своими	1	2
130	в ее	1	2
131	во что	1	2
132	так что	16	2
133	в истории	7	2
134	для которого	1	2
135	в которой	2	2
136	отказывается от	1	2
137	бы не	6	2
138	тоже не	1	2
139	т п	4	2
140	во многих	2	2
141	так сказать	2	2
142	и если	2	2
143	едва ли	1	2
144	и по	6	2
145	по словам	1	2
146	том же	2	2
147	при помощи	2	2
148	известно что	2	2
149	в такой	1	2
150	не столько	1	2
151	что я	1	2
152	одном из	1	2
153	их в	1	2
154	не могли	2	2
155	что этот	1	2
156	где нет	1	2
157	между людьми	1	2
158	не менее	6	2
159	эта мысль	2	2
160	на него	3	2
161	другой стороны	5	2
162	что на	6	2
163	у нас	2	2
164	могут быть	9	2
165	же не	1	2
166	действия и	1	2
167	так в	1	2
168	приводит к	1	2
169	роль в	1	2
170	и многое	1	2
171	познания и	2	2
172	и что	10	2
173	что его	1	2
174	и только	2	2
175	крайней мере	2	2
176	всяком случае	1	2
177	к которому	3	2
178	д и	1	2
179	с ними	1	2
180	только в	25	2
181	в стороне	4	2
182	и ее	1	2
183	себя в	1	2
184	это самая	1	2
185	уже в	1	2
186	в виде	1	2
187	на ней	1	2
188	или даже	3	2
189	и других	4	2
190	из них	1	2
191	не так	3	2
192	в одном	8	2
193	вовсе не	5	2
194	давно уже	1	2
195	может служить	1	2
196	друг друга	5	2
197	другом в	1	2
198	рядом с	1	2
199	в свой	1	2
200	с другим	3	2
201	с другой	7	2
202	многое другое	1	2
203	не было	4	2
204	на этот	2	2
205	идеи в	1	2
206	зависит от	5	2
207	по крайней	2	2
208	и вообще	3	2
209	начиная с	1	2
210	только для	3	2
211	более того	1	2
212	с другими	1	2
213	это все	1	2
214	процессы в	1	2
215	связь с	2	2
216	но если	2	2
217	и без	3	2
218	из этого	2	2
219	отказаться от	1	2
220	но эти	2	2
221	во всяком	3	2
222	вряд ли	1	1
223	если б	2	1
224	с с	1	1
225	как его	1	1
226	а между	3	1
227	не имел	1	1
228	на другой	1	1
229	только потому	3	1
230	переход от	1	1
231	и должно	2	1
232	в первом	5	1
233	из его	1	1
234	видеть в	2	1
235	объясняется и	1	1
236	с в	5	1
237	той же	3	1
238	из всего	1	1
239	что если	3	1
240	из своих	1	1
241	идеи все	1	1
242	этом не	1	1
243	не была	1	1
244	оба эти	1	1
245	но такое	1	1
246	мысли эта	1	1
247	не вполне	1	1
248	на себя	1	1
249	в самих	1	1
250	нет ли	1	1
251	то это	5	1
252	единства человеческой	1	1
253	сказать о	1	1
254	свою очередь	4	1
255	с его	1	1
256	во всех	5	1
257	связи между	2	1
258	не без	1	1
259	в создании	3	1
260	сознании все	1	1
261	но как	3	1
262	а только	4	1
263	не все	2	1
264	если в	1	1
265	ответ на	1	1
266	есть по	1	1
267	в жизни	3	1
268	общего с	1	1
269	с этим	7	1
270	и нет	1	1
271	этой стороны	1	1
272	перед нами	1	1
273	в мысли	8	1
274	и как	6	1
275	говорит что	1	1
276	связи явлений	1	1
277	его к	2	1
278	в противоположность	1	1
279	психологии и	1	1
280	еще на	1	1
281	выше мы	1	1
282	же быть	1	1
283	что это	3	1
284	в известном	1	1
285	бы с	1	1
286	из этих	4	1
287	думать что	3	1
288	что ничего	1	1
289	с их	1	1
290	нами в	1	1
291	но его	1	1
292	на то	2	1
293	его но	1	1
294	теории и	2	1
295	мысли и	9	1
296	не говорит	1	1
297	после этого	2	1
298	от которого	1	1
299	высшей степени	1	1
300	и эти	1	1
301	к одному	2	1
302	не теряет	1	1
303	синтаксисе и	1	1
304	и независимо	1	1
305	можно было	1	1
306	слова не	2	1
307	в каждом	4	1
308	что все	3	1
309	что создание	2	1
310	а его	3	1
311	входит в	1	1
312	того или	1	1
313	заключается в	3	1
314	которого не	1	1
315	мы на	1	1
316	в глазах	3	1
317	было бы	12	1
318	то все	2	1
319	напротив в	1	1
320	должен был	1	1
321	по себе	10	1
322	мог бы	2	1
323	ни в	1	1
324	для них	2	1
325	из нее	1	1
326	в них	3	1
327	жизни то	1	1
328	его все	1	1
329	несмотря на	5	1
330	мы видели	4	1
331	гораздо глубже	1	1
332	жизни но	1	1
333	ведет к	1	1
334	в развитии	1	1
335	должно быть	7	1
336	в один	2	1
337	остается в	1	1
338	их на	1	1
339	не мог	3	1
340	в эту	1	1
341	в этих	7	1
342	в г	2	1
343	во время	1	1
344	от своего	1	1
345	таким же	2	1
346	не зависит	1	1
347	делать что	1	1
348	или вернее	1	1
349	признать что	1	1
350	и о	2	1
351	должны были	1	1
352	образом и	2	1
353	такую же	1	1
354	но он	2	1
