N	3gram	Medvedev_F_3	OGranits
1	с точки зрения	14	5
2	не может быть	14	4
3	по отношению к	3	3
4	но так как	1	2
5	в самом деле	4	2
6	в зависимости от	5	2
7	художественного произведения как	1	2
8	в данном случае	4	2
9	с одной стороны	1	2
10	социального общения и	2	2
11	с другой стороны	5	2
12	того или иного	1	2
13	с самого начала	1	2
14	в том что	3	2
15	один и тот	1	1
16	материала в зависимости	1	1
17	что в этом	1	1
18	отражает историческую неповторимость	1	1
19	историческую неповторимость его	1	1
20	в изобразительных искусствах	1	1
21	окрашивающая каждое слово	1	1
22	этой точки зрения	1	1
23	иметь в виду	1	1
24	а вовсе не	4	1
25	в виду что	1	1
26	более устойчивой синтаксической	1	1
27	отличие от более	1	1
28	где она есть	2	1
29	равно как и	2	1
30	формальный метод в	1	1
31	на самом деле	12	1
32	но имеется еще	1	1
33	ясное и отчетливое	1	1
34	подобно тому как	4	1
35	выйти за пределы	1	1
36	не физическое тело	1	1
37	то же самое	3	1
38	дает понятие о	1	1
39	нам кажется что	2	1
40	понятие о социальной	1	1
41	каждое слово высказывания	1	1
42	и не может	4	1
43	не обязательна но	1	1
44	можно говорить о	1	1
45	в отличие от	2	1
46	нет и не	2	1
47	одна из существеннейших	1	1
48	между тем как	1	1
49	только то что	2	1
50	в этом отношении	3	1
51	в собственном смысле	1	1
52	элементов входящих в	1	1
53	что же является	1	1
54	можно было бы	1	1
55	отчетливее всего дает	1	1
56	идеологический материал который	1	1
57	при этом нужно	2	1
58	экспрессивная интонация совсем	1	1
59	конструкции поэтического произведения	1	1
60	она есть она	1	1
61	сколько-нибудь ясное и	1	1
62	с этой точки	1	1
63	то или иное	2	1
64	устойчивой синтаксической интонации	1	1
65	она отчетливее всего	1	1
66	между языком как	1	1
67	ту или иную	1	1
68	те же слова	2	1
69	является социальная оценка	1	1
70	в последнее время	1	1
71	и помимо этого	1	1
72	мы полагаем что	1	1
73	интонации экспрессивная интонация	1	1
74	для того чтобы	4	1
75	и сводится к	1	1
76	но там где	1	1
77	так же как	1	1
78	есть она отчетливее	1	1
79	данной социальной группы	2	1
80	там где она	2	1
81	и тот же	1	1
82	не касаемся здесь	1	1
83	тем не менее	2	1
84	и вместе с	1	1
85	мы не касаемся	1	1
86	из существеннейших проблем	1	1
87	через известный промежуток	1	1
88	в связи с	4	1
89	может быть понята	1	1
90	известный промежуток времени	1	1
91	а не как	1	1
92	во времени не	1	1
93	собственном смысле слова	1	1
94	интонация совсем не	1	1
95	он и не	1	1
96	слово высказывания отражает	1	1
97	синтаксической интонации экспрессивная	1	1
98	все то что	1	1
99	потому что они	1	1
100	что же такое	1	1
101	но столь же	1	1
102	только в связи	1	1
103	экспрессивная интонация окрашивающая	1	1
104	в данную эпоху	1	1
105	то же время	7	1
106	мы не можем	2	1
107	обязательна но там	1	1
108	врывается на место	1	1
109	интонация окрашивающая каждое	1	1
110	имеется еще одно	1	1
111	в каждом элементе	1	1
112	и никогда не	1	1
113	не только на	1	1
114	выходит за пределы	1	1
115	совсем не обязательна	1	1
116	неизбежным следствием того	1	1
117	на то что	1	1
118	но не менее	1	1
119	высказывания отражает историческую	1	1
120	в то же	7	1
121	к тому что	2	1
122	изучение словесного искусства	1	1
123	тех или иных	1	1
124	конечно экспрессивная интонация	1	1
125	о социальной оценке	1	1
126	всего дает понятие	1	1
127	от более устойчивой	1	1
128	в последнем счете	2	1
129	как и в	1	1
130	на место старшей	1	1
131	место старшей и	1	1
