N	4gram	Savitsky_E_1	KulturaY
1	в большей или меньшей	1	3
2	в то же время	14	3
3	большей или меньшей степени	1	3
4	в том случае если	1	2
5	с этой точки зрения	5	2
6	не говоря уже о	1	2
7	как мы видели в	1	1
8	ни на минуту забывать	1	1
9	только в том случае	1	1
10	само по себе не	2	1
11	что само по себе	1	1
12	бы то ни было	4	1
13	именно с этой точки	1	1
14	дело в том что	1	1
15	в качестве одного из	1	1
16	в то время как	1	1
17	не только в том	1	1
18	заключается в том что	2	1
19	в связи с этим	1	1
20	несмотря на то что	1	1
