N	3gram	Propp_Isto_1	Sovremen
1	мы не можем	2	6
2	в зависимости от	2	4
3	не может быть	7	4
4	мы видели что	2	3
5	с самого начала	2	3
6	тем не менее	6	2
7	друг с другом	3	2
8	в отличие от	2	2
9	то же самое	3	2
10	в результате мы	1	1
11	как мы это	1	1
12	мы видим не	1	1
13	в том как	1	1
14	что иное как	1	1
15	и в этом	1	1
16	одной стороны и	1	1
17	не могут быть	1	1
18	в одном случае	1	1
19	не в том	1	1
20	в связи с	3	1
21	оно может быть	2	1
22	какой бы то	1	1
23	в этом направлении	1	1
24	дело в том	3	1
25	по отношению к	3	1
26	равно как и	1	1
27	в обратном порядке	1	1
28	мы можем поставить	1	1
29	в этом смысле	1	1
30	так же как	2	1
31	это или нет	1	1
32	влечет за собой	1	1
33	почти не знает	1	1
34	а не только	1	1
35	в этом случае	1	1
36	один и тот	2	1
37	до наших дней	1	1
38	до сих пор	5	1
39	они не могут	1	1
40	но тем не	1	1
41	сами по себе	1	1
42	с другом мы	1	1
43	есть не что	1	1
44	друг на друга	1	1
45	бы то ни	2	1
46	а может быть	1	1
47	но они не	1	1
48	прежде всего мы	1	1
49	можно было бы	3	1
50	по его мнению	1	1
51	за собой изменение	1	1
52	но никогда не	1	1
53	но все же	3	1
54	мы знаем что	1	1
55	не более как	1	1
56	может быть только	1	1
57	к которому они	1	1
58	в том случае	1	1
59	следить дальше за	1	1
60	мы этого не	1	1
61	мы видим что	8	1
62	не что иное	1	1
63	между ним и	1	1
64	в том что	4	1
65	том случае когда	1	1
66	на этот вопрос	2	1
67	то ни было	2	1
68	же самое что	2	1
69	с одной стороны	4	1
70	и тот же	2	1
