N	4gram	Tiupa_Anal_1	Problema
1	на самом же деле	1	4
2	не что иное как	4	4
3	то же самое время	2	4
4	в то же самое	2	4
5	есть не что иное	3	4
6	бы то ни было	3	3
7	одно и то же	1	3
8	в той или иной	3	2
9	чего бы то ни	1	2
10	в том или ином	2	2
11	том или ином отношении	1	1
12	не сами по себе	1	1
13	одного и того же	2	1
14	все же не есть	1	1
15	выхожу один я на	1	1
16	значении этого слова как	1	1
17	в собственном смысле слова	1	1
18	с этой точки зрения	1	1
19	в том что он	2	1
20	том и заключается что	1	1
21	с той или иной	1	1
22	один я на дорогу	1	1
23	в том и заключается	1	1
24	а не так как	1	1
