N	2gram	Berdyaev_O_1	Problema
1	в его	7	43
2	и не	13	42
3	и в	19	38
4	не может	4	27
5	может быть	11	26
6	как бы	3	22
7	и с	2	17
8	и его	4	16
9	в этом	12	15
10	в нем	10	15
11	прежде всего	9	13
12	но не	1	12
13	художественного творчества	1	12
14	в единстве	2	12
15	и для	2	11
16	отношение к	5	10
17	художественном творчестве	2	10
18	к нему	3	10
19	не только	11	9
20	не имеет	2	9
21	его в	2	9
22	но и	13	9
23	и как	1	8
24	было бы	3	8
25	в том	5	8
26	то что	5	8
27	еще не	3	7
28	в самом	5	7
29	как и	6	7
30	не в	11	7
31	отметить что	1	7
32	совершенно не	1	7
33	в своей	2	7
34	что в	4	7
35	отношения к	1	6
36	самом деле	1	6
37	не есть	2	6
38	и этим	2	6
39	ничего не	2	6
40	все же	2	6
41	а в	5	6
42	в своем	2	5
43	все эти	4	5
44	это не	3	5
45	в них	1	5
46	так и	2	5
47	и о	2	5
48	никогда не	9	5
49	с ним	3	5
50	и прежде	1	5
51	а не	11	5
52	могут быть	3	5
53	должно быть	2	5
54	на самом	1	4
55	должна быть	1	4
56	в виду	1	4
57	в ней	1	4
58	как в	1	4
59	но в	2	4
60	в себе	3	4
61	в ее	2	4
62	можно было	1	4
63	не с	1	4
64	о том	3	4
65	от всех	1	4
66	с ними	1	4
67	в других	2	4
68	в форме	1	4
69	что не	4	4
70	и потому	2	4
71	хотя бы	3	4
72	сказать что	2	4
73	также и	1	3
74	например в	1	3
75	иногда и	1	3
76	и к	2	3
77	он не	7	3
78	в мире	1	3
79	том что	2	3
80	и это	1	3
81	хотя и	2	3
82	и от	3	3
83	если бы	1	3
84	природы и	2	3
85	иных случаях	1	3
86	со всеми	1	3
87	и даже	1	3
88	есть лишь	4	3
89	его как	1	3
90	связь с	1	3
91	в иных	1	3
92	и на	2	3
93	да и	1	3
94	но это	1	3
95	все это	6	3
96	природу и	1	3
97	от него	7	3
98	и все	10	3
99	все что	3	3
100	смысле слова	1	2
101	и есть	3	2
102	в котором	1	2
103	его не	2	2
104	есть не	1	2
105	можно и	1	2
106	ничего нет	1	2
107	не вполне	1	2
108	и он	8	2
109	с его	4	2
110	художник и	1	2
111	не все	2	2
112	ивана карамазова	7	2
113	в истории	2	2
114	как к	2	2
115	к чему	1	2
116	что это	1	2
117	на то	1	2
118	не имеют	1	2
119	он должен	1	2
120	в корне	1	2
121	человека в	11	2
122	в каждом	1	2
123	лишь в	7	2
124	и других	1	2
125	не совпадает	1	2
126	строгом смысле	1	2
127	все и	1	2
128	где оно	1	2
129	и более	1	2
130	не могли	2	2
131	а иногда	1	2
132	она не	1	2
133	дело в	1	2
134	одна из	1	2
135	того чтобы	4	2
136	в самой	9	2
137	и весь	1	2
138	в форму	1	2
139	во всем	1	2
140	этом отношении	1	2
141	у нас	1	2
142	не могут	3	2
143	отличается от	1	2
144	а ее	1	2
145	для того	3	2
146	что все	2	2
147	особенно в	1	2
148	том как	1	2
149	и здесь	1	2
150	в другом	2	2
151	и что	1	2
152	человека как	1	2
153	мир в	1	2
154	и мир	1	2
155	того что	3	2
156	нуждается в	1	2
157	что он	3	2
158	и ее	3	2
159	ни с	7	2
160	цели и	1	2
161	что и	2	2
162	вовсе не	1	2
163	тем что	2	2
164	лишь для	1	2
165	чем в	2	2
166	и пр	1	2
167	не было	9	2
168	в россии	5	2
169	но можно	1	2
170	человек в	1	2
171	в частности	1	2
172	как это	1	2
173	в строгом	1	2
174	ни к	1	2
175	в этих	3	2
176	была бы	1	2
177	к его	1	2
178	в своих	3	2
179	и эта	1	2
180	к этому	2	2
181	лишь после	1	1
182	человека и	10	1
183	чего не	1	1
184	от самого	2	1
185	к другому	1	1
186	нем нет	3	1
187	уже указывали	1	1
188	из всех	1	1
189	который в	1	1
190	им самим	1	1
191	из подполья	11	1
192	связан с	1	1
193	вопрос о	10	1
194	жизни как	1	1
195	бы ни	1	1
196	есть для	1	1
197	и возможности	1	1
198	во внешнем	1	1
199	можно наметить	1	1
200	ценности человеческой	1	1
201	то он	1	1
202	покой и	1	1
203	с трудом	1	1
204	в новом	1	1
205	себе и	1	1
206	преступление и	1	1
207	пределы и	1	1
208	вопросом о	2	1
209	при чтении	2	1
210	психологии и	1	1
211	то в	1	1
212	бы и	1	1
213	и я	1	1
214	его а	1	1
215	в этой	5	1
216	но он	7	1
217	только один	1	1
218	чувств и	1	1
219	нет кроме	2	1
220	а вовсе	1	1
221	единство в	1	1
222	они в	1	1
223	есть та	1	1
224	и вот	3	1
225	не теряет	1	1
226	человек а	1	1
227	в совершенно	1	1
228	это было	3	1
229	которым все	1	1
230	в свой	1	1
231	истории и	1	1
232	жизни человека	1	1
233	она и	1	1
234	ли может	1	1
235	их взаимоотношения	1	1
236	с тем	2	1
237	нисколько не	1	1
238	был бы	1	1
239	которую он	2	1
240	места в	1	1
241	по сравнению	1	1
242	к одному	1	1
243	мысли и	3	1
244	творчества это	1	1
245	по себе	2	1
246	что есть	2	1
247	можно ли	2	1
248	что их	1	1
249	науку о	1	1
250	и без	1	1
251	всего и	2	1
252	и лишь	1	1
253	и ценности	1	1
254	его он	1	1
255	ничто не	2	1
256	лишь явление	1	1
257	в сознании	1	1
258	в процессе	1	1
259	отношений это	2	1
260	его с	1	1
261	для его	1	1
262	даже и	2	1
263	из всего	2	1
264	на нем	1	1
265	могут и	1	1
266	характер и	1	1
267	вовлекаются в	1	1
268	стремиться к	1	1
269	что у	2	1
270	умирает в	2	1
271	в одном	1	1
272	трагическое и	1	1
273	красота есть	1	1
274	свободной и	1	1
275	но может	1	1
276	необходим для	1	1
277	словом только	1	1
278	вопросу о	1	1
279	в которую	1	1
280	и нашу	1	1
281	лишь путем	1	1
282	в глазах	1	1
283	лишь к	1	1
284	вообще и	1	1
285	он необходим	1	1
286	к которой	1	1
287	из сторон	1	1
288	и действительно	1	1
289	между этими	1	1
290	человека с	1	1
291	уже не	1	1
292	есть уже	1	1
293	сторон его	1	1
294	в душе	2	1
295	из них	1	1
296	быть ясно	1	1
297	его и	1	1
298	чего бы	1	1
299	для него	5	1
300	может служить	1	1
301	природой и	1	1
302	художник не	1	1
303	момент в	2	1
304	образ человека	2	1
305	для художника	1	1
306	есть момент	1	1
307	ли он	1	1
308	притом не	1	1
309	его художественное	1	1
310	человека а	2	1
311	человек может	1	1
312	на этот	1	1
313	до конца	7	1
314	и завершает	1	1
315	все время	1	1
316	чем на	3	1
317	о чем	1	1
318	и ему	1	1
319	но оно	1	1
320	но никогда	2	1
321	форма художественного	1	1
322	сравнению с	1	1
323	необходимо подчеркнуть	1	1
324	смысле этого	1	1
325	формы все	1	1
326	образ и	1	1
327	и менее	1	1
328	быть не	1	1
329	этого слова	1	1
330	и формы	1	1
331	как например	1	1
332	форма человека	1	1
333	по недоразумению	1	1
334	и хаос	2	1
335	не существует	1	1
336	в поэме	1	1
337	к счастью	1	1
338	ее и	1	1
339	не уничтожает	1	1
340	бы в	1	1
341	еще более	1	1
342	творчества но	1	1
343	разных сторон	2	1
344	но всегда	1	1
345	отношении к	1	1
346	личность и	1	1
347	жизни в	2	1
348	и начинается	1	1
349	в творчестве	5	1
350	жизни а	1	1
351	в свое	1	1
352	у толстого	1	1
353	в которой	2	1
354	жизни и	1	1
355	к этой	2	1
