N	3gram	Bakhtin_Fr_7	DiskursI
1	в данном случае	1	6
2	в том что	3	6
3	то же время	9	5
4	как и в	2	5
5	по отношению к	2	4
6	в этом отношении	2	4
7	в то же	9	4
8	так и в	3	3
9	о том что	1	3
10	и может быть	1	2
11	в этом мире	1	2
12	с точки зрения	3	2
13	содержит в себе	1	2
14	дело в том	2	2
15	в свое время	2	2
16	и прежде всего	1	2
17	по своей природе	1	1
18	не в состоянии	1	1
19	все дело в	1	1
20	прежде всего в	4	1
21	к рассказу о	1	1
22	же время и	1	1
23	не должно быть	2	1
24	оказывается тем самым	1	1
25	друг от друга	1	1
26	хвала и брань	3	1
27	то что в	2	1
28	по аналогии с	1	1
29	замкнутых в себе	1	1
30	в это время	1	1
31	литературы нового времени	1	1
32	в значительной степени	2	1
33	в применении к	1	1
34	верха и низа	3	1
35	как и его	1	1
36	дело не с	1	1
37	а также и	1	1
38	пространственном так и	1	1
39	а напротив торжествующего	1	1
40	это своего рода	1	1
41	хвалы и брани	2	1
42	большинстве случаев это	1	1
43	большую или меньшую	1	1
44	во всяком случае	1	1
45	до нас не	1	1
46	и т.п или	1	1
47	от прошлого к	1	1
48	и т.п в	1	1
49	в одном из	1	1
50	то есть в	4	1
51	с самого начала	1	1
52	на этом свете	3	1
53	в большинстве случаев	2	1
54	в том числе	4	1
55	в силу своей	1	1
56	о том какое	1	1
57	все то что	3	1
58	погружает нас в	1	1
59	здесь как и	1	1
60	том числе и	2	1
