N	2gram	Medvedev_U_1	Myshleni
1	то что	7	26
2	в этом	7	25
3	что он	2	25
4	таким образом	2	19
5	в том	2	18
6	не может	7	18
7	не только	10	16
8	и в	14	16
9	того что	1	16
10	что в	1	16
11	том что	2	15
12	в процессе	1	13
13	сказать что	1	13
14	в области	3	12
15	и что	1	12
16	и не	8	12
17	в его	2	11
18	но не	2	10
19	было бы	3	10
20	только в	2	10
21	а не	10	10
22	может быть	6	9
23	то же	5	8
24	в известном	1	8
25	должно быть	1	8
26	как и	3	8
27	если бы	2	8
28	о том	1	8
29	он не	1	8
30	же как	1	7
31	в нем	1	7
32	но он	1	7
33	по себе	2	7
34	приводит к	1	7
35	так и	1	7
36	с другом	1	7
37	друг с	1	7
38	могли бы	2	6
39	но в	3	6
40	в этой	4	6
41	связанные с	1	6
42	но если	1	6
43	не в	2	6
44	речи в	1	6
45	понятий с	1	6
46	что все	2	6
47	мы можем	1	6
48	у него	1	6
49	но и	4	6
50	в той	1	6
51	в сфере	1	5
52	должна быть	2	5
53	мы и	2	5
54	в своем	1	5
55	в которой	1	5
56	что с	1	5
57	в то	3	5
58	тогда когда	1	5
59	того как	1	5
60	никогда не	1	5
61	ничего не	2	5
62	этом отношении	2	5
63	можно сказать	1	5
64	обе эти	1	5
65	тот же	1	5
66	хотя бы	5	5
67	для него	3	5
68	тем что	2	5
69	это значит	1	5
70	и то	3	4
71	той же	1	4
72	не то	1	4
73	за пределы	1	4
74	в самом	2	4
75	это не	3	4
76	тому чтобы	1	4
77	могут быть	2	4
78	же самое	2	4
79	не есть	2	4
80	в пределах	1	4
81	и т.д	3	4
82	в качестве	1	4
83	не могут	2	4
84	с другой	4	4
85	что мы	2	4
86	бы в	1	4
87	тем более	1	4
88	в системе	2	4
89	самом деле	2	3
90	мы не	2	3
91	он может	1	3
92	оно является	1	3
93	все же	3	3
94	он в	1	3
95	с тем	1	3
96	восприятия и	1	3
97	в их	4	3
98	и понятий	1	3
99	сих пор	2	3
100	имеет свою	1	3
101	из которых	1	3
102	до конца	1	3
103	но что	1	3
104	больше чем	1	3
105	и является	2	3
106	и с	2	3
107	вот почему	7	3
108	до сих	2	3
109	что и	2	3
110	между тем	2	3
111	с одной	1	3
112	вопроса о	2	3
113	его и	2	3
114	прежде всего	8	3
115	в частности	3	3
116	по существу	2	3
117	этом случае	1	3
118	но это	2	3
119	одной стороны	1	3
120	как на	1	3
121	ее в	1	3
122	к этому	1	3
123	одним из	2	2
124	их и	2	2
125	в ней	1	2
126	быть в	1	2
127	в различных	1	2
128	что было	1	2
129	очевидно что	3	2
130	его на	1	2
131	как всякая	1	2
132	в этот	1	2
133	то и	1	2
134	на его	1	2
135	что она	2	2
136	теории и	1	2
137	в своей	3	2
138	в котором	1	2
139	самое что	1	2
140	друг другу	1	2
141	все это	5	2
142	их в	1	2
143	нам известно	1	2
144	закон и	1	2
145	только одним	1	2
146	с проблемой	2	2
147	этот путь	1	2
148	в виду	1	2
149	почему в	1	2
150	находятся в	1	2
