N	3gram	Tiupa_Anal_1	FransuaR
1	то же время	6	9
2	в то же	8	9
3	прежде всего в	1	4
4	в том числе	3	4
5	в свою очередь	1	3
6	с точки зрения	4	3
7	но в то	2	3
8	в том что	9	3
9	по отношению к	5	2
10	более или менее	1	2
11	имеем в виду	1	2
12	о том как	1	2
13	в этом отношении	2	2
14	том числе и	1	2
15	как и в	1	2
16	бы оно ни	1	2
17	оно ни было	1	2
18	мы имеем в	1	2
19	в себе все	1	2
20	в отрыве от	2	2
21	в свое время	2	2
22	и в сущности	1	1
23	по своей природе	1	1
24	не в состоянии	1	1
25	что иное как	5	1
26	имеет дело с	1	1
27	в новом свете	1	1
28	как и его	1	1
29	в том и	2	1
30	то же самое	2	1
31	в том же	1	1
32	из настоящего в	1	1
33	сам по себе	1	1
34	в той же	1	1
35	с ним как	1	1
36	но и в	2	1
37	отношения к самому	1	1
38	на самом же	1	1
39	по аналогии с	1	1
40	в частности к	1	1
41	и не в	4	1
42	здесь как и	1	1
43	не что иное	4	1
44	в данном случае	2	1
45	дело не с	1	1
46	не только в	1	1
47	же время они	1	1
48	а скорее в	1	1
49	говорить не приходится	1	1
50	о том что	3	1
51	в том или	2	1
52	в связи с	1	1
53	есть не что	3	1
54	вместе с ним	2	1
55	во всяком случае	1	1
56	тем самым и	1	1
57	в первом случае	2	1
58	содержат в себе	1	1
59	и тем самым	1	1
60	как и во	1	1
61	и в самом	1	1
62	к тому же	4	1
63	выходит за пределы	1	1
64	самом же деле	1	1
65	в этом смысле	1	1
66	в силу своей	2	1
67	оно и не	1	1
68	в себе в	1	1
69	том или ином	3	1
