N	2gram	Bakhtin_Pr_3	Komedia
1	и в	53	22
2	и не	15	21
3	том что	5	13
4	таким образом	6	12
5	в том	14	12
6	так как	7	11
7	потому что	5	10
8	в самом	2	9
9	до сих	5	9
10	вместе с	2	9
11	сих пор	5	9
12	в этом	8	8
13	его в	2	8
14	в глазах	1	8
15	в своем	1	8
16	к ней	1	8
17	о том	2	8
18	в его	8	8
19	что и	3	8
20	что он	4	8
21	то же	6	7
22	при этом	3	7
23	об этом	1	7
24	в конце	3	7
25	о чем	1	7
26	а в	2	7
27	того же	2	6
28	еще не	5	6
29	так что	1	6
30	тому же	2	6
31	в то	5	6
32	аттической комедии	1	6
33	и его	10	6
34	и что	1	6
35	для того	1	6
36	может быть	12	6
37	во время	1	6
38	к этому	4	6
39	отношение к	6	5
40	но в	5	5
41	не только	4	5
42	он не	3	5
43	в своей	3	5
44	то это	1	5
45	не менее	3	5
46	же время	5	5
47	связи с	1	5
48	к себе	6	5
49	хотя и	4	5
50	с ним	2	5
51	что в	2	5
52	по отношению	2	5
53	из них	4	5
54	тем что	2	5
55	прежде всего	15	5
56	как это	2	5
57	все это	8	5
58	в ней	7	4
59	он был	1	4
60	с другой	2	4
61	тут же	1	4
62	нет и	1	4
63	когда он	1	4
64	то что	9	4
65	в себе	5	4
66	что она	1	4
67	и с	6	4
68	должен был	1	4
69	несмотря на	2	4
70	точки зрения	4	4
71	не в	2	4
72	самого начала	4	4
73	на него	1	4
74	у него	1	4
75	и здесь	1	4
76	с самого	3	4
77	друг друга	1	4
78	так и	6	4
79	здесь нет	1	4
80	с помощью	1	4
81	до нас	2	4
82	не дает	1	4
83	вовсе не	3	4
84	но и	7	4
85	ничем не	1	4
86	а не	11	4
87	в связи	2	4
88	и для	4	4
89	тем более	2	4
90	хотя бы	2	4
91	говорить о	2	3
92	на них	1	3
93	столь же	1	3
94	с его	2	3
95	в ее	3	3
96	с этим	2	3
97	и к	5	3
98	ипполита в	1	3
99	и этим	1	3
100	в которой	2	3
101	в этой	1	3
102	и тот	3	3
103	как он	2	3
104	в нем	10	3
105	прежде чем	2	3
106	было бы	5	3
107	в них	2	3
108	все равно	4	3
109	далеко не	2	3
110	как и	11	3
111	чем в	1	3
112	и еще	1	3
113	но если	1	3
114	с точки	2	3
115	тем не	2	3
116	их в	2	3
117	к ним	1	3
118	никогда не	2	3
119	ничего не	6	3
120	и мысли	2	3
121	же самое	1	3
122	комедии и	1	3
123	в двух	2	3
124	не о	2	3
125	одной из	4	3
126	нисколько не	1	3
127	в начале	2	3
128	что не	1	3
129	у того	1	3
130	всяком случае	1	3
131	мы можем	5	3
132	отношению к	1	3
133	в других	1	3
134	и даже	2	3
135	даже не	1	3
136	на ее	2	3
137	один из	6	3
138	не может	2	3
139	конечно не	4	3
140	по своему	6	3
141	совсем другой	1	3
142	как бы	14	3
143	с этой	1	3
144	в целом	1	3
145	бы он	1	3
146	не знает	4	3
147	дело с	1	3
148	около г	1	3
149	во всяком	1	3
150	человека и	7	2
151	на своей	1	2
152	здесь и	4	2
153	мы не	4	2
154	в сущности	10	2
155	время как	1	2
156	представление о	1	2
157	достаточно сравнить	2	2
158	и он	1	2
159	сюжетной ситуации	1	2
160	но при	1	2
161	и на	18	2
162	во всех	12	2
163	отличие от	1	2
164	за пределы	1	2
165	что они	1	2
166	как в	7	2
167	в известной	2	2
168	что касается	2	2
169	целый ряд	1	2
170	в результате	1	2
171	так или	1	2
172	только один	1	2
173	и если	3	2
174	на его	3	2
175	о которой	1	2
176	состоит в	1	2
177	в силу	1	2
178	людей и	1	2
179	человека в	3	2
180	а затем	4	2
181	в мире	5	2
182	с другими	3	2
183	это не	6	2
184	который по	1	2
185	в развитии	3	2
186	которую он	1	2
187	и без	3	2
188	в котором	1	2
189	в их	2	2
190	сам себя	1	2
191	вплоть до	4	2
192	что их	1	2
193	в основе	5	2
194	бы по	1	2
195	с участием	1	2
196	в области	3	2
197	одним из	3	2
198	и со	1	2
199	нет ни	2	2
200	все еще	3	2
201	если же	1	2
202	и это	3	2
203	как мы	5	2
204	здесь не	4	2
205	в образе	3	2
206	можно было	1	2
207	наряду с	5	2
208	в эпоху	10	2
209	от своей	1	2
210	именно потому	1	2
211	а также	4	2
212	и во	4	2
213	которой мы	2	2
214	между тем	2	2
215	нуждается в	1	2
216	все время	1	2
217	не как	1	2
218	тот же	2	2
219	по мнению	1	2
220	у тебя	1	2
221	и ее	6	2
222	не мешает	1	2
223	в качестве	1	2
224	уже в	2	2
225	с женой	1	2
226	тебе в	1	2
227	нового времени	8	2
228	при всей	2	2
229	этом отношении	1	2
230	к одной	1	2
231	или иначе	1	2
232	один шаг	1	2
233	себя и	2	2
234	что для	1	2
235	к человеку	2	2
236	не было	4	2
237	в произведениях	1	2
238	под влиянием	1	2
239	он и	1	2
240	и особенно	3	2
241	его на	1	2
242	из которых	1	2
243	к своему	1	2
244	сравнению с	4	2
245	по существу	5	2
246	для понимания	2	2
247	человека который	1	2
248	о его	1	2
249	нет ничего	2	2
250	все остальные	1	2
251	при всем	1	2
252	и все	10	2
253	конце концов	1	2
254	отношению ко	1	2
255	а о	1	2
256	между ними	2	2
257	другой стороны	1	2
258	равно как	1	2
259	к этой	1	2
260	по сравнению	4	2
261	в своих	2	2
262	это в	1	2
263	в таком	2	2
264	формы и	3	1
265	всем и	1	1
266	я и	1	1
267	например в	5	1
268	домашней утвари	1	1
269	зрителей в	1	1
270	всего это	1	1
271	же по	1	1
272	которую они	1	1
273	и до	5	1
274	свое место	1	1
275	с изображением	1	1
276	всеми их	1	1
277	вопросов на	1	1
278	видеть в	1	1
279	эпоху создания	1	1
280	в зависимости	2	1
281	на пороге	10	1
282	если я	1	1
283	мы имеем	1	1
284	и себя	1	1
285	этом не	1	1
286	а для	2	1
287	я не	4	1
288	они были	1	1
289	ему в	1	1
290	зависимости от	2	1
291	из ее	1	1
292	попутно что	1	1
293	в большинстве	4	1
294	он сам	4	1
295	не найдем	1	1
296	все эти	9	1
297	и главное	1	1
298	не бывать	1	1
299	но не	5	1
300	и признающего	1	1
301	теперь такой	1	1
302	себе и	1	1
303	друг от	1	1
304	человеку и	1	1
305	внешних проявлений	1	1
306	сущности к	1	1
307	относится к	1	1
308	которые не	2	1
309	не пользуется	1	1
310	в истории	3	1
311	в одной	2	1
312	независимо от	1	1
313	и родственные	2	1
314	это был	2	1
315	перед нами	5	1
316	на земле	14	1
317	как уже	1	1
318	и наконец	2	1
319	к числу	1	1
320	более или	3	1
321	не такое	1	1
322	из этих	1	1
323	тем он	1	1
324	им в	1	1
325	известный нам	1	1
326	на площади	2	1
327	сцену в	1	1
328	остались в	1	1
329	человек не	1	1
330	главное в	1	1
331	по крайней	1	1
332	чтобы они	1	1
333	нее и	1	1
334	к одному	2	1
335	не к	1	1
336	полемики с	2	1
337	нашего времени	1	1
338	принадлежат к	1	1
339	на этом	1	1
340	находим у	1	1
341	в нее	1	1
342	именно это	1	1
343	в каждом	4	1
344	для всей	1	1
345	что все	1	1
346	есть все	1	1
347	значение в	4	1
348	конечно в	2	1
349	той же	5	1
350	это было	3	1
351	обоих случаях	1	1
352	еще вернемся	3	1
353	получил от	1	1
354	нам по	2	1
355	и тем	2	1
356	чаще всего	1	1
357	шаг до	1	1
358	во многом	2	1
359	для них	1	1
360	соответствии с	2	1
361	этого не	1	1
362	не всегда	1	1
363	очень важный	1	1
364	бога и	2	1
365	наблюдение над	1	1
366	и сцены	2	1
367	время все	1	1
368	затем когда	1	1
369	работы в	1	1
370	таким же	1	1
371	человек и	2	1
372	как все	1	1
373	мы конечно	1	1
374	человеком и	1	1
375	остается один	1	1
376	теперь а	1	1
377	место в	2	1
378	в отличие	1	1
379	знаем что	1	1
380	что я	2	1
381	на базарной	1	1
382	жанра в	2	1
383	образом и	1	1
384	которые в	1	1
385	но он	2	1
386	иным как	1	1
387	и под	3	1
388	и вся	3	1
389	причем здесь	1	1
390	в атмосфере	1	1
391	бы сразу	1	1
392	как можно	1	1
393	только здесь	1	1
394	в обоих	1	1
395	того как	1	1
396	почти во	3	1
397	и притом	1	1
398	по тону	1	1
399	в самых	1	1
400	особый характер	2	1
401	человека по	1	1
402	он с	1	1
403	людям и	2	1
404	вся его	1	1
405	на тему	1	1
406	всего на	1	1
407	и по	3	1
408	по своей	9	1
409	во всем	2	1
410	вот что	2	1
411	и теперь	1	1
412	в сознании	2	1
413	одному и	2	1
414	что на	1	1
415	ли это	1	1
416	ну а	2	1
417	мы встречаем	1	1
418	детей в	1	1
419	меня теперь	1	1
420	все то	3	1
421	день в	1	1
422	могут быть	4	1
423	более на	1	1
424	как только	1	1
425	числе и	10	1
426	всего в	1	1
427	базарной площади	1	1
428	здесь мы	2	1
429	литературы на	1	1
430	от друга	1	1
431	подходе к	2	1
432	здесь также	1	1
433	и от	3	1
434	можно сделать	1	1
435	в себя	6	1
436	и может	1	1
437	как с	1	1
438	образе и	1	1
439	с известными	2	1
440	с собой	1	1
441	времени и	2	1
442	особенно в	4	1
443	реальной жизни	1	1
444	живет в	2	1
445	мог бы	1	1
446	к его	1	1
447	которые он	1	1
448	вошел в	1	1
449	могла быть	1	1
450	жизнь и	1	1
451	мы в	1	1
452	строго говоря	1	1
453	не его	1	1
454	и всякого	1	1
455	лукиана у	1	1
456	для этого	1	1
457	своего отца	1	1
458	покончить с	1	1
459	то они	1	1
460	своему стилю	1	1
461	и та	1	1
462	в риме	2	1
463	его жизни	1	1
464	дают нам	1	1
465	после того	1	1
466	все его	2	1
467	диалога с	2	1
468	затем в	1	1
469	восходит к	1	1
470	каждом из	3	1
471	как нет	1	1
472	все на	1	1
473	от них	1	1
474	которая до	1	1
475	этот момент	1	1
476	этом и	1	1
477	крайней мере	1	1
478	не надо	1	1
479	отношениях с	1	1
480	где происходит	1	1
481	и она	1	1
482	своей природе	1	1
483	развития но	1	1
484	на которой	1	1
485	всего творчества	2	1
486	но наиболее	1	1
487	мы видим	2	1
488	напротив в	1	1
489	только в	4	1
490	мной и	1	1
491	линию развития	1	1
492	во времени	1	1
493	этого достаточно	1	1
494	которая была	1	1
495	со всеми	8	1
496	человека с	1	1
497	и хочу	1	1
498	и у	7	1
499	только на	1	1
500	а напротив	1	1
501	а они	1	1
502	в душе	1	1
503	и других	9	1
504	сходятся в	1	1
505	к мысли	1	1
506	и их	2	1
507	с этими	1	1
508	человека из	1	1
509	может служить	1	1
510	как его	1	1
511	в некоторых	4	1
512	и никогда	1	1
513	именно об	1	1
514	принадлежность к	1	1
515	из своей	1	1
516	где в	2	1
517	чтобы показать	1	1
518	правом на	1	1
519	ней и	1	1
520	что человек	1	1
521	них в	2	1
522	этого человека	1	1
523	человека а	1	1
524	с той	1	1
525	показывает что	1	1
526	мы еще	3	1
527	была здесь	1	1
528	говорит о	2	1
529	в соответствии	2	1
530	v в	1	1
531	превращается в	1	1
532	в слове	1	1
533	приравнивается к	1	1
534	сближает его	1	1
535	мы остановимся	2	1
536	на время	2	1
537	у порога	1	1
538	ярким примером	1	1
539	приходит на	1	1
540	этот рассказ	1	1
541	мы находим	2	1
542	у лукиана	6	1
543	или на	2	1
544	ко всем	2	1
545	уж не	1	1
546	самой своей	1	1
547	и потому	5	1
548	из начал	1	1
549	в разной	1	1
550	площади и	1	1
551	для жанра	3	1
552	наиболее адекватным	1	1
553	в тех	1	1
554	некоторое время	1	1
555	быть только	2	1
556	сводника и	1	1
557	да и	2	1
558	хотя он	1	1
559	в кругу	1	1
560	на свете	2	1
561	и тому	2	1
562	еще раз	5	1
563	нашей работы	1	1
564	можно сказать	8	1
565	и звучит	1	1
566	в так	1	1
567	надо мной	1	1
568	который почти	1	1
569	в смысле	2	1
570	к вопросу	1	1
571	перед собой	1	1
572	пор еще	2	1
573	и родственных	1	1
574	котором он	1	1
575	или в	1	1
576	отца с	1	1
577	себя самого	3	1
578	могли бы	1	1
579	или менее	3	1
580	всякого рода	3	1
581	в этих	5	1
