N	3gram	Voloshinov_1	Vvedenie
1	в том что	4	12
2	о том что	1	12
3	в этом смысле	1	8
4	не может быть	7	8
5	тем не менее	3	8
6	до сих пор	3	6
7	в самом деле	1	6
8	то же время	1	6
9	в то же	1	6
10	с другой стороны	2	5
11	по отношению к	11	4
12	в этом отношении	1	4
13	можно было бы	1	4
14	по крайней мере	1	4
15	в данном случае	2	4
16	и в этом	1	4
17	во всяком случае	1	4
18	с одной стороны	2	4
19	одной стороны и	2	3
20	но в то	1	3
21	можно сказать что	5	3
22	сама по себе	1	3
23	но все же	1	3
24	дело в том	4	2
25	подобно тому как	1	2
26	то же самое	2	2
27	с точки зрения	2	2
28	может быть и	3	2
29	имеет дело с	1	2
30	как мы уже	1	2
31	а между тем	1	1
32	по себе не	1	1
33	мы имеем дело	1	1
34	более или менее	1	1
35	имеем в виду	2	1
36	чтобы убедиться в	1	1
37	но зато она	1	1
38	на самом деле	2	1
39	в настоящее время	2	1
40	свое выражение в	1	1
41	в том же	1	1
42	в лучшем случае	1	1
43	но что собственно	1	1
44	сам по себе	1	1
45	но и в	1	1
46	в руках у	1	1
47	которая нуждается в	1	1
48	так как если	4	1
49	только то что	1	1
50	что не только	1	1
51	совершенно ясно что	1	1
52	находит свое выражение	2	1
53	имеем дело с	1	1
54	только одна сторона	1	1
55	может быть только	1	1
56	как если бы	4	1
57	и не в	3	1
58	ее отношении к	1	1
59	в зависимости от	2	1
60	одно и то	2	1
61	и тогда когда	1	1
62	так же как	1	1
63	в обоих этих	1	1
64	то ни было	3	1
65	как на нечто	1	1
66	мы имеем в	1	1
67	и то же	2	1
68	таким образом для	1	1
69	но уже в	1	1
70	всего именно в	1	1
71	какой бы то	1	1
72	прежде всего именно	1	1
73	бы то ни	3	1
74	руках у нас	1	1
75	это только одна	1	1
76	но если бы	1	1
77	этой точки зрения	3	1
78	от его содержания	1	1
79	другой стороны как	1	1
80	в частности в	1	1
81	как уже сказано	1	1
82	таким образом мы	1	1
83	в свою очередь	1	1
84	в ее отношении	1	1
85	в них и	1	1
86	уже и сейчас	1	1
87	с самого начала	1	1
88	социального общения в	1	1
89	и прежде всего	1	1
90	так как в	1	1
91	с этой стороны	2	1
92	ни было области	1	1
93	все зависит от	1	1
94	на вещи и	1	1
95	если бы оно	1	1
96	может быть более	1	1
