N	3gram	Tiupa_Narr_2	FransuaR
1	о том что	4	5
2	то же время	3	5
3	в то же	3	5
4	в самом деле	1	4
5	с одной стороны	5	4
6	все то что	2	4
7	в большинстве случаев	1	4
8	в этом отношении	3	3
9	и т.п но	1	3
10	до сих пор	1	3
11	вместо того чтобы	1	3
12	существенную роль в	2	2
13	никак не может	1	2
14	одной стороны и	1	2
15	с точки зрения	2	2
16	в данном случае	6	2
17	это прежде всего	1	2
18	а также и	1	2
19	но и в	2	2
20	то есть в	1	2
21	начало и конец	1	2
22	в том что	8	2
23	и того же	1	1
24	по отношению к	5	1
25	и видит в	1	1
26	в обоих случаях	1	1
27	что с ним	1	1
28	в той или	1	1
29	в основе своей	1	1
30	с таким же	1	1
31	в чем же	1	1
32	более или менее	1	1
33	в которых он	1	1
34	в своем собственном	1	1
35	в себе самом	2	1
36	и т.п то	1	1
37	свидетельствует о том	1	1
38	что он может	1	1
39	именно то что	2	1
40	в строгом смысле	1	1
41	на этот вопрос	1	1
42	видит в нем	1	1
43	не может выговорить	1	1
44	быть самим собой	1	1
45	и тем же	1	1
46	как раз в	1	1
47	прежде всего его	1	1
48	и потому не	1	1
49	в нем не	1	1
50	в связи с	1	1
51	то что он	1	1
52	в литературном образе	1	1
53	ничего подобного не	1	1
54	как бы в	2	1
55	для того чтобы	1	1
56	не может быть	2	1
57	одним и тем	1	1
58	в зависимости от	1	1
59	в то время	1	1
60	то есть все	1	1
61	не только в	6	1
62	той или иной	3	1
63	можно сказать что	3	1
64	между жизнью и	1	1
65	одного и того	1	1
66	а с другой	1	1
67	жизнью и смертью	1	1
68	и все что	1	1
69	связи с этой	1	1
70	пространственных и временных	1	1
