N	3gram	Nazirov_Tv_1	Problemy
1	и т п	2	9
2	до сих пор	1	7
3	по отношению к	1	5
4	то же время	12	5
5	в то же	13	5
6	в отличие от	1	4
7	и т д	1	4
8	мы уже говорили	1	3
9	к тому же	1	3
10	с другой стороны	1	3
11	в бедных людях	5	3
12	но в то	4	3
13	с самим собой	1	3
14	как и в	1	3
15	хотя и не	1	2
16	в настоящее время	1	2
17	для достоевского не	1	2
18	нам кажется что	1	2
19	в творчестве достоевского	4	2
20	друг на друга	1	2
21	и та же	2	2
22	это вовсе не	1	2
23	уже говорили что	1	2
24	том или другом	1	2
25	в конце концов	1	2
26	в отношении к	1	2
27	но при этом	1	2
28	одна и та	1	2
29	я не могу	1	2
30	и среди них	1	2
31	тем не менее	2	2
32	в романах достоевского	13	2
33	человека и его	2	2
34	и иван карамазов	2	1
35	то есть не	2	1
36	дело в том	3	1
37	и наконец в	1	1
38	из подполья и	1	1
39	жития великого грешника	1	1
40	себе что он	1	1
41	то же самое	1	1
42	в том же	1	1
43	с установкой на	1	1
44	в этом пункте	1	1
45	по крайней мере	2	1
46	на том или	1	1
47	рассматривать в связи	1	1
48	во второй части	1	1
49	в себя как	1	1
50	и в других	1	1
51	хотя бы и	1	1
52	сами по себе	1	1
53	в романном мире	1	1
54	художественном мире достоевского	1	1
55	что он не	1	1
56	является одним из	2	1
57	у него в	1	1
58	бы то ни	1	1
59	у него не	1	1
60	яков петрович голядкин	1	1
61	а может быть	1	1
62	в этой повести	1	1
63	униженных и оскорбленных	4	1
64	уже в первом	1	1
65	а что если	1	1
66	в котором все	1	1
67	но кто же	1	1
68	со всеми его	1	1
69	а как бы	1	1
70	на этой почве	1	1
71	и со всеми	1	1
72	не в его	1	1
73	романном мире достоевского	1	1
74	здесь мы переходим	1	1
75	то ни было	1	1
76	с одной стороны	1	1
77	то к чему	1	1
78	в связи с	1	1
79	как один из	1	1
80	каких бы то	1	1
81	достоевского не был	1	1
82	но она не	1	1
83	при полном реализме	1	1
84	и в их	1	1
85	прежде всего на	1	1
86	самим собой как	1	1
87	же время достоевский	1	1
88	о том что	5	1
89	не менее чем	1	1
90	героя и героини	1	1
91	он не боится	1	1
92	в глаза и	1	1
93	не может не	1	1
94	единство романа достоевского	1	1
95	на самом деле	2	1
96	такой же как	1	1
97	рассказе и в	1	1
98	что может быть	1	1
99	в художественном мире	1	1
100	можно сказать что	2	1
101	самим собой в	2	1
102	у достоевского нет	1	1
103	но эти слова	1	1
104	полном реализме найти	1	1
105	таким образом и	1	1
106	в том что	6	1
107	глубоко связан с	1	1
