N	4gram	Tiupa_Narr_2	Hudozhes
1	в то же время	3	6
2	присутствия я в мире	1	4
3	состоит в том что	4	3
4	не следует смешивать с	1	3
5	одного и того же	1	3
6	в той или иной	1	2
7	и в то же	1	2
8	мы имеем дело с	2	1
9	в той мере в	2	1
10	специфически человеческий способ существования	1	1
11	поступки только раскрывают содержание	1	1
12	имеет место слияние пространственных	1	1
13	во всей его полноте	1	1
14	по отношению к которому	1	1
15	и временных примет в	1	1
16	место слияние пространственных и	1	1
17	а не все что	1	1
18	той мере в какой	2	1
19	пространственных и временных примет	1	1
20	не отделен от своей	1	1
21	примет в осмысленном и	1	1
22	в том или ином	1	1
23	не что иное как	1	1
24	осмысленном и конкретном целом	1	1
25	и его поступки только	1	1
26	индивида и его поступки	1	1
27	судьбы они едины судьба	1	1
28	с этой точки зрения	1	1
29	как уже говорилось выше	1	1
30	временных примет в осмысленном	1	1
31	позицию по отношению к	1	1
32	следует иметь в виду	1	1
33	раз в том что	1	1
34	одним и тем же	1	1
35	внеличную сторону индивида и	1	1
36	в современных гуманитарных науках	1	1
37	в осмысленном и конкретном	1	1
38	как раз в том	1	1
39	точно так же как	2	1
40	имеет в своем составе	1	1
41	только раскрывают содержание судьбы	1	1
42	едины судьба выражает внеличную	1	1
43	судьба выражает внеличную сторону	1	1
44	себя в другом и	1	1
45	они едины судьба выражает	1	1
46	не несет в себе	1	1
47	от своей судьбы они	1	1
48	его поступки только раскрывают	1	1
49	сторону индивида и его	1	1
50	своей судьбы они едины	1	1
51	креативного и рецептивного сознаний	1	1
52	отделен от своей судьбы	1	1
53	не субъективно оно интерсубъективно	1	1
54	слияние пространственных и временных	1	1
55	выражает внеличную сторону индивида	1	1
56	есть не что иное	1	1
