N	3gram	Bakhtin_Pr_3	UchenyiS
1	не может быть	1	4
2	с другой стороны	1	3
3	то же время	5	3
4	в то же	5	3
5	а между тем	2	2
6	смысле этого термина	1	2
7	в этом смысле	1	2
8	то же самое	1	2
9	до сих пор	5	2
10	в этом отношении	1	2
11	в том что	3	2
12	по крайней мере	1	2
13	и то что	1	2
14	тех или иных	1	2
15	в конце концов	1	2
16	и в конце	1	1
17	этом отношении очень	1	1
18	так или иначе	1	1
19	в большей или	2	1
20	или меньшей степени	2	1
21	это было бы	1	1
22	более или менее	3	1
23	равно как и	1	1
24	большей или меньшей	3	1
25	одним из самых	1	1
26	в широком смысле	1	1
27	этом смысле можно	1	1
28	и в то	2	1
29	в той же	1	1
30	является одним из	1	1
31	а не то	1	1
32	бы те основные	1	1
33	в своей совокупности	1	1
34	и прежде всего	5	1
35	и все они	1	1
36	смысле можно сказать	1	1
37	можно сказать что	4	1
38	то что было	1	1
39	таков прежде всего	1	1
40	но именно этот	1	1
41	но в то	1	1
