N	3gram	Potebnia_M_4	Literetu
1	то же время	3	9
2	в то же	3	9
3	не может быть	5	7
4	с одной стороны	1	6
5	в том что	7	5
6	с другой стороны	1	4
7	с точки зрения	3	3
8	в этом отношении	1	3
9	в данном случае	2	3
10	в том чтобы	1	3
11	по отношению к	8	3
12	речь идет о	1	3
13	о том что	5	2
14	подобно тому как	2	2
15	в этом случае	5	2
16	и т п	4	2
17	по крайней мере	5	2
18	в первый раз	1	2
19	в свое время	1	2
20	в том числе	1	2
21	тем не менее	4	2
22	в сравнении с	1	2
23	при всей своей	1	2
24	то в его	1	1
25	нет и не	1	1
26	тех пор пока	2	1
27	но и не	1	1
28	мы имеем дело	2	1
29	как было сказано	1	1
30	то же самое	4	1
31	что же касается	1	1
32	и не может	1	1
33	я в этом	1	1
34	вместе с тем	3	1
35	по отношению ко	1	1
36	не могут быть	2	1
37	том числе и	1	1
38	до тех пор	6	1
39	и то что	4	1
40	ничего общего с	1	1
41	этом случае мы	1	1
42	имеем дело с	1	1
43	не в том	2	1
44	со второй половины	1	1
45	чем и состоит	1	1
46	как нам представляется	1	1
47	в мире а	1	1
48	все то что	1	1
49	в чем и	1	1
50	а в том	2	1
51	самом деле есть	1	1
52	мы не можем	3	1
53	что может быть	1	1
54	сказать и о	1	1
55	в свою очередь	1	1
56	на самом деле	3	1
57	в одном из	1	1
58	то есть в	2	1
59	не только не	3	1
60	есть не более	1	1
61	и находится в	1	1
62	после того как	2	1
63	и поэзии и	1	1
64	к тому что	1	1
65	быть не может	1	1
66	для того чтобы	4	1
67	и других в	1	1
68	чтобы слово было	1	1
