N	3gram	Bakhtin_fo_1	VLabPisa
1	в этом отношении	3	13
2	и т п	8	9
3	не может быть	3	8
4	по отношению к	3	7
5	в зависимости от	1	5
6	то же время	9	5
7	в то же	6	5
8	не могут быть	1	4
9	в связи с	5	4
10	равно как и	2	4
11	в том что	2	4
12	и в то	5	3
13	и др в	2	3
14	в значительной мере	1	3
15	вместе с тем	2	3
16	о том что	1	3
17	в другом месте	1	2
18	одной стороны и	2	2
19	также и в	2	2
20	в том числе	4	2
21	до сих пор	3	2
22	лишь в пределах	2	2
23	одном и том	1	2
24	не было в	1	2
25	с одной стороны	2	2
26	и том же	1	2
27	во всех этих	1	2
28	во всяком случае	1	2
29	в этом и	1	2
30	в точном смысле	2	2
31	единого и целостного	1	2
32	том числе и	2	2
33	для того чтобы	5	2
34	во всех его	1	2
35	и может быть	1	1
36	бросается в глаза	1	1
37	часто приводит к	1	1
38	в той или	1	1
39	же в этом	1	1
40	и ту же	1	1
41	то время как	2	1
42	чтобы покончить с	1	1
43	в самом деле	1	1
44	и как оно	1	1
45	в соответствии с	2	1
46	в том же	1	1
47	же как и	2	1
48	и во всех	1	1
49	главным образом в	1	1
50	сами по себе	1	1
51	в одном и	1	1
52	сама по себе	1	1
53	ту же ночь	1	1
54	но и в	2	1
55	прежде всего необходимо	3	1
56	может быть и	2	1
57	во всей ее	1	1
58	т п все	1	1
59	со всех сторон	1	1
60	как если бы	2	1
61	говорит о том	1	1
62	одно и то	3	1
63	разрешал эту проблему	1	1
64	что во всех	1	1
65	в ту же	1	1
66	в данном случае	1	1
67	к ним не	1	1
68	по этому вопросу	1	1
69	но в то	1	1
70	не только в	2	1
71	таким образом и	1	1
72	при помощи которой	1	1
73	но она не	1	1
74	и то же	3	1
75	так же как	2	1
76	к этому типу	1	1
77	по сравнению с	2	1
78	но вместе с	1	1
79	значительной мере и	1	1
80	и речи о	1	1
81	все то что	2	1
82	дошедших до нас	1	1
83	качестве одной из	1	1
84	сих пор не	1	1
85	между этими двумя	3	1
86	но по существу	2	1
87	имеем в виду	1	1
88	в то время	3	1
89	прежде всего бросается	1	1
90	в свою очередь	1	1
91	быть и речи	1	1
92	та или иная	1	1
93	одна из форм	1	1
94	той или иной	2	1
95	объединения их в	1	1
96	в ее основных	2	1
97	мы говорим о	1	1
98	в новое время	1	1
99	отнюдь не являются	1	1
100	всего бросается в	1	1
101	в искусстве и	1	1
102	одну и ту	1	1
103	его таким образом	1	1
104	все это не	1	1
105	к тому же	2	1
106	в качестве одной	1	1
