N	2gram	Medvedev_B_1	Sovremen
1	таким образом	1	11
2	и в	1	7
3	и не	2	6
4	прежде всего	1	5
5	вопрос о	1	4
6	не только	1	4
7	отнюдь не	1	3
8	все же	1	3
9	еще не	1	3
10	было бы	1	3
11	а не	1	3
12	и потому	1	3
13	все это	2	3
14	у нас	3	3
15	в области	1	3
16	необходимо отметить	1	2
17	говорить о	1	2
18	и во	1	2
19	говорить об	1	2
20	ясного и	1	2
21	всяком случае	1	2
22	что все	1	2
23	совершенно не	1	2
24	что в	1	2
25	во всяком	1	2
26	на самом	1	1
27	можно было	2	1
28	в ней	2	1
29	крайней мере	1	1
30	кроме того	1	1
31	одной из	1	1
32	почти совершенно	1	1
33	остановиться на	1	1
34	с другой	1	1
35	не было	1	1
36	в данном	1	1
37	является только	1	1
38	по крайней	1	1
39	и более	1	1
40	и нет	1	1
41	на которой	1	1
42	а о	1	1
43	между ними	1	1
