N	3gram	Propp_Morf_1	RusskieA
1	в том что	3	15
2	и т д	39	9
3	состоит в том	2	8
4	в этом случае	8	5
5	как мы увидим	4	5
6	о том что	1	4
7	к тому что	3	4
8	и в других	1	4
9	в связи с	8	4
10	а н веселовский	1	4
11	в настоящее время	3	3
12	с точки зрения	2	3
13	тем не менее	4	3
14	мы не можем	1	3
15	в большинстве случаев	3	2
16	к этому же	1	2
17	для наших целей	1	2
18	с этого момента	2	2
19	стоит в связи	1	2
20	мы увидим ниже	5	2
21	но это не	1	2
22	может быть и	2	2
23	какие же выводы	1	2
24	можно сделать из	2	2
25	друг к другу	2	2
26	и многие другие	1	2
27	мы не будем	2	2
28	это не значит	2	2
29	выводы можно сделать	1	2
30	не значит что	2	2
31	но все же	3	2
32	в какой степени	1	2
33	после того как	1	2
34	же выводы можно	1	2
35	в е годы	1	2
36	один из них	1	2
37	подобно тому как	5	1
38	не потому что	1	1
39	в таком случае	1	1
40	во многих отношениях	1	1
41	в собственном смысле	3	1
42	приводит к тому	1	1
43	наблюдения могут быть	1	1
44	друг с другом	1	1
45	точно так же	1	1
46	здесь мы имеем	1	1
47	очень ярких формах	1	1
48	тех случаях когда	2	1
49	мы увидим что	1	1
50	иное чем в	1	1
51	о характере этого	1	1
52	не может считаться	1	1
53	можно установить что	1	1
54	как и в	2	1
55	в глаза что	1	1
56	можно сказать что	1	1
57	только в тех	1	1
58	об этом сообщает	1	1
59	с этим в	1	1
60	в противном случае	1	1
61	на то что	2	1
62	иметь в виду	1	1
63	мы должны будем	1	1
64	что и в	1	1
65	ниже мы увидим	1	1
66	не означает что	1	1
67	бросается в глаза	1	1
68	ни одна из	1	1
69	независимо от того	3	1
70	можно показать что	2	1
71	имеет ничего общего	1	1
72	из ряда других	1	1
73	в то время	3	1
74	не более как	1	1
75	на самом деле	4	1
76	по отношению к	4	1
77	но и другие	1	1
78	этом случае он	1	1
79	определить в какой	1	1
80	что в сказке	1	1
81	так например в	1	1
82	и что следовательно	1	1
83	подменивает ее своей	1	1
84	в отдельности может	1	1
85	во всяком случае	2	1
86	есть и другие	2	1
87	в этом отношении	1	1
88	и пр и	2	1
89	сделать из приведенных	1	1
90	в тех случаях	2	1
91	в этих случаях	11	1
92	также представляют собой	1	1
93	могут рассматриваться как	1	1
94	мы видим что	9	1
95	встречается и в	2	1
96	должен остаться открытым	1	1
97	сказки а н	1	1
98	относится между прочим	1	1
99	не имеет смысла	1	1
100	как будто не	2	1
101	на этом кончается	1	1
102	тому что в	1	1
103	наряду с этим	3	1
104	чрезвычайно разнообразны и	1	1
105	мы имеем здесь	1	1
106	не имеет ничего	1	1
107	в данном случае	1	1
108	хотя и не	1	1
109	но есть и	1	1
110	имеет смысла но	1	1
111	хочет жениться на	1	1
