N	3gram	Bakhtin_sl_2	Vvedenie
1	и т д	2	36
2	для того чтобы	2	20
3	в том что	4	12
4	о том что	1	12
5	не может быть	15	8
6	тем не менее	1	8
7	до сих пор	2	6
8	в применении к	1	6
9	то же время	4	6
10	в то же	4	6
11	и т п	33	5
12	с другой стороны	1	5
13	в широком смысле	1	5
14	по отношению к	4	4
15	и в особенности	2	4
16	в этом случае	6	4
17	в этом отношении	3	4
18	не только в	2	4
19	не только как	1	4
20	во всяком случае	2	4
21	с одной стороны	5	4
22	также и в	1	3
23	одной стороны и	3	3
24	в собственном смысле	3	3
25	но в то	3	3
26	большей или меньшей	1	3
27	сама по себе	3	3
28	но все же	4	3
29	как мы видели	1	3
30	в чем же	1	2
31	влечет за собой	1	2
32	не влечет за	1	2
33	с точки зрения	3	2
34	хотя бы и	2	2
35	может быть и	2	2
36	имеет дело с	1	2
37	на этой почве	1	2
38	и не могут	1	2
39	между тем именно	1	2
40	не могут быть	2	2
41	не до конца	1	2
42	в связи с	2	2
43	в целом ряде	1	2
44	тем или иным	1	2
45	а также и	2	2
46	вовсе не в	1	2
47	в этих случаях	1	2
48	как мы уже	2	2
49	той или иной	5	2
50	не может не	1	1
51	но независимо от	1	1
52	в той или	3	1
53	точки зрения на	1	1
54	мы говорим о	1	1
55	как один из	1	1
56	более или менее	2	1
57	свое выражение в	1	1
58	что одним из	1	1
59	эта установка на	1	1
60	дело не только	1	1
61	как это было	1	1
62	в лучшем случае	1	1
63	в отличие от	12	1
64	но и в	1	1
65	и в дальнейшем	1	1
66	или иной степени	3	1
67	самого по себе	1	1
68	она может быть	1	1
69	как он сам	1	1
70	может быть только	1	1
71	и не в	1	1
72	она во всяком	1	1
73	и могут быть	1	1
74	в зависимости от	4	1
75	все то что	1	1
76	и в значительной	1	1
77	бы и не	1	1
78	тот факт что	2	1
79	а не только	1	1
80	все это и	1	1
81	всяком случае не	1	1
82	и в чисто	1	1
83	к своему предмету	5	1
84	в нем не	1	1
85	дошедшие до нас	1	1
86	в нем есть	1	1
87	а в том	1	1
88	в частности в	1	1
89	как уже сказано	2	1
90	в свою очередь	2	1
91	в них и	1	1
92	того или иного	1	1
93	прежде всего он	1	1
94	с самого начала	1	1
95	нужно сказать что	1	1
96	но в этом	1	1
97	один из важнейших	2	1
98	язык в его	1	1
99	уже не только	1	1
100	все зависит от	1	1
101	не входят в	1	1
102	в средние века	1	1
103	в них не	1	1
104	во всех его	2	1
105	все это не	1	1
106	то она во	1	1
107	только с помощью	1	1
