N	3gram	Bakhtin_Pr_1	KFilosof
1	по отношению к	19	21
2	в соотнесении с	1	11
3	не может быть	11	11
4	с точки зрения	6	10
5	в его целом	5	9
6	может быть только	3	6
7	отношению к нему	1	4
8	не проникает в	1	4
9	в чем не	2	4
10	ни в чем	2	4
11	по отношению ко	1	4
12	в этом смысле	3	3
13	и в этом	1	3
14	между тем как	5	3
15	есть лишь момент	2	3
16	в нем и	1	3
17	того или иного	2	3
18	на самом деле	3	3
19	не было бы	1	3
20	бытия в его	1	3
21	в ее целом	1	3
22	лишь в соотнесении	1	3
23	должно быть соотнесено	1	2
24	во всех отношениях	1	2
25	в то же	3	2
26	вопрос о том	1	2
27	бы то ни	3	2
28	быть соотнесено с	1	2
29	раз и навсегда	1	2
30	все эти моменты	2	2
31	как психический процесс	1	2
32	во всех своих	2	2
33	только по отношению	4	2
34	в этом его	1	2
35	в том что	3	2
36	к чему не	1	2
37	то или иное	2	2
38	ни к чему	1	2
39	то же время	3	2
40	бытия и долженствования	1	2
41	той или иной	2	2
42	тем не менее	3	2
43	то ни было	2	2
44	поступка и его	1	1
45	в событии бытия	1	1
46	проникают друг друга	1	1
47	не для того	1	1
48	в том же	2	1
49	или иной культурной	1	1
50	и тем самым	2	1
51	мир в его	1	1
52	во всех его	4	1
53	в основных чертах	1	1
54	в большинстве случаев	5	1
55	в ней в	1	1
56	и познания и	1	1
57	образом и в	1	1
58	событие в его	1	1
59	и во всех	2	1
60	в его существе	1	1
61	и именно в	1	1
62	может быть понята	1	1
63	и не в	1	1
64	ценностное отношение к	2	1
65	смысле этого слова	1	1
66	а следовательно и	1	1
67	где оно не	1	1
68	в истории философии	1	1
69	к действительности поступка	1	1
70	изнутри самого познания	2	1
71	и в то	2	1
72	при этом условии	1	1
73	но в то	1	1
74	иной чем в	1	1
75	должен быть признан	1	1
76	в один момент	1	1
77	систематическое единство культуры	1	1
78	в этом последнем	1	1
79	не может возникнуть	1	1
80	тем или иным	1	1
81	его целом в	1	1
82	имеет место и	1	1
83	равно как и	1	1
84	в единстве культуры	4	1
85	может быть и	1	1
86	для того чтобы	2	1
87	конечно не может	1	1
88	только post factum	1	1
89	он живет и	1	1
90	в противном случае	3	1
91	на то что	1	1
92	контекста в котором	1	1
93	в другом случае	1	1
94	все что есть	1	1
95	хотя бы только	1	1
96	в их конкретном	1	1
97	и поступка и	1	1
98	к единству содержания	1	1
99	но можно ли	1	1
100	не совпадает с	2	1
101	к тому что	1	1
102	бы не было	1	1
103	во всей полноте	1	1
104	и менее всего	1	1
105	всех своих моментах	2	1
106	притом не только	1	1
107	то же самое	2	1
108	и как бы	1	1
109	едва ли кто-нибудь	1	1
110	и должна быть	1	1
111	в ней но	1	1
112	если бы не	1	1
113	имеют в виду	1	1
114	и в его	1	1
115	вследствие того что	1	1
116	в его совершенно	1	1
117	все это можно	1	1
118	хотя бы и	1	1
119	но отнюдь не	7	1
120	их конкретном единстве	1	1
121	один момент не	1	1
122	и смысла в	1	1
123	в том смысле	1	1
124	и тем не	1	1
125	в настоящее время	1	1
126	только при этом	1	1
127	может быть эстетически	1	1
128	форму и содержание	1	1
129	в значительной степени	1	1
130	неправильным было бы	1	1
131	рядом с ними	1	1
132	и может быть	1	1
133	принципиально не может	1	1
134	в основе своей	3	1
135	нашей работы здесь	1	1
136	место и в	1	1
137	в конечном счете	4	1
138	это в корне	1	1
139	можно и должно	1	1
140	для эстетического созерцания	2	1
141	позицию по отношению	4	1
142	имеют дело с	1	1
143	там где оно	2	1
144	как момент в	1	1
145	конечно не в	1	1
146	основе своей есть	1	1
147	в лучшем случае	2	1
148	не может иметь	1	1
149	его осуществления и	1	1
150	не может стать	1	1
151	не о том	1	1
152	противном случае мы	1	1
153	познавательного акта и	2	1
154	иной культурной области	1	1
155	со всех сторон	2	1
156	слова в их	1	1
157	в нем нет	1	1
158	взаимно проникают друг	1	1
159	единству содержания и	1	1
160	дело в том	1	1
161	и для эстетического	2	1
162	быть не может	1	1
163	и в нем	3	1
164	мы ничего не	1	1
165	в нем не	1	1
166	в которой я	1	1
167	не в том	1	1
168	в первом случае	1	1
169	никогда не может	2	1
170	и ценности и	1	1
171	ни в один	1	1
172	его целом как	1	1
173	в свою очередь	1	1
174	и принципиально не	1	1
175	несмотря на то	1	1
176	должны быть определены	1	1
177	проникает в содержание	1	1
178	желания и пр	1	1
