N	2gram	Medvedev_U_1	StatiiOP
1	и в	14	29
2	том что	2	27
3	в том	2	27
4	в этом	7	21
5	не только	10	19
6	но и	4	19
7	что в	1	19
8	о том	1	17
9	в его	2	13
10	что он	2	13
11	у пушкина	1	12
12	в которой	1	11
13	то что	7	11
14	все это	5	11
15	таким образом	2	10
16	рецензии на	1	10
17	в своем	1	9
18	он не	1	9
19	так и	1	9
20	этом отношении	2	9
21	и не	8	9
22	пушкин и	1	9
23	как на	1	9
24	но в	3	8
25	как раз	2	8
26	в ней	1	7
27	в самом	2	7
28	в г	1	7
29	в своей	3	7
30	в котором	1	7
31	не столько	2	7
32	того как	1	7
33	в виду	1	7
34	с тем	1	7
35	одним из	2	6
36	все же	3	6
37	об этом	1	6
38	и что	1	6
39	до сих	2	6
40	в течение	1	6
41	было бы	3	5
42	того что	1	5
43	между тем	2	5
44	в качестве	1	5
45	прежде всего	8	5
46	а не	10	5
47	о чем	2	5
48	в той	1	5
49	сих пор	2	5
50	выхода в	1	4
51	не приходится	2	4
52	в нем	1	4
53	и с	2	4
54	не в	2	4
55	пушкина но	1	4
56	ничего не	2	4
57	но также	1	4
58	для него	3	4
59	с другой	4	4
60	в частности	3	4
61	а как	2	4
62	к этому	1	4
63	вряд ли	3	3
64	же как	1	3
65	самом деле	2	3
66	в их	4	3
67	по его	1	3
68	хотя бы	5	3
69	но не	2	3
70	не то	1	3
71	не было	1	3
72	в известном	1	3
73	в россии	4	3
74	но он	1	3
75	по себе	2	3
76	что ему	1	3
77	никогда не	1	3
78	тем что	2	3
79	у нас	3	3
80	столько же	1	3
81	в пользу	1	3
82	материал для	2	3
83	но это	2	3
84	неудивительно что	2	3
85	и даже	1	3
86	до конца	1	3
87	относятся к	1	3
88	другой стороны	3	3
89	в рецензии	1	3
90	то же	5	2
91	поэзии и	1	2
92	бы то	3	2
93	с его	2	2
94	нет и	1	2
95	на то	1	2
96	к сожалению	3	2
97	более или	1	2
98	в этой	4	2
99	в себе	2	2
100	на его	1	2
101	если бы	2	2
102	то ни	3	2
103	тем в	1	2
104	это было	2	2
105	как и	3	2
106	или менее	1	2
107	что такое	4	2
108	что было	1	2
109	что этот	1	2
110	и вся	1	2
111	что с	1	2
112	в то	3	2
113	в процессе	1	2
114	не может	7	2
115	в области	3	2
116	искусства и	1	2
117	и это	1	2
118	он был	1	2
119	в значительной	1	2
120	что и	2	2
121	только в	2	2
122	известном письме	1	2
123	пишет он	2	2
124	бы ни	1	2
125	очевидно что	3	2
126	в конце	2	2
127	может быть	6	2
128	в период	1	2
129	и др	1	2
130	только к	3	2
131	в некоторых	2	2
132	его как	1	2
133	если не	2	2
134	должна была	2	2
135	и потому	1	2
136	в данном	1	2
137	по существу	2	2
138	ее в	1	2
139	ни было	3	2
140	сказать что	1	2
141	а между	2	1
142	его поэмы	1	1
143	сам по	1	1
144	и то	3	1
145	той же	1	1
146	их и	2	1
147	мы не	2	1
148	не вполне	1	1
149	этого термина	2	1
150	и отчетливых	1	1
151	литературы и	2	1
152	конечно это	1	1
153	временной последовательности	1	1
154	научное изучение	1	1
155	своей работе	1	1
156	в сторону	2	1
157	о необходимости	1	1
158	более чем	2	1
159	независимо от	1	1
160	формы в	3	1
161	так или	1	1
162	бы только	1	1
163	что она	2	1
164	не следует	3	1
165	но именно	1	1
166	перестает быть	5	1
167	в первую	1	1
168	не как	3	1
169	для в	1	1
170	связанных с	1	1
171	первую очередь	1	1
172	сколько и	1	1
173	этом смысле	2	1
174	еще одно	1	1
175	еще раз	1	1
176	но если	1	1
177	существенно нового	1	1
178	она не	1	1
179	у кого	1	1
180	больше чем	1	1
181	же время	3	1
182	впрочем в	1	1
183	именно такой	1	1
184	по нашему	3	1
185	исходить из	1	1
186	ли пушкин	1	1
187	не могут	2	1
188	он и	1	1
189	отсюда как	1	1
190	всего что	1	1
191	что при	1	1
192	отказаться от	1	1
193	лет с	1	1
194	в свое	1	1
195	что все	2	1
196	тенденции в	1	1
197	данном случае	1	1
198	только при	1	1
199	в пределах	1	1
200	слова а	1	1
201	с самим	1	1
202	к вопросам	1	1
203	жанра в	1	1
204	и всякого	1	1
205	ничего существенно	1	1
206	вот почему	7	1
207	можно сказать	1	1
208	или иначе	1	1
209	литературных и	1	1
210	конце концов	2	1
211	как метод	2	1
212	не случайно	2	1
213	что только	1	1
214	тот же	1	1
215	недаром и	1	1
216	и действительно	1	1
217	сторону от	1	1
218	он уже	1	1
219	по мнению	1	1
220	это же	1	1
221	с которыми	1	1
222	конечно не	4	1
223	а это	1	1
224	где бы	1	1
225	недаром в	1	1
226	одно из	1	1
227	система приемов	1	1
228	не для	1	1
229	не о	3	1
230	может служить	1	1
231	мы можем	1	1
232	но что	1	1
233	у него	1	1
234	форму и	2	1
235	именно как	2	1
236	по вопросам	1	1
237	в исторической	1	1
238	даже не	1	1
239	язык в	1	1
240	за пределы	1	1
241	и быть	1	1
242	что для	1	1
243	то и	1	1
244	г №	1	1
245	мы и	2	1
246	на эту	2	1
247	и слово	1	1
248	слова правда	1	1
249	его собственному	1	1
250	пишет в	1	1
251	что же	1	1
252	и всей	1	1
253	быть не	1	1
254	этом случае	1	1
255	впрочем не	1	1
256	как нам	1	1
257	на своем	1	1
258	но для	1	1
259	и для	2	1
260	не существует	1	1
261	невозможна без	1	1
262	иначе в	1	1
263	и все	1	1
264	идет не	1	1
265	бы в	1	1
266	все они	2	1
267	кругу и	1	1
268	же в	1	1
269	которой все	1	1
270	в таком	1	1
271	все что	1	1
