N	3gram	Tiupa_Hudo_1	Poddanst
1	в то же	8	7
2	то же время	8	7
3	гораздо большей степени	1	4
4	в гораздо большей	1	4
5	не только в	2	4
6	в том что	6	4
7	с точки зрения	3	3
8	сами по себе	1	3
9	с одной стороны	1	3
10	одной стороны и	1	2
11	и в то	1	2
12	заключает в себе	1	2
13	том что в	2	1
14	как она есть	1	1
15	место в ряду	1	1
16	не ослабевает и	1	1
17	более или менее	1	1
18	в этом смысле	1	1
19	и в этом	1	1
20	в отличие от	1	1
21	и быть может	3	1
22	за то что	1	1
23	в этих двух	1	1
24	между тем в	1	1
25	не в том	2	1
26	во всяком случае	1	1
27	не может быть	2	1
28	та или иная	3	1
29	мы должны в	1	1
30	большей степени чем	1	1
31	но в то	3	1
32	в русской культуре	1	1
33	на пути к	1	1
34	друг с другом	1	1
35	в xix в	1	1
36	но в этом	1	1
37	он живет в	1	1
38	на наш взгляд	2	1
39	и т д	3	1
40	быть может и	1	1
