N	3gram	Propp_Isto_4	Otkroven
1	что же это	1	2
2	что у него	1	2
3	не может быть	4	2
4	как и все	1	2
5	в этом он	1	2
6	но и в	1	2
7	не могут быть	1	2
8	же это за	1	2
9	смысле этого слова	2	1
10	она и не	1	1
11	как будто бы	1	1
12	по сравнению с	3	1
13	а в его	1	1
14	в виду не	1	1
15	не в том	1	1
16	и он всегда	1	1
17	ни к каким	1	1
18	о том как	1	1
19	а в совершенно	1	1
20	и не может	1	1
21	в борьбе со	1	1
22	и действительно в	1	1
23	в иных случаях	1	1
24	потому что у	1	1
25	он должен был	2	1
26	после того как	2	1
27	о том что	2	1
28	но и там	1	1
29	на то что	3	1
30	в русской и	1	1
31	как и отец	1	1
32	и то что	5	1
33	а не только	1	1
34	как и в	1	1
