N	2gram	Bakhtin_KF_1	VerxiiNi
1	и в	24	26
2	с тем	2	18
3	в этом	14	15
4	вместе с	1	15
5	точки зрения	12	13
6	как бы	9	12
7	в том	6	11
8	не только	5	10
9	и с	1	10
10	может быть	45	10
11	в области	2	9
12	так как	1	9
13	но и	9	9
14	что в	4	9
15	но не	12	8
16	главным образом	1	8
17	и не	26	8
18	но в	5	7
19	но все	5	7
20	том что	4	7
21	потому что	2	7
22	к нему	12	7
23	то что	7	7
24	а с	2	7
25	того же	1	6
26	все же	5	6
27	все эти	10	6
28	в себе	21	6
29	всяком случае	1	6
30	с точки	9	6
31	в отношении	1	6
32	к тому	1	6
33	так и	2	6
34	и т.д	2	6
35	о том	3	6
36	что и	7	6
37	несмотря на	1	6
38	и потому	2	6
39	все это	10	6
40	мы должны	1	6
41	во всяком	1	6
42	отношение к	5	5
43	и к	1	5
44	в мире	6	5
45	лишь в	8	5
46	не имеет	5	5
47	того чтобы	2	5
48	никогда не	5	5
49	для того	3	5
50	образом в	1	5
51	в его	40	5
52	а не	17	5
53	и для	9	5
54	одной из	1	5
55	в котором	24	4
56	то же	5	4
57	в самом	1	4
58	в этой	2	4
59	и по	1	4
60	что все	1	4
61	то есть	1	4
62	должен был	1	4
63	он не	6	4
64	в то	3	4
65	в нем	28	4
66	а в	4	4
67	и только	6	4
68	только в	16	4
69	ничем не	1	4
70	не может	27	4
71	из которых	2	4
72	в смысле	6	4
73	и от	1	4
74	в этих	1	4
75	что он	2	4
76	в виде	2	4
77	из всех	1	3
78	религии в	1	3
79	так называемые	1	3
80	в своем	16	3
81	когда он	1	3
82	и как	2	3
83	за собой	1	3
84	в которой	1	3
85	что это	3	3
86	при этом	4	3
87	подойти к	1	3
88	тем не	2	3
89	если бы	8	3
90	не менее	3	3
91	как о	1	3
92	и о	1	3
93	уже с	1	3
94	культуры и	5	3
95	ясно что	3	3
96	можно сказать	1	3
97	в значительной	1	3
98	всякое бытие	1	3
99	того что	3	3
100	но с	1	3
101	хотя бы	4	3
102	в качестве	2	3
103	уже не	7	3
104	что эти	1	3
105	для него	8	3
106	культура в	2	3
107	в одном	4	3
108	к ним	4	3
109	и даже	1	3
110	с ней	1	3
111	и таким	1	3
112	в результате	1	3
113	отношению к	22	3
114	к этому	2	3
115	и это	12	2
116	его не	1	2
117	мы имеем	5	2
118	ни у	2	2
119	так чтобы	1	2
120	еще не	4	2
121	и на	3	2
122	бы то	2	2
123	с его	1	2
124	во всех	11	2
125	различия между	1	2
126	или иное	2	2
127	отличаются от	1	2
128	относится к	1	2
