N	4gram	Trubetskoy_1	formyVre
1	в то же время	2	4
2	в том числе и	4	2
3	и в то же	1	2
4	мы имеем в виду	1	2
5	похожи друг на друга	1	2
6	в данном случае мы	1	1
7	до сих пор еще	2	1
8	в том что они	1	1
9	не похожи друг на	1	1
10	те же что и	1	1
11	и вместе с тем	3	1
12	говорили о том что	2	1
13	мы уже говорили о	1	1
14	все более и более	1	1
15	но в конце концов	1	1
16	с этой точки зрения	2	1
17	уже говорили о том	1	1
18	и в этом отношении	1	1
19	одного и того же	1	1
20	но в то же	1	1
21	в связи с тем	1	1
