N	3gram	Losev_Vlad_1	Analitik
1	о том что	7	6
2	в том что	7	6
3	так и не	1	4
4	с одной стороны	1	4
5	и в этом	1	4
6	к тому же	2	4
7	мы имеем дело	1	3
8	в этом отношении	1	3
9	содержит в себе	1	3
10	тем не менее	2	3
11	в этом смысле	4	2
12	в ответ на	2	2
13	в то же	4	2
14	все той же	1	2
15	и то что	4	2
16	не только в	2	2
17	с другой стороны	3	2
18	то же время	4	2
19	и тем самым	1	2
20	не только не	1	2
21	на то что	4	2
22	но и все	1	1
23	что иное как	1	1
24	на первом слоге	1	1
25	можно сказать что	2	1
26	более или менее	3	1
27	это было в	1	1
28	свидетельствует о том	1	1
29	ни с той	1	1
30	как раз и	2	1
31	как это было	1	1
32	в этой борьбе	1	1
33	есть отнюдь не	1	1
34	да может быть	1	1
35	не мог найти	1	1
36	на предпоследнем слоге	2	1
37	в таких случаях	1	1
38	все что может	1	1
39	но и его	1	1
40	и после нее	1	1
41	на этот раз	4	1
42	и тот же	2	1
43	и то же	1	1
44	поводу того что	1	1
45	ведь и сам	1	1
46	имеем дело с	1	1
47	нам представляется что	1	1
48	так или иначе	1	1
49	ни к какой	1	1
50	в свою очередь	1	1
51	в связи с	1	1
52	одно и то	1	1
53	из них не	1	1
54	в свое время	5	1
55	а в том	1	1
56	только то что	1	1
57	по поводу того	1	1
58	есть не что	1	1
59	не может быть	3	1
60	заключается в том	1	1
61	но и для	1	1
62	не что иное	1	1
63	в самом деле	1	1
64	сразу же после	1	1
65	во второй половине	1	1
66	не столько с	1	1
67	но отнюдь не	1	1
68	к тому что	1	1
69	дело не в	1	1
70	он не только	2	1
71	выходят за пределы	1	1
72	в себе не	1	1
