1	и в	23	45
2	и не	16	42
3	не может	9	24
4	в его	5	22
5	в этом	18	20
6	в нем	4	20
7	точки зрения	14	19
8	может быть	15	18
9	никогда не	2	17
10	не только	20	16
11	но и	7	15
12	как бы	4	15
13	у достоевского	1	14
14	как и	2	14
15	в самом	12	13
16	к нему	2	11
17	прежде всего	8	11
18	таким образом	5	11
19	а не	10	10
20	для него	1	9
21	с точки	8	9
22	он не	3	9
23	еще не	5	9
24	только в	5	9
25	есть в	3	8
26	и его	3	8
27	по себе	10	8
28	с его	1	8
29	как мы	3	8
30	в том	19	8
31	не в	8	8
32	потому что	25	8
33	отношение к	1	8
34	по отношению	1	8
35	в сущности	9	7
36	том что	11	7
37	их в	1	7
38	вовсе не	9	7
39	до конца	3	7
40	в ней	3	7
41	в котором	1	7
42	что он	5	7
43	и следовательно	2	7
44	и на	6	7
45	и с	7	7
46	у него	3	6
47	и их	1	6
48	я не	5	6
49	уже не	8	6
50	и потому	2	6
51	и слово	1	6
52	что в	10	6
53	конечно не	2	6
54	в одном	1	6
55	даже в	1	6
56	сознания и	2	6
57	не как	2	6
58	в своей	2	6
59	но не	6	6
60	как раз	3	6
61	там где	5	6
62	но в	11	6
63	как не	3	5
64	то же	6	5
65	все это	5	5
66	что не	6	5
67	сказать что	4	5
68	более того	1	5
69	сама по	1	5
70	бы в	1	5
71	она не	2	5
72	точку зрения	1	5
73	то что	9	5
74	в себе	1	5
75	что и	3	5
76	так же	4	5
77	этом смысле	5	5
78	в целом	1	5
79	в то	4	5
80	и идеи	1	5
81	хотя бы	9	5
82	в своем	2	5
83	так как	15	5
84	далеко не	1	4
85	все они	2	4
86	мы можем	1	4
87	в своих	2	4
88	могут быть	4	4
89	он и	2	4
90	было бы	15	4
91	все эти	12	4
92	и до	2	4
93	а как	1	4
94	перед нами	4	4
95	к этому	4	4
96	превращается в	2	4
97	сам автор	1	4
98	уже в	3	4
99	в конце	4	4
100	и др	1	4
101	что она	3	4
102	и другие	1	4
103	с ними	2	4
104	должно быть	4	4
105	между ними	1	4
106	со стороны	4	4
107	что у	2	4
108	нами в	1	4
109	но все	4	4
110	в их	2	4
111	же как	2	4
112	как в	3	4
113	что же	5	4
114	в пределах	4	4
115	в них	4	4
116	самом деле	9	4
117	не знает	3	4
118	не на	2	4
119	на почве	1	4
120	в каждом	1	4
121	слова в	6	4
122	мы должны	2	4
123	все же	7	4
124	в этих	1	4
125	этот вопрос	6	4
126	выражение в	3	3
127	хоть и	1	3
128	в ее	1	3
129	на протяжении	1	3
130	зависимости от	5	3
131	того как	2	3
132	в уста	1	3
133	все должно	1	3
134	человек в	1	3
135	же что	1	3
136	но ведь	1	3
137	ни одного	1	3
138	перестает быть	1	3
139	к ним	1	3
140	но с	1	3
141	же время	3	3
142	среди них	1	3
143	подчеркнуть что	1	3
144	еще раз	1	3
145	была бы	4	3
146	и от	2	3
147	по природе	1	3
148	конце концов	3	3
149	для этого	3	3
150	в статьях	1	3
151	и он	1	3
152	вот почему	3	3
153	об этом	5	3
154	в зависимости	4	3
155	ничего не	4	3
156	в результате	4	3
157	должна быть	5	3
158	его и	1	3
159	мы уже	1	3
160	рядом с	2	3
161	бы и	4	3
162	все его	1	3
163	что все	5	3
