N	2gram	Kanaev_Sov_1	Tvorches
1	и в	7	21
2	как бы	4	17
3	в то	1	15
4	то же	3	13
5	в его	2	13
6	же время	1	12
7	как и	6	12
8	что в	2	12
9	с его	1	11
10	том что	1	11
11	все это	3	10
12	он не	1	8
13	при этом	3	7
14	у него	2	7
15	и не	6	7
16	в том	4	7
17	но в	3	7
18	во многом	1	7
19	не только	4	7
20	в свою	2	7
21	о том	1	6
22	не менее	2	6
23	и все	3	6
24	а в	4	6
25	он сам	1	6
26	жизни в	1	6
27	в этом	7	6
28	xix века	1	6
29	и его	1	6
30	человека в	1	6
31	все же	3	5
32	таким образом	11	5
33	вовсе не	1	5
34	а не	3	5
35	отнюдь не	3	5
36	в этой	3	5
37	только в	1	5
38	в своих	1	5
39	может быть	12	5
40	это уже	1	5
41	но это	1	5
42	в целом	4	4
43	прежде всего	5	4
44	на эту	1	4
45	та же	1	4
46	не имеют	1	4
47	это не	4	4
48	времени и	2	4
49	человека и	1	4
50	конечном счете	1	4
51	одной из	1	4
52	и от	1	4
53	один из	1	4
54	в мире	1	4
55	из всех	1	4
56	не случайно	1	4
57	в конечном	1	4
58	не может	17	4
59	в своем	1	4
60	в которой	2	3
61	на его	2	3
62	жизни и	4	3
63	так же	1	3
64	это как	1	3
65	просто не	1	3
66	в виде	2	3
67	с ним	1	3
68	в нем	3	3
69	что все	2	3
70	со всеми	2	3
71	но не	1	3
72	но если	1	3
73	на самом	1	3
74	в дальнейшем	4	3
75	и даже	2	3
76	хотя и	1	3
77	с ее	1	3
78	это и	1	3
79	дело в	1	3
80	той же	2	3
81	уже не	2	3
82	по мнению	2	3
83	в каждом	8	3
84	в самом	2	3
85	представление о	1	3
86	с другой	1	3
87	самого начала	3	3
88	никогда не	1	3
89	и по	2	3
90	в ту	1	3
91	уже в	3	3
92	так как	4	3
93	с самого	3	3
94	может не	3	2
95	в себе	3	2
96	не знает	1	2
97	и наконец	5	2
98	данном случае	1	2
99	вместе с	4	2
100	и будет	2	2
101	не будет	1	2
102	в один	2	2
103	значит что	1	2
104	крайней мере	1	2
105	в духе	1	2
106	и у	1	2
107	настоящее время	2	2
108	не в	3	2
109	№ с	2	2
110	если в	1	2
111	тот же	2	2
112	века с	1	2
113	так сказать	2	2
114	в новых	2	2
115	есть не	1	2
116	свободы и	1	2
117	но только	1	2
118	человека как	1	2
119	что она	3	2
120	приводит к	2	2
121	а затем	1	2
122	еще более	2	2
123	такой же	2	2
124	в отличие	2	2
125	кто же	1	2
126	по самому	1	2
127	отличие от	2	2
128	что его	1	2
129	или в	1	2
130	здесь нет	1	2
131	живой жизни	1	2
132	того же	1	2
133	сказать что	1	2
134	в первом	3	2
135	тем не	2	2
136	и красота	1	2
137	одна из	3	2
138	по крайней	1	2
139	и та	1	2
140	по преимуществу	1	2
141	могут быть	2	2
142	именно в	1	2
143	во всей	1	2
144	самом деле	2	2
145	в ней	1	2
146	к этому	1	2
147	все более	1	2
148	одного из	1	2
149	только на	1	2
150	это означало	1	2
151	из них	4	2
152	в данном	1	2
153	еще в	1	2
154	означало бы	1	1
155	все эти	5	1
156	что каждый	1	1
157	такие же	2	1
158	и из	1	1
159	все свои	1	1
160	форму и	1	1
161	с поразительной	1	1
162	ни в	1	1
163	как у	1	1
164	еще не	3	1
165	в связи	1	1
166	говорить о	2	1
167	же это	4	1
168	точно такие	1	1
169	очень важную	1	1
170	бы то	1	1
171	отличается от	3	1
172	а это	1	1
173	мы по	1	1
174	отношению к	1	1
175	в этот	1	1
176	конце развития	2	1
177	для них	1	1
178	на этот	2	1
179	утверждает что	1	1
180	связи с	1	1
181	и действительно	1	1
182	и их	1	1
183	не было	1	1
184	кроме того	1	1
185	развития каждый	1	1
186	известном смысле	1	1
187	этом с	1	1
188	главе мы	1	1
189	наконец не	2	1
190	одна и	1	1
191	к нему	1	1
192	у читателя	1	1
193	сих пор	1	1
194	что это	2	1
195	в какой	1	1
196	для ее	1	1
197	науки в	1	1
198	вообще и	1	1
199	но мы	3	1
200	чем отличается	1	1
201	самом конце	1	1
202	к которому	1	1
203	иное как	1	1
204	поэтому совершенно	1	1
205	в конце	3	1
206	до сих	1	1
207	уже на	1	1
208	то и	2	1
209	во всех	1	1
210	по себе	1	1
211	и сильным	1	1
212	так в	1	1
213	и те	1	1
214	но тем	1	1
215	бы ее	1	1
216	ли это	1	1
217	метода не	1	1
218	заключает в	1	1
219	его в	1	1
220	же в	1	1
221	совсем не	1	1
222	но все	2	1
223	с помощью	4	1
224	современная наука	1	1
225	или скажем	1	1
226	его и	1	1
227	что же	5	1
228	построения в	1	1
229	между собой	3	1
230	к чему	2	1
231	но затем	1	1
232	то ни	2	1
233	на этой	3	1
234	что эта	1	1
235	только не	1	1
236	в таком	2	1
237	видим что	1	1
238	нет нужды	1	1
239	сами по	1	1
240	важную роль	1	1
241	элементов и	1	1
242	что иное	1	1
243	поэтому мы	3	1
244	элемента в	1	1
245	более и	1	1
246	по отношению	1	1
247	какая-нибудь одна	1	1
248	жизни не	1	1
249	и к	3	1
250	не имеет	1	1
251	уже чисто	1	1
252	теперь же	2	1
253	развития в	2	1
254	в область	1	1
255	о жизни	2	1
256	все время	1	1
257	нас на	1	1
258	у нас	3	1
259	он с	1	1
260	за собой	1	1
261	же самое	2	1
262	что такое	2	1
263	человек и	1	1
264	времени не	1	1
265	в процессе	1	1
266	если мы	4	1
267	каждый раз	6	1
268	ведь это	3	1
269	мы должны	4	1
270	как он	3	1
271	свою очередь	2	1
272	он ищет	1	1
273	с этим	2	1
274	мы снова	1	1
275	весь мир	1	1
276	что с	1	1
277	их на	1	1
278	всеми его	1	1
279	вся эта	1	1
280	схема его	1	1
281	а на	2	1
282	этой области	1	1
283	центр тяжести	1	1
284	если нет	1	1
285	одной стороны	1	1
286	равно как	1	1
287	мы уже	1	1
288	ни было	1	1
289	она всегда	1	1
290	к живой	1	1
291	он в	3	1
292	в настоящее	2	1
293	значение в	2	1
294	это значит	1	1
295	на которых	1	1
296	при исследовании	1	1
297	с одной	2	1
298	не что	1	1
299	не могут	2	1
300	в одном	3	1
301	и если	1	1
302	и что	2	1
303	при таком	3	1
304	как известно	2	1
305	она не	1	1
306	положение в	1	1
307	в основу	1	1
308	должен был	1	1
309	еще раз	1	1
310	на этом	2	1
311	роль в	2	1
312	в действительности	1	1
313	человек с	1	1
314	их и	1	1
315	сравнительно с	1	1
316	в которую	2	1
317	в известном	1	1
318	же как	1	1
319	разобраться в	1	1
320	еще за	1	1
321	все они	1	1
322	если же	2	1
323	но что	1	1
324	на друга	1	1
325	все равно	1	1
326	дома и	1	1
327	чем в	1	1
328	и до	1	1
329	все его	1	1
330	в области	3	1
331	и есть	2	1
332	а может	1	1
333	в социальном	1	1
334	и должно	1	1
335	мы имеем	1	1
336	но эта	1	1
337	было бы	3	1
338	и это	1	1
339	друг на	1	1
340	вследствие этого	1	1
341	этот вопрос	1	1
342	и тогда	1	1
343	к одному	1	1
344	мы знаем	2	1
345	и более	1	1
346	отметить что	1	1
347	свою собственную	2	1
348	жизни но	1	1
349	читателя что	1	1
350	и снова	1	1
