N	3gram	Bakhtin_Fr_1	Literetu
1	в том что	6	11
2	в отличие от	4	5
3	то же время	1	5
4	в то же	1	5
5	не только в	1	4
6	в связи с	1	4
7	и прежде всего	3	3
8	дело в том	2	2
9	по отношению к	1	2
10	с точки зрения	3	2
11	в этом отношении	3	2
12	с одной стороны	2	2
13	но при этом	1	2
14	чуть ли не	1	2
15	во всяком случае	1	2
16	бы ни были	1	1
17	это уже не	3	1
18	к себе самому	2	1
19	в последнее время	1	1
20	теми или иными	1	1
21	на самом деле	2	1
22	а затем в	1	1
23	том что он	1	1
24	как раз и	2	1
25	так и не	3	1
26	и не только	1	1
27	и в литературе	2	1
28	резко отличается от	1	1
29	к тому чтобы	1	1
30	это приводит к	1	1
31	эти и подобные	1	1
32	и в частности	2	1
33	в это время	2	1
34	одно из величайших	1	1
35	далеко не полно	1	1
36	в значительной степени	2	1
37	а как бы	1	1
38	но в то	1	1
39	еще и в	1	1
40	никогда не остается	1	1
41	в самом деле	1	1
42	в xix веке	1	1
43	жизни но и	1	1
44	в отношении к	1	1
45	в себя и	1	1
46	в сущности только	1	1
47	все более и	1	1
48	в целом ряде	1	1
49	с другой стороны	1	1
50	не может быть	1	1
51	по ту сторону	1	1
52	себе самому и	1	1
53	и подобные им	1	1
54	во внешнем мире	1	1
55	до сих пор	4	1
56	более и более	1	1
57	не может стать	1	1
58	но все же	2	1
59	языка на котором	1	1
60	во второй половине	2	1
61	в большинстве случаев	2	1
62	но дело в	1	1
63	в том числе	10	1
64	в сущности не	1	1
65	тех или иных	1	1
66	жизни и искусства	1	1
67	культуры и в	1	1
68	к тому же	1	1
