N	2gram	Tiupa_Teor_1	BTomashe
1	у нас	2	3
2	и не	13	2
3	литературных произведений	5	2
4	можно было	1	2
5	все это	2	2
6	говорить о	3	1
7	и меньше	1	1
8	с другой	7	1
9	не все	3	1
10	вопрос о	1	1
11	совершенно не	1	1
12	литературы как	1	1
13	в своей	6	1
14	художественного произведения	4	1
15	по крайней	1	1
16	между ними	4	1
17	книги в	1	1
18	и о	4	1
19	в области	4	1
20	и ее	3	1
21	точно и	1	1
22	о художественном	1	1
23	теоретической и	1	1
24	на которой	1	1
25	не вполне	2	1
26	и в	18	1
27	так и	10	1
28	в композиции	1	1
29	художественном произведении	1	1
30	за пределы	2	1
31	крайней мере	1	1
32	также что	1	1
33	об этом	2	1
34	не уничтожается	1	1
35	что все	1	1
36	теории литературы	1	1
37	не было	1	1
38	было бы	1	1
39	узко и	1	1
40	отнюдь не	3	1
41	одной из	2	1
42	было и	1	1
43	далеко не	2	1
44	и потому	2	1
45	в пределах	5	1
46	в значительной	1	1
47	никак не	1	1
48	говорить об	1	1
49	и исторической	1	1
50	имеющихся в	1	1
51	и более	1	1
52	прежде всего	2	1
53	свести к	1	1
54	что в	9	1
55	таким образом	3	1
56	можно в	1	1
57	а о	1	1
58	еще не	4	1
59	теорию литературы	1	1
60	как будто	2	1
61	не только	16	1
62	в данном	8	1
63	не следует	4	1
64	и на	1	1
65	другой стороны	5	1
66	ведет по	1	1
67	нельзя не	1	1
68	значительной степени	1	1
69	тем более	1	1
70	а не	9	1
