N	3gram	Tiupa_Disk_2	EvropaiE
1	с точки зрения	2	16
2	в то же	4	15
3	то же время	5	14
4	и в то	1	8
5	с одной стороны	4	8
6	одной стороны и	2	6
7	в том что	6	6
8	бы то ни	1	4
9	то ни было	1	4
10	того или иного	1	4
11	той или иной	3	4
12	в той или	1	3
13	в этом отношении	4	3
14	в применении к	1	3
15	во всяком случае	1	3
16	и прежде всего	2	3
17	можно сказать что	1	3
18	заключает в себе	2	3
19	прежде всего в	1	2
20	не говоря уже	1	2
21	то что в	1	2
22	и в частности	1	2
23	в данном случае	6	2
24	не более чем	2	2
25	так и в	3	2
26	с другой стороны	1	2
27	не может быть	3	2
28	в одном из	1	2
29	друг от друга	1	2
30	в большинстве случаев	1	2
31	пожалуй и не	1	2
32	и того же	2	1
33	как и его	1	1
34	в этом мире	2	1
35	другой стороны в	1	1
36	дело в том	2	1
37	может быть сведена	1	1
38	он сам в	1	1
39	в соответствии с	2	1
40	что же касается	2	1
41	можно утверждать что	1	1
42	говоря уже о	1	1
43	в отличие от	12	1
44	том числе и	1	1
45	представляется несомненным что	1	1
46	в этот период	1	1
47	задаться вопросом не	1	1
48	то что может	1	1
49	не сводится к	2	1
50	оставляя открытым вопрос	1	1
51	в качестве примера	2	1
52	в значительной степени	1	1
53	а также и	1	1
54	по большей части	2	1
55	не могут быть	1	1
56	так и с	1	1
57	но даже при	1	1
58	быть сведена к	1	1
59	в себе потенцию	1	1
60	мысль о возможности	1	1
61	с другой в	1	1
62	в полной мере	1	1
63	только в качестве	1	1
64	но также и	1	1
65	та или иная	1	1
66	то есть в	1	1
67	речь идет о	1	1
68	одного и того	2	1
69	настоящего времени в	1	1
70	в том числе	1	1
71	в исторической перспективе	2	1
72	в себе не	1	1
73	и не быть	1	1
74	в пределах одного	1	1
75	а также от	1	1
