N	2gram	Medvedev_V_1	slovoVRo
1	и в	2	41
2	и не	1	16
3	то же	1	14
4	и его	1	14
5	в этом	1	12
6	только в	1	6
7	по своим	1	6
8	все это	1	5
9	в самом	1	5
10	далеко не	1	5
11	в их	1	4
12	том же	1	4
13	в том	2	3
14	все время	1	3
15	хотя бы	1	3
16	именно в	1	3
17	и почти	1	3
18	по существу	1	3
19	так как	1	3
20	столь же	1	2
21	для них	1	2
22	так в	1	2
23	к этому	1	2
24	потому что	1	2
25	одно и	1	2
26	его языка	1	2
27	от других	1	2
28	в частности	1	2
29	в другом	1	2
30	и то	1	2
31	том что	2	2
32	стилистики в	1	1
33	и своеобразно	1	1
34	в значительной	1	1
35	вопросы стилистики	1	1
36	все то	1	1
37	крайней мере	1	1
38	оно с	1	1
39	в устах	1	1
40	а только	1	1
41	чего не	1	1
42	от общего	1	1
43	сводится к	1	1
44	и только	1	1
45	время в	1	1
46	но это	1	1
47	значительной степени	1	1
48	прозы в	1	1
49	на одном	1	1
50	дело в	1	1
51	да и	1	1
52	все дело	1	1
53	поэтического творчества	1	1
54	речи и	1	1
55	без учета	1	1
56	по крайней	1	1
57	с большой	1	1
58	впрочем не	1	1
59	тем более	1	1
60	в которых	1	1
