N	2gram	Medvedev_V_1	DiskursI
1	в том	2	23
2	том что	2	19
3	и в	2	16
4	в этом	1	15
5	и не	1	11
6	далеко не	1	10
7	в частности	1	9
8	то же	1	7
9	только в	1	7
10	ни к	1	6
11	в их	1	5
12	сводится к	1	5
13	и т.д	1	4
14	в которых	1	4
15	потому что	1	4
16	по своим	1	4
17	и составляет	1	3
18	хотя бы	1	3
19	именно в	1	3
20	в самом	1	3
21	столь же	1	3
22	в значительной	1	2
23	в другом	1	2
24	собственно и	1	2
25	крайней мере	1	2
26	более чем	1	2
27	значительной степени	1	2
28	и его	1	2
29	по крайней	1	2
30	а.н веселовского	2	2
31	к этому	1	2
32	одно и	1	1
33	даже не	1	1
34	без учета	1	1
35	в теории	1	1
36	в конце	2	1
37	чего не	1	1
38	дело в	1	1
39	к чему	1	1
40	теории прозы	2	1
41	стоит на	1	1
42	другое дело	1	1
43	а только	1	1
44	да и	1	1
45	в книге	3	1
46	и заключается	1	1
47	речи и	1	1
48	о теории	1	1
49	впрочем не	1	1
50	тем более	1	1
51	я не	1	1
52	их как	1	1
53	для них	1	1
54	самом деле	1	1
55	то чего	1	1
56	и то	1	1
57	же с	1	1
58	но это	1	1
